set	db	db_label	power_stratum	threshold_pct	detector	operating_point	n	n_true_contaminated	tp	fp	tn	fn	sensitivity_recall	sensitivity_ci_lo	sensitivity_ci_hi	specificity	specificity_ci_lo	specificity_ci_hi	precision	precision_ci_lo	precision_ci_hi	f1	f1_ci_lo	f1_ci_hi	balanced_accuracy	balanced_accuracy_ci_lo	balanced_accuracy_ci_hi	mcc
set_E	progenomes_2.1	proGenomes 2.1	powered	5.0	GUNC 1.1.1 (pass.GUNC == False)	single fixed operating point (CSS > 0.45 at maxCSS level); cannot be re-thresholded per MIMAG level	986	742	714	42	202	28	0.9623	0.9477	0.9756	0.8279	0.7791	0.8755	0.9444	0.9272	0.9609	0.9533	0.9417	0.9641	0.8951	0.8706	0.9199	0.8063
set_E	progenomes_2.1	proGenomes 2.1	powered	5.0	MAGICC V5 (pred contamination >= 5 %)	threshold-matched	986	742	728	6	238	14	0.9811	0.9709	0.9905	0.9754	0.9549	0.992	0.9918	0.9849	0.9973	0.9864	0.9802	0.9919	0.9783	0.9665	0.9882	0.9464
set_E	progenomes_2.1	proGenomes 2.1	powered	5.0	CheckM2 (pred contamination >= 5 %)	threshold-matched	986	742	685	5	239	57	0.9232	0.9037	0.9422	0.9795	0.9606	0.9958	0.9928	0.9856	0.9986	0.9567	0.9458	0.9672	0.9513	0.9382	0.964	0.8499
set_E	progenomes_2.1	proGenomes 2.1	powered	10.0	GUNC 1.1.1 (pass.GUNC == False)	single fixed operating point (CSS > 0.45 at maxCSS level); cannot be re-thresholded per MIMAG level	986	713	686	70	203	27	0.9621	0.9466	0.9759	0.7436	0.692	0.7954	0.9074	0.8858	0.9285	0.934	0.9197	0.9472	0.8529	0.8254	0.8805	0.7467
set_E	progenomes_2.1	proGenomes 2.1	powered	10.0	MAGICC V5 (pred contamination >= 10 %)	threshold-matched	986	713	694	7	266	19	0.9734	0.9609	0.9844	0.9744	0.9536	0.9921	0.99	0.982	0.9971	0.9816	0.9742	0.988	0.9739	0.9615	0.9837	0.9354
set_E	progenomes_2.1	proGenomes 2.1	powered	10.0	CheckM2 (pred contamination >= 10 %)	threshold-matched	986	713	605	1	272	108	0.8485	0.8204	0.8759	0.9963	0.9884	1.0	0.9983	0.9949	1.0	0.9174	0.9006	0.9334	0.9224	0.908	0.9367	0.7768
set_E	gtdb_95	GTDB r95	all	5.0	GUNC 1.1.1 (pass.GUNC == False)	single fixed operating point (CSS > 0.45 at maxCSS level); cannot be re-thresholded per MIMAG level	1000	748	728	44	208	20	0.9733	0.9613	0.9841	0.8254	0.779	0.8721	0.943	0.9255	0.959	0.9579	0.9469	0.9677	0.8993	0.875	0.9232	0.8265
set_E	gtdb_95	GTDB r95	all	5.0	MAGICC V5 (pred contamination >= 5 %)	threshold-matched	1000	748	734	9	243	14	0.9813	0.9715	0.9906	0.9643	0.9404	0.9847	0.9879	0.9798	0.9947	0.9846	0.9785	0.9905	0.9728	0.9605	0.9843	0.9395
set_E	gtdb_95	GTDB r95	all	5.0	CheckM2 (pred contamination >= 5 %)	threshold-matched	1000	748	691	5	247	57	0.9238	0.9028	0.942	0.9802	0.9609	0.9959	0.9928	0.9858	0.9985	0.9571	0.9453	0.9673	0.952	0.9382	0.9639	0.8532
set_E	gtdb_95	GTDB r95	all	10.0	GUNC 1.1.1 (pass.GUNC == False)	single fixed operating point (CSS > 0.45 at maxCSS level); cannot be re-thresholded per MIMAG level	1000	719	699	73	208	20	0.9722	0.9591	0.9831	0.7402	0.6886	0.7906	0.9054	0.8848	0.9251	0.9376	0.9248	0.9498	0.8562	0.8294	0.8826	0.7632
set_E	gtdb_95	GTDB r95	all	10.0	MAGICC V5 (pred contamination >= 10 %)	threshold-matched	1000	719	700	9	272	19	0.9736	0.962	0.9844	0.968	0.9456	0.9865	0.9873	0.9784	0.9945	0.9804	0.9728	0.9875	0.9708	0.9578	0.9822	0.9317
set_E	gtdb_95	GTDB r95	all	10.0	CheckM2 (pred contamination >= 10 %)	threshold-matched	1000	719	609	1	280	110	0.847	0.8192	0.8738	0.9964	0.9886	1.0	0.9984	0.9949	1.0	0.9165	0.9	0.9321	0.9217	0.9073	0.9355	0.7773
set_E	gtdb_95	GTDB r95	powered	5.0	GUNC 1.1.1 (pass.GUNC == False)	single fixed operating point (CSS > 0.45 at maxCSS level); cannot be re-thresholded per MIMAG level	992	746	726	43	203	20	0.9732	0.9611	0.9837	0.8252	0.7768	0.8719	0.9441	0.9267	0.9604	0.9584	0.9478	0.9686	0.8992	0.8743	0.9237	0.8259
set_E	gtdb_95	GTDB r95	powered	5.0	MAGICC V5 (pred contamination >= 5 %)	threshold-matched	992	746	732	7	239	14	0.9812	0.9711	0.9906	0.9715	0.9504	0.9914	0.9905	0.9835	0.9973	0.9859	0.9793	0.9917	0.9764	0.9646	0.9873	0.9439
set_E	gtdb_95	GTDB r95	powered	5.0	CheckM2 (pred contamination >= 5 %)	threshold-matched	992	746	689	5	241	57	0.9236	0.9029	0.9424	0.9797	0.96	0.9958	0.9928	0.9857	0.9985	0.9569	0.9453	0.9676	0.9516	0.9372	0.9643	0.8509
set_E	gtdb_95	GTDB r95	powered	10.0	GUNC 1.1.1 (pass.GUNC == False)	single fixed operating point (CSS > 0.45 at maxCSS level); cannot be re-thresholded per MIMAG level	992	717	697	72	203	20	0.9721	0.959	0.9832	0.7382	0.6844	0.7904	0.9064	0.8854	0.9271	0.9381	0.9256	0.9507	0.8551	0.8269	0.8821	0.7616
set_E	gtdb_95	GTDB r95	powered	10.0	MAGICC V5 (pred contamination >= 10 %)	threshold-matched	992	717	698	7	268	19	0.9735	0.9614	0.9841	0.9745	0.9537	0.9925	0.9901	0.982	0.9971	0.9817	0.9748	0.9883	0.974	0.9627	0.9843	0.9359
set_E	gtdb_95	GTDB r95	powered	10.0	CheckM2 (pred contamination >= 10 %)	threshold-matched	992	717	607	1	274	110	0.8466	0.8194	0.8737	0.9964	0.9885	1.0	0.9984	0.9949	1.0	0.9162	0.8996	0.9319	0.9215	0.9071	0.9354	0.7747
