dataset	track	cohort	tool	n	n_clusters	cluster_unit	true_comp_mean	true_cont_mean	comp_MAE	comp_MAE_95CI	comp_bias	comp_bias_95CI	comp_R2_CoD	cont_MAE	cont_MAE_95CI	cont_bias	cont_bias_95CI	cont_R2_CoD	true_comp_sd	true_cont_sd	true_HQ	pred_HQ	MIMAG_class_agreement_pct	false_fail_5pct_rate
Meslier MOCK1 (indel-dense MinION assembly only)	meslier	ORF_compromised_assembly_only	CoCoPyE 0.5.0	39	39	accession	93.688	0.3052	1.7076	[1.0078, 2.5905]	-1.1696	[-2.1294, -0.36]	0.9292	107.7153	[96.3746, 119.2626]	107.7153	[96.3746, 119.2626]	n/a (SS_tot~0)	11.549	1.0547	31	0	0.0	100.0
Meslier MOCK1 (indel-dense MinION assembly only)	meslier	ORF_compromised_assembly_only	DeepCheck	39	39	accession	93.688	0.3052	56.8308	[51.7475, 61.7072]	-56.8308	[-61.7072, -51.7475]	-25.7578	4.1951	[3.24, 5.2562]	4.095	[3.0528, 5.169]	n/a (SS_tot~0)	11.549	1.0547	31	0	0.0	36.84
Meslier MOCK1 (all organisms, >=50 %, all 7 assemblies)	meslier	all_MOCK1_comp>=50	MAGICC V5	308	52	accession	92.209	0.2651	4.1354	[2.877, 5.9859]	1.2715	[-1.009, 2.857]	0.5903	1.3775	[0.7935, 2.2583]	1.221	[0.6112, 2.1138]	n/a (SS_tot~0)	11.431	0.6775	240	236	89.61	6.84
Meslier MOCK1 (all organisms, >=50 %, all 7 assemblies)	meslier	all_MOCK1_comp>=50	CheckM2 1.0.1	308	52	accession	92.209	0.2651	11.961	[10.563, 13.4025]	-10.2494	[-12.0166, -8.487]	-2.3595	1.8905	[1.5366, 2.2878]	1.8365	[1.4721, 2.2498]	n/a (SS_tot~0)	11.431	0.6775	240	161	64.61	12.05
Meslier MOCK1 (all organisms, >=50 %, all 7 assemblies)	meslier	all_MOCK1_comp>=50	CoCoPyE 0.5.0	308	52	accession	92.209	0.2651	4.6831	[3.5341, 5.9478]	2.7097	[1.1625, 4.2115]	0.5693	22.065	[18.9119, 25.3053]	22.055	[18.9078, 25.2936]	n/a (SS_tot~0)	11.431	0.6775	240	145	47.73	51.47
Meslier MOCK1 (all organisms, >=50 %, all 7 assemblies)	meslier	all_MOCK1_comp>=50	DeepCheck	308	52	accession	92.209	0.2651	13.9752	[12.3291, 15.6535]	-13.1697	[-15.0433, -11.3016]	-3.2936	1.8504	[1.5451, 2.1565]	1.6941	[1.3475, 2.0339]	n/a (SS_tot~0)	11.431	0.6775	240	161	63.64	12.05
Zymo isolate drafts (n=8)	zymo	zymo_8_isolates	MAGICC V5	8	8	code	98.142	0.015	1.7517	[1.0462, 2.8506]	1.7517	[1.0462, 2.8506]	n/a (SS_tot~0)	0.4317	[0.277, 0.5801]	0.4317	[0.277, 0.5801]	n/a (SS_tot~0)	1.447	0.0416	8	8	100.0	0.0
Zymo isolate drafts (n=8)	zymo	zymo_8_isolates	CheckM2 1.0.1	8	8	code	98.142	0.015	1.8506	[1.1712, 2.9119]	1.8506	[1.1712, 2.9119]	n/a (SS_tot~0)	0.1669	[0.0402, 0.3747]	0.1625	[0.0327, 0.3715]	n/a (SS_tot~0)	1.447	0.0416	8	8	100.0	0.0
Zymo isolate drafts (n=8)	zymo	zymo_8_isolates	CoCoPyE 0.5.0	8	8	code	98.142	0.015	1.7422	[1.0765, 2.8103]	1.7422	[1.0765, 2.8103]	n/a (SS_tot~0)	0.4713	[0.0544, 1.147]	0.4412	[-0.0005, 1.1317]	n/a (SS_tot~0)	1.447	0.0416	8	8	100.0	0.0
Zymo isolate drafts (n=8)	zymo	zymo_8_isolates	DeepCheck	8	8	code	98.142	0.015	0.9794	[0.3292, 1.9789]	0.961	[0.2909, 1.9708]	n/a (SS_tot~0)	0.2836	[0.2214, 0.3528]	-0.1272	[-0.3016, 0.077]	n/a (SS_tot~0)	1.447	0.0416	8	8	100.0	0.0
NCBI Tier-1 pairs (leakage-free)	ncbi_pairs	primary_leakage_free	MAGICC V5	913	124	species_taxid	97.697	0.6844	2.2251	[1.5748, 3.1516]	1.7931	[1.0863, 2.7016]	n/a (SS_tot~0)	1.2694	[0.9692, 1.736]	0.5391	[0.095, 0.9786]	n/a (SS_tot~0)	2.122	1.6126	869	887	93.54	2.17
NCBI Tier-1 pairs (leakage-free)	ncbi_pairs	primary_leakage_free	CheckM2 1.0.1	913	124	species_taxid	97.697	0.6844	2.7279	[1.9509, 3.924]	1.822	[0.7733, 2.8559]	n/a (SS_tot~0)	1.4925	[1.0867, 1.8449]	0.7153	[0.1863, 1.1336]	n/a (SS_tot~0)	2.122	1.6126	869	865	90.58	4.46
NCBI Tier-1 pairs (leakage-free)	ncbi_pairs	primary_leakage_free	CoCoPyE 0.5.0	913	124	species_taxid	97.697	0.6844	2.3573	[1.6609, 3.3263]	2.0788	[1.36, 3.007]	n/a (SS_tot~0)	2.2289	[1.2379, 3.6906]	1.3216	[0.2478, 2.8588]	n/a (SS_tot~0)	2.122	1.6126	869	858	90.91	5.26
NCBI Tier-1 pairs (all)	ncbi_pairs	all_tier1_pairs	MAGICC V5	1096	164	species_taxid	97.804	0.6989	2.1028	[1.5348, 2.8944]	1.7258	[1.0757, 2.5121]	n/a (SS_tot~0)	1.2195	[0.942, 1.6332]	0.4335	[-0.0282, 0.7935]	n/a (SS_tot~0)	2.09	1.6859	1042	1068	93.7	1.91
NCBI Tier-1 pairs (all)	ncbi_pairs	all_tier1_pairs	CheckM2 1.0.1	1096	164	species_taxid	97.804	0.6989	2.5444	[1.8303, 3.6341]	1.7717	[0.7926, 2.6871]	n/a (SS_tot~0)	1.4401	[1.069, 1.7803]	0.6073	[0.0888, 1.0031]	n/a (SS_tot~0)	2.09	1.6859	1042	1040	90.69	4.39
NCBI Tier-1 pairs (all)	ncbi_pairs	all_tier1_pairs	CoCoPyE 0.5.0	1096	164	species_taxid	97.804	0.6989	2.2256	[1.6126, 3.0815]	1.9783	[1.3225, 2.7601]	n/a (SS_tot~0)	2.0738	[1.2059, 3.4254]	1.1206	[0.11, 2.5255]	n/a (SS_tot~0)	2.09	1.6859	1042	1036	91.51	4.58
