set	set_label	status	tier	tool	tool_label	metric	n	n_clusters	true_value_constant	mae	mae_ci_lo	mae_ci_hi	rmse	rmse_ci_lo	rmse_ci_hi	signed_bias_pred_minus_true	bias_ci_lo	bias_ci_hi	r2_coefficient_of_determination	r2_coefficient_of_determination_ci_lo	r2_coefficient_of_determination_ci_hi	pearson_r_squared_NOT_R2	r2_omitted_reason
POOLED_leakage_free_5_sets	POOLED: set_A_v2, set_B_v2, set_C_clean, set_D_clean, set_E	pooled	pooled	magicc_v5	MAGICC v5 (released, v0.3.0)	contamination	5000	2586	False	5.308570202842227	4.999347435046694	5.625991177893222	8.830245837665668	8.306012160018026	9.37015418822639	-1.9625995291228135	-2.384127632494692	-1.5645872998425208	0.9149285732132786	0.9043287626822492	0.9245996536065864	0.9213301871676296	
POOLED_leakage_free_5_sets	POOLED: set_A_v2, set_B_v2, set_C_clean, set_D_clean, set_E	pooled	pooled	checkm2	CheckM2 1.0.1	contamination	5000	2586	False	22.14472900462183	21.07820140417279	23.198958150808405	32.01807480000994	30.974189038502704	33.02717394859171	-21.02968472038516	-22.162252451046815	-19.89786471093941	-0.1184808611552239	-0.1951600834864384	-0.0467335969823117	0.3642839834477472	
POOLED_leakage_free_5_sets	POOLED: set_A_v2, set_B_v2, set_C_clean, set_D_clean, set_E	pooled	pooled	cocopye	CoCoPyE 0.5.0	contamination	5000	2586	False	19.01501032556185	18.196318580738215	19.77557767288319	28.05160254993022	27.23656830018805	28.79476674534811	-18.05788344485396	-18.834758195375432	-17.23121456097233	0.1414739423442074	0.0990605166974325	0.1854193755661693	0.6830942921224182	
POOLED_leakage_free_5_sets	POOLED: set_A_v2, set_B_v2, set_C_clean, set_D_clean, set_E	pooled	pooled	deepcheck	DeepCheck	contamination	5000	2586	False	26.43310835772811	25.371735133521742	27.48451594847212	37.11999750046319	36.01584153846817	38.1119286763481	-23.73615883502133	-24.93201587174337	-22.483311504055	-0.5033288913929044	-0.5919259851424368	-0.4158864025293682	0.2058558761340286	
POOLED_manuscript_5_sets	POOLED: set_A_v2, set_B_v2, set_C, set_D, set_E	pooled	pooled	magicc_v5	MAGICC v5 (released, v0.3.0)	completeness	5000	4386	False	3.792954729633448	3.630283489212874	3.9552097113717344	6.815842071608585	6.506806018130649	7.131160009330455	0.1297555761091502	-0.051086944851214	0.3268818319875776	0.8374886923562121	0.8213731520285769	0.8522971577157091	0.8375832731923051	
POOLED_manuscript_5_sets	POOLED: set_A_v2, set_B_v2, set_C, set_D, set_E	pooled	pooled	checkm2	CheckM2 1.0.1	completeness	5000	4386	False	6.002811375961961	5.778117712761833	6.242272542873598	10.190209254086556	9.857578048778606	10.53039755312587	2.519813332109151	2.251709730165017	2.7908770765955127	0.6367457103925633	0.6117345173772166	0.659778119975473	0.6671674391755148	
POOLED_manuscript_5_sets	POOLED: set_A_v2, set_B_v2, set_C, set_D, set_E	pooled	pooled	cocopye	CoCoPyE 0.5.0	completeness	5000	4386	False	6.624368994431201	6.3831546041124	6.845226651452175	10.442978032484792	10.100470842504636	10.748584127029655	-2.857145434505723	-3.1307764956924222	-2.582220810152825	0.6185011124672837	0.5939807670479162	0.6447256780179137	0.6505322544560597	
POOLED_manuscript_5_sets	POOLED: set_A_v2, set_B_v2, set_C, set_D, set_E	pooled	pooled	deepcheck	DeepCheck	completeness	5000	4386	False	10.10071923083457	9.81227017889288	10.388032542631532	14.451355844820572	14.092657099512596	14.791182564907531	0.7164985986039014	0.3291072749485238	1.114367568256034	0.2694301636907166	0.2297657054915027	0.3069341314455472	0.4791293364631486	
POOLED_manuscript_5_sets	POOLED: set_A_v2, set_B_v2, set_C, set_D, set_E	pooled	pooled	magicc_v5	MAGICC v5 (released, v0.3.0)	contamination	5000	4386	False	5.39440220467942	5.175124771540316	5.6166709138849535	9.31909571780157	8.941460196989384	9.686823956469906	-3.1067703825957507	-3.350529097191926	-2.8581069005266437	0.9153527508628831	0.9092713858551514	0.9216944792606911	0.9316617597439382	
POOLED_manuscript_5_sets	POOLED: set_A_v2, set_B_v2, set_C, set_D, set_E	pooled	pooled	checkm2	CheckM2 1.0.1	contamination	5000	4386	False	23.14080418497385	22.41425273567973	23.840647653473667	34.137533928187736	33.36307277920974	34.87701407870863	-22.03191236568609	-22.757727278949574	-21.285150107308688	-0.1358725220475487	-0.1784886732731808	-0.0931489665541536	0.3372984320239353	
