set	set_label	status	tier	tool	tool_label	tool_role	n	n_clusters	clustered_bootstrap	true_class	pred_class	row_frac
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	797	803	True	low	low	0.9987468671679198
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	151	803	True	high	high	0.755
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	36	803	True	high	medium	0.18
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	13	803	True	high	low	0.065
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	0	803	True	medium	high	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	1	803	True	medium	medium	0.5
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	1	803	True	medium	low	0.5
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	0	803	True	low	high	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	0	803	True	low	medium	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	798	803	True	low	low	1.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	192	803	True	high	high	0.96
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	7	803	True	high	medium	0.035
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	1	803	True	high	low	0.005
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	0	803	True	medium	high	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	2	803	True	medium	medium	1.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	0	803	True	medium	low	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	0	803	True	low	high	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	2	803	True	low	medium	0.002506265664160401
