set	set_label	status	tier	subset	tool	tool_label	n	n_clusters	n_true_high	n_true_medium	n_true_low	macro_f1	macro_f1_ci_lo	macro_f1_ci_hi	accuracy	accuracy_ci_lo	accuracy_ci_hi	high_precision	high_recall	high_f1
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	in_domain	deepcheck	DeepCheck	859	859	34	83	742	0.25276919227024464	0.2042575074834554	0.3008699857029517	0.2351571594877765	0.20721769499417927	0.2630966239813737	0.28205128205128205	0.3235294117647059	0.3013698630136986
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	out_of_domain	magicc_v5	MAGICC v5 (released, v0.3.0)	141	141	0	0	141	0.3333333333333333	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0	0.0	0.0	0.0
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	out_of_domain	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	141	141	0	0	141	0.3333333333333333	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0	0.0	0.0	0.0
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	out_of_domain	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	141	141	0	0	141	0.3333333333333333	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0	0.0	0.0	0.0
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	out_of_domain	checkm2	CheckM2 1.0.1	141	141	0	0	141	0.15855855855855858	0.1264367816091954	0.18707482993197277	0.3120567375886525	0.23404255319148937	0.3900709219858156	0.0	0.0	0.0
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	out_of_domain	cocopye	CoCoPyE 0.5.0	141	141	0	0	141	0.3106060606060606	0.2994791666666667	0.321078431372549	0.8723404255319149	0.8156028368794326	0.9290780141843972	0.0	0.0	0.0
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	out_of_domain	deepcheck	DeepCheck	141	141	0	0	141	0.19900497512437812	0.17192982456140352	0.22535211267605634	0.425531914893617	0.3475177304964539	0.5106382978723404	0.0	0.0	0.0
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	all	magicc_v5	MAGICC v5 (released, v0.3.0)	1000	1000	11	103	886	0.8768579126945775	0.7897940907347342	0.9354216782167002	0.973	0.963	0.982	0.6666666666666666	0.9090909090909091	0.7692307692307692
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	all	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	1000	1000	11	103	886	0.8235094572417849	0.7216086047448351	0.902686360955015	0.973	0.963	0.983	0.5833333333333334	0.6363636363636364	0.6086956521739131
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	all	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	1000	1000	11	103	886	0.889076505253048	0.8081210815030092	0.9495917494553696	0.978	0.969	0.986	0.75	0.8181818181818182	0.7826086956521738
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	all	checkm2	CheckM2 1.0.1	1000	1000	11	103	886	0.3726285462184198	0.3289400962356212	0.41614010239056815	0.499	0.468	0.528	0.12987012987012986	0.9090909090909091	0.22727272727272727
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	all	cocopye	CoCoPyE 0.5.0	1000	1000	11	103	886	0.7096193209790141	0.6153867325279695	0.7916916039349934	0.935	0.919	0.949	0.35294117647058826	0.5454545454545454	0.42857142857142855
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	all	deepcheck	DeepCheck	1000	1000	11	103	886	0.2053037119076703	0.17630349984326193	0.2332958440857778	0.262	0.236	0.288	0.04580152671755725	0.5454545454545454	0.08450704225352114
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	in_domain	magicc_v5	MAGICC v5 (released, v0.3.0)	787	787	11	103	673	0.8755412447916028	0.7935164918766097	0.936934350301245	0.96569250317662	0.9529542566709023	0.9783989834815756	0.6666666666666666	0.9090909090909091	0.7692307692307692
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	in_domain	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	787	787	11	103	673	0.8223797507770417	0.7179577193716402	0.9039207108719661	0.96569250317662	0.951715374841169	0.9783989834815756	0.5833333333333334	0.6363636363636364	0.6086956521739131
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	in_domain	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	787	787	11	103	673	0.8880604123449473	0.7967704999670813	0.9474279382400781	0.9720457433290979	0.9606099110546379	0.9822109275730623	0.75	0.8181818181818182	0.7826086956521738
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	in_domain	checkm2	CheckM2 1.0.1	787	787	11	103	673	0.35160915256064945	0.30544908460669795	0.3944999034418223	0.4332909783989835	0.39644218551461247	0.46635959339263006	0.12987012987012986	0.9090909090909091	0.22727272727272727
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	in_domain	cocopye	CoCoPyE 0.5.0	787	787	11	103	673	0.7077594329601887	0.6164736553539667	0.783246564338506	0.9186785260482846	0.8983481575603558	0.9364675984752223	0.35294117647058826	0.5454545454545454	0.42857142857142855
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	in_domain	deepcheck	DeepCheck	787	787	11	103	673	0.18852476221259648	0.1593872430272519	0.216817657324418	0.22617534942820838	0.19822109275730623	0.2554002541296061	0.046875	0.5454545454545454	0.08633093525179857
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	out_of_domain	magicc_v5	MAGICC v5 (released, v0.3.0)	213	213	0	0	213	0.3333333333333333	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0	0.0	0.0	0.0
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	out_of_domain	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	213	213	0	0	213	0.3333333333333333	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0	0.0	0.0	0.0
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	out_of_domain	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	213	213	0	0	213	0.3333333333333333	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0	0.0	0.0	0.0
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	out_of_domain	checkm2	CheckM2 1.0.1	213	213	0	0	213	0.2839173405211141	0.2711234911792015	0.2959094865100087	0.7417840375586855	0.6854460093896714	0.7981220657276995	0.0	0.0	0.0
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	out_of_domain	cocopye	CoCoPyE 0.5.0	213	213	0	0	213	0.3325490196078431	0.3309692671394799	0.3333333333333333	0.9953051643192489	0.9859154929577465	1.0	0.0	0.0	0.0
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	out_of_domain	deepcheck	DeepCheck	213	213	0	0	213	0.18855218855218855	0.16489988221436985	0.21007502679528403	0.39436619718309857	0.3286384976525822	0.460093896713615	0.0	0.0	0.0
set_E	Set E (realistic mixture)	current	primary	all	magicc_v5	MAGICC v5 (released, v0.3.0)	1000	785	66	215	719	0.9031822643838714	0.8708849737762857	0.930651285607449	0.954	0.9407033120613292	0.9662366568064054	0.8412698412698413	0.803030303030303	0.8217054263565892
set_E	Set E (realistic mixture)	current	primary	all	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	1000	785	66	215	719	0.9124092421348214	0.8818004827465225	0.9380275332016862	0.956	0.9426795913255634	0.9678683568930699	0.9122807017543859	0.7878787878787878	0.8455284552845528
set_E	Set E (realistic mixture)	current	primary	all	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	1000	785	66	215	719	0.9241494983938936	0.8945857888171329	0.9502095879649953	0.964	0.9515314603066971	0.9751737835153923	0.9807692307692307	0.7727272727272727	0.864406779661017
set_E	Set E (realistic mixture)	current	primary	all	checkm2	CheckM2 1.0.1	1000	785	66	215	719	0.8139948630335995	0.7803229850945976	0.845693342615669	0.865	0.8428907866879177	0.8867924528301887	0.6785714285714286	0.8636363636363636	0.76
set_E	Set E (realistic mixture)	current	primary	all	cocopye	CoCoPyE 0.5.0	1000	785	66	215	719	0.8877555277330975	0.8534902549121777	0.9170131909168765	0.945	0.9299294605563115	0.9587105372503602	0.8360655737704918	0.7727272727272727	0.8031496062992125
set_E	Set E (realistic mixture)	current	primary	all	deepcheck	DeepCheck	1000	785	66	215	719	0.694831742140854	0.6544128998953244	0.7308891579260683	0.737	0.7083333333333334	0.7648236048371918	0.5327102803738317	0.8636363636363636	0.6589595375722543
set_E	Set E (realistic mixture)	current	primary	in_domain	magicc_v5	MAGICC v5 (released, v0.3.0)	868	714	66	215	587	0.9016998844903332	0.8677797780670949	0.9305542798688969	0.9470046082949308	0.9314285714285714	0.9613152752925691	0.8412698412698413	0.803030303030303	0.8217054263565892
set_E	Set E (realistic mixture)	current	primary	in_domain	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	868	714	66	215	587	0.910795828564523	0.8784437716028897	0.9380221817411002	0.9493087557603687	0.9345029239766082	0.9629234591154121	0.9122807017543859	0.7878787878787878	0.8455284552845528
set_E	Set E (realistic mixture)	current	primary	in_domain	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	868	714	66	215	587	0.9230394451437741	0.8936556812677835	0.9504451684986637	0.9585253456221198	0.9448261679970825	0.9720622551176279	0.9807692307692307	0.7727272727272727	0.864406779661017
set_E	Set E (realistic mixture)	current	primary	in_domain	checkm2	CheckM2 1.0.1	868	714	66	215	587	0.8111852424945768	0.7766444794074546	0.8444171255756888	0.8502304147465438	0.8248308378385112	0.8739977090492554	0.6785714285714286	0.8636363636363636	0.76
set_E	Set E (realistic mixture)	current	primary	in_domain	cocopye	CoCoPyE 0.5.0	868	714	66	215	587	0.8859722188368181	0.8535383268417627	0.9190535680092137	0.9366359447004609	0.9214764160621189	0.9536452551391493	0.8360655737704918	0.7727272727272727	0.8031496062992125
set_E	Set E (realistic mixture)	current	primary	in_domain	deepcheck	DeepCheck	868	714	66	215	587	0.6910597583513413	0.6534599790581708	0.7302220351017307	0.717741935483871	0.6864932471844574	0.7488689056703762	0.5327102803738317	0.8636363636363636	0.6589595375722543
set_E	Set E (realistic mixture)	current	primary	out_of_domain	magicc_v5	MAGICC v5 (released, v0.3.0)	132	130	0	0	132	0.3333333333333333	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0	0.0	0.0	0.0
set_E	Set E (realistic mixture)	current	primary	out_of_domain	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	132	130	0	0	132	0.3333333333333333	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0	0.0	0.0	0.0
set_E	Set E (realistic mixture)	current	primary	out_of_domain	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	132	130	0	0	132	0.3333333333333333	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0	0.0	0.0	0.0
set_E	Set E (realistic mixture)	current	primary	out_of_domain	checkm2	CheckM2 1.0.1	132	130	0	0	132	0.32689832689832693	0.32031250000000006	0.3320659062103929	0.9621212121212122	0.924812030075188	0.9924242424242424	0.0	0.0	0.0
set_E	Set E (realistic mixture)	current	primary	out_of_domain	cocopye	CoCoPyE 0.5.0	132	130	0	0	132	0.3333333333333333	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0	0.0	0.0	0.0
