set	set_label	status	tier	tool	tool_label	tool_role	n	n_clusters	clustered_bootstrap	mimag_class	support_true	support_true_frac	n_predicted	precision	precision_ci_lo	precision_ci_hi	recall	recall_ci_lo	recall_ci_hi	f1	f1_ci_lo	f1_ci_hi
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	checkm2	CheckM2 1.0.1	competitor	1000	803	True	low	798	0.798	651	1.0	1.0	1.0	0.8157894736842105	0.7890615472560976	0.8435603322975743	0.898550724637681	0.8820954745299053	0.9151426369088029
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	checkm2	CheckM2 1.0.1	competitor	1000	803	True	medium	2	0.002	92	0.010869565217391304	0.0	0.03488372093023256	0.5	0.0	1.0	0.021276595744680847	0.0	0.06666666666666667
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	1000	803	True	high	200	0.2	198	0.9949494949494949	0.9833310055865921	1.0	0.985	0.9658536585365853	1.0	0.9899497487437187	0.9784120403435121	0.9976798143851509
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	1000	803	True	low	798	0.798	786	1.0	1.0	1.0	0.9849624060150376	0.9763077462593516	0.9926742160278745	0.9924242424242424	0.9880118600813684	0.9963236419108648
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	1000	803	True	medium	2	0.002	16	0.125	0.0	0.3125	1.0	0.0	1.0	0.2222222222222222	0.0	0.47619047619047616
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	deepcheck	DeepCheck	competitor	1000	803	True	high	200	0.2	328	0.6067073170731707	0.5555555555555556	0.658703298923625	0.995	0.9832354890635356	1.0	0.7537878787878788	0.7125463659147869	0.7934230386384484
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	deepcheck	DeepCheck	competitor	1000	803	True	low	798	0.798	472	1.0	1.0	1.0	0.5914786967418546	0.5578114309451666	0.6248500922509225	0.7433070866141732	0.7161475640948181	0.7691172188901181
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	deepcheck	DeepCheck	competitor	1000	803	True	medium	2	0.002	200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	1000	1000	False	high	34	0.034	48	0.6875	0.5581395348837209	0.8157894736842105	0.9705882352941176	0.9	1.0	0.8048780487804877	0.7042253521126761	0.888888888888889
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	1000	1000	False	low	883	0.883	863	0.9953650057937428	0.9906432748538012	0.9988545246277205	0.9728199320498301	0.9616642046114698	0.9829545454545454	0.983963344788087	0.9777009055464845	0.9892594686263425
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	1000	1000	False	medium	83	0.083	89	0.7415730337078652	0.6533265306122449	0.8333333333333334	0.7951807228915663	0.7023538961038961	0.8750351123595503	0.7674418604651162	0.6923076923076923	0.8333333333333334
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	1000	1000	False	high	34	0.034	41	0.7560975609756098	0.6222222222222222	0.8857142857142857	0.9117647058823529	0.8076612903225807	1.0	0.8266666666666665	0.7222222222222223	0.9135802469135802
