set	set_label	status	tier	subset	tool	tool_label	tool_role	metric	n	n_clusters	clustered_bootstrap	true_value_variance	true_value_constant	mae	mae_ci_lo	mae_ci_hi	bias	bias_ci_lo	bias_ci_hi	rmse	rmse_ci_lo	rmse_ci_hi	r2	r2_ci_lo	r2_ci_hi	r2_pearson_sq	r2_omitted_reason
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	cocopye	CoCoPyE 0.5.0	competitor	completeness	1000	798	True	288.16837015258153	False	3.626543119935133	3.3572535367241323	3.8986699268491534	1.5985225375141008	1.262854051260327	1.9361690381857815	5.476054680966631	5.035833915064036	5.926767547486759	0.8959387012077047	0.8772493209135726	0.9121965382213547	0.9085106847176115	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	cocopye	CoCoPyE 0.5.0	competitor	contamination	1000	798	True	0.0	True	0.7744793874790756	0.5925540986291193	0.9701251416476528	0.7744793874790756	0.5925540986291193	0.9701251416476528	2.8670595482195016	2.226028676869945	3.4464569364955553					R^2 omitted: the true contamination is constant at 0% for all 1000 genomes, so the total sum of squares is zero and no fraction of variance can be explained. MAE / RMSE / mean signed error remain well defined and are reported instead.
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	deepcheck	DeepCheck	competitor	completeness	1000	798	True	288.16837015258153	False	4.255472477276518	3.9737624813911854	4.5476266811971495	1.4648283920298533	1.1080948354660674	1.850843237218829	6.229719890580933	5.794885615879246	6.691991942561186	0.8653238386483895	0.8424428244931998	0.8848684138606185	0.8735672962805364	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	deepcheck	DeepCheck	competitor	contamination	1000	798	True	0.0	True	0.404035914644599	0.3733056198394923	0.4342167756574382	0.2865536159723997	0.25022008492493103	0.31999996854947804	0.6315151025352045	0.5879435825681019	0.6722457442735561					R^2 omitted: the true contamination is constant at 0% for all 1000 genomes, so the total sum of squares is zero and no fraction of variance can be explained. MAE / RMSE / mean signed error remain well defined and are reported instead.
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	completeness	1000	803	True	0.0	True	2.972426611	2.6267436353519904	3.326566005524882	-2.972426611	-3.326566005524882	-2.6267436353519904	6.014786910832875	5.383623754562402	6.624183955404386					R^2 omitted: the true completeness is constant at 100% for all 1000 genomes, so the total sum of squares is zero and no fraction of variance can be explained. MAE / RMSE / mean signed error remain well defined and are reported instead.
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	contamination	1000	803	True	772.4672959754683	False	4.453452160275677	4.1323829312900955	4.784437142200979	-0.13556211729051568	-0.5699743722468326	0.2944933537273577	6.772518352675309	6.163983194890683	7.3916415953882435	0.9406227227012851	0.9288642937644845	0.9511744057457859	0.9408855023396409	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	completeness	1000	803	True	0.0	True	3.1238226	2.7957231357953947	3.463146455653954	-3.1238226	-3.4631464556539546	-2.7957231357953947	5.8482909374021395	5.265833147767516	6.4350056525794095					R^2 omitted: the true completeness is constant at 100% for all 1000 genomes, so the total sum of squares is zero and no fraction of variance can be explained. MAE / RMSE / mean signed error remain well defined and are reported instead.
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	contamination	1000	803	True	772.4672959754683	False	5.109657326062996	4.752106957727581	5.484847966972136	1.7674096368514842	1.2789631451899919	2.2578618564057895	7.702473366904932	6.95170117523932	8.48783670478832	0.9231966242752575	0.9064059866808896	0.9378561395629711	0.9276074728380337	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	completeness	1000	803	True	0.0	True	0.7727145449999998	0.5774655538327407	0.9951360494128357	-0.7727145449999998	-0.9951360494128358	-0.5774655538327407	3.2782157809863457	2.501867659386456	4.0210689814141745					R^2 omitted: the true completeness is constant at 100% for all 1000 genomes, so the total sum of squares is zero and no fraction of variance can be explained. MAE / RMSE / mean signed error remain well defined and are reported instead.
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	contamination	1000	803	True	772.4672959754683	False	2.783629888936638	2.5895361039056173	2.9896416225905	-0.04897599531531569	-0.3248561304796966	0.24617877196054017	4.30382439859824	3.918718528538894	4.714952725638659	0.9760211150032199	0.9709511201314122	0.9802365989589279	0.9763162929485565	
