set	set_label	status	tier	tool	tool_label	tool_role	metric	n	n_clusters	true_value_variance	true_value_constant	true_value_min	true_value_max	mae	mae_ci_lo	mae_ci_hi	rmse	rmse_ci_lo	rmse_ci_hi	bias	bias_ci_lo	bias_ci_hi	r2	r2_ci_lo	r2_ci_hi	r2_pearson_sq	r2_pearson_sq_ci_lo	r2_pearson_sq_ci_hi	r2_omitted_reason
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	contamination	1000	803	772.4672959754683	False	0.0	80.0	19.14068970973646	18.04250157822005	20.291697976833614	26.72869859204681	25.616310318751605	27.852288541985125	-18.418447222226682	-19.606929641446552	-17.27655207066593	0.07514100318989625	0.008653369522991484	0.1374532950721437	0.7142834517723246	0.6908147568885733	0.7372319639415361	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	deepcheck	DeepCheck	competitor	contamination	1000	803	772.4672959754683	False	0.0	80.0	25.704923896847433	24.347163470022036	27.09590014050012	33.9781108824303	32.29440077424578	35.6758198029079	-20.585649024365537	-22.273219337626	-18.873629116015874	-0.4945772140176057	-0.6528200869147395	-0.3577999980501757	0.2959317946432209	0.26265365852708344	0.3328551831072637	
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	completeness	1000	1000	267.7203131565555	False	50.00148287148627	100.0	3.153890706633181	2.8941616623273334	3.411516591354186	5.245828049671358	4.749667963269326	5.740729561828009	0.9695422635955971	0.6428714744717973	1.2968649527914238	0.897210967661514	0.8768559479061228	0.9156508073231044	0.9009957720486075	0.8813949701043321	0.9185586807364158	
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	completeness	1000	1000	267.7203131565555	False	50.00148287148627	100.0	3.3647852548056716	3.1002880505293726	3.639760736953016	5.516167936549697	5.0216145078985965	6.0045306600077595	1.1477021955955973	0.8116814344428775	1.4976041073560202	0.8863436683400807	0.8649970471339246	0.9058456320309242	0.891756515474674	0.8718346117657564	0.9102073403631181	
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	completeness	1000	1000	267.7203131565555	False	50.00148287148627	100.0	2.958389655163977	2.706060888815342	3.213180145849564	5.014598594134317	4.447612409785529	5.586761611531796	-0.09618630140440265	-0.4171839902187959	0.21633453330296198	0.9060728759659374	0.8829647720734153	0.9259362985568956	0.9063955490804738	0.8837853674838093	0.9260997953596123	
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	checkm2	CheckM2 1.0.1	competitor	completeness	1000	1000	267.7203131565555	False	50.00148287148627	100.0	7.993850021155766	7.640436571252238	8.364727093954041	9.843362051336328	9.45966912827637	10.239179841505916	-4.7301815044044035	-5.285841536706507	-4.193801885139743	0.6380858242272096	0.6040972896780036	0.6692735266280238	0.7289338639488994	0.7026875974899794	0.7536118706869606	
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	cocopye	CoCoPyE 0.5.0	competitor	completeness	1000	1000	267.7203131565555	False	50.00148287148627	100.0	15.725176062118091	15.096966863220032	16.348057242349437	18.680391692698443	18.09426552180541	19.27408765752516	-13.976697537222805	-14.727081511840357	-13.216457482738779	-0.30343876293233074	-0.43330855856980094	-0.19498353438515095	0.4680926729715007	0.42804604065416213	0.505415209291498	
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	deepcheck	DeepCheck	competitor	completeness	1000	1000	267.7203131565555	False	50.00148287148627	100.0	17.967173426126184	17.363163259990383	18.58199630489771	20.490850366253078	19.877147447181116	21.0868954038692	-17.44978112621532	-18.12730161197492	-16.79844904337708	-0.5683342955252055	-0.711958462579735	-0.4405111051583253	0.5857199970227487	0.5499678404345449	0.6216935231695356	
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	contamination	1000	1000	835.7012587862166	False	0.0	99.88232114857072	7.974122201377205	7.490692329672567	8.485530127479255	11.130891115830526	10.445407315650895	11.807194999988234	-6.997701786355452	-7.562475887962148	-6.461262893883703	0.8517451831861255	0.8340536198397067	0.8685485495269092	0.9293160231293653	0.9180670415453288	0.939446276409357	
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	contamination	1000	1000	835.7012587862166	False	0.0	99.88232114857072	7.439052423495307	6.950873576475571	7.940664677109171	10.757246679991553	10.007415710607882	11.528554746815358	-6.1686907447954535	-6.726194854272147	-5.617831175051539	0.8615314325333671	0.8421421740776927	0.8791598158549134	0.9249449462819438	0.9114468505587496	0.937558528140311	
