scope	novelty_class	novelty_depth	tool	tool_label	n_genomes	n_clusters_set_x_ref	n_distinct_reference_accessions	seed	bootstrap_iterations	cluster_definition	completeness_mae	completeness_mae_ci_lo	completeness_mae_ci_hi	completeness_bias	completeness_bias_ci_lo	completeness_bias_ci_hi	contamination_mae	contamination_mae_ci_lo	contamination_mae_ci_hi	contamination_bias	contamination_bias_ci_lo	contamination_bias_ci_hi	completeness_r2_cod	completeness_r2_cod_ci_lo	completeness_r2_cod_ci_hi	contamination_r2_cod	contamination_r2_cod_ci_lo	contamination_r2_cod_ci_hi	false_fail_rate_cont5	false_fail_rate_cont5_ci_lo	false_fail_rate_cont5_ci_hi	false_pass_rate_cont5	false_pass_rate_cont5_ci_lo	false_pass_rate_cont5_ci_hi	balanced_accuracy_cont5	balanced_accuracy_cont5_ci_lo	balanced_accuracy_cont5_ci_hi	completeness_r2_omitted_reason	contamination_r2_omitted_reason	cont5_n_true_pass_DENOM_false_fail	cont5_n_true_fail_DENOM_false_pass	cont5_n_false_fail	cont5_n_false_pass	false_fail_denominator_statement	false_pass_denominator_statement	true_completeness_variance	true_contamination_variance	supports_claim
set_B_v2	lineage_represented	0.0	magicc_v5	MAGICC v5 (released, v0.3.0)	775	625	625	20309401	2000	set x dominant_accession	1.981961442580645	1.7393227529589192	2.24318846209486	-1.981961442580645	-2.24318846209486	-1.7393227529589195	3.7282298007729624	3.4714476005501296	4.0117442202420035	-0.44286793734670776	-0.8264623803635267	-0.030358547335922314				0.9612150600346622	0.9543508261307867	0.9671800737959021	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	true completeness variance 0 ~ 0 (R1-m19)		155	620	0	0	0/155 genomes whose TRUE contamination is < 5%	0/620 genomes whose TRUE contamination is >= 5%	0.0	756.5391440919617	True
set_B_v2	lineage_represented	0.0	checkm2	CheckM2 1.0.1	775	625	625	20309401	2000	set x dominant_accession	0.44796129032258086	0.2839200216450217	0.6331590232163641	-0.44796129032258086	-0.6331590232163641	-0.2839200216450218	17.884533091553394	16.56418550739601	19.128037534129298	-14.600610670998323	-16.10669830377358	-13.072743152193205				0.14790081487926077	0.0435375935566536	0.24568029229518762	0.0	0.0	0.0	0.07580645161290323	0.054429367133892154	0.09795262214844747	0.9620967741935484	0.9510236889257763	0.9727853164330539	true completeness variance 0 ~ 0 (R1-m19)		155	620	0	47	0/155 genomes whose TRUE contamination is < 5%	47/620 genomes whose TRUE contamination is >= 5%	0.0	756.5391440919617	True
set_B_v2	lineage_represented	0.0	cocopye	CoCoPyE 0.5.0	775	625	625	20309401	2000	set x dominant_accession	1.9511104648646191	1.634410490260349	2.283935678113911	-1.9511104648646191	-2.283935678113911	-1.63441049026035	18.478403440113357	17.210476872633603	19.691718366707615	-17.757031292405387	-19.011924709358127	-16.43628539560432				0.10398789299540778	0.03096301288413359	0.17038200649972748	0.012903225806451613	0.0	0.03378952932524358	0.0016129032258064516	0.0	0.004967507245099224	0.9927419354838709	0.9822673036816274	1.0	true completeness variance 0 ~ 0 (R1-m19)		155	620	2	1	2/155 genomes whose TRUE contamination is < 5%	1/620 genomes whose TRUE contamination is >= 5%	0.0	756.5391440919617	True
set_B_v2	lineage_represented	0.0	deepcheck	DeepCheck	775	625	625	20309401	2000	set x dominant_accession	6.109211317493069	5.5106587892907966	6.6976778868463915	4.001108939878402	3.326415107914401	4.71892569044803	25.706035425155733	24.14366296884954	27.169088614935742	-21.35354494516572	-23.200706747034154	-19.40106126965387				-0.5065594971629868	-0.6804808106251038	-0.3492324693644382	0.0	0.0	0.0	0.17096774193548386	0.13987053303008914	0.20000801282051278	0.9145161290322581	0.8999959935897436	0.9300647334849554	true completeness variance 0 ~ 0 (R1-m19)		155	620	0	106	0/155 genomes whose TRUE contamination is < 5%	106/620 genomes whose TRUE contamination is >= 5%	0.0	756.5391440919617	True
set_B_v2	species_novel	1.0	magicc_v5	MAGICC v5 (released, v0.3.0)	186	146	146	20306220	2000	set x dominant_accession	5.510202564516129	4.438284338890167	6.662592004012981	-5.510202564516129	-6.662592004012982	-4.438284338890167	6.097725710650365	5.265520694493868	6.9852036894432175	0.5107001802302115	-0.8092819347090606	1.82277693617413				0.9049753807808972	0.8648975879600802	0.9346485597283568	0.08333333333333333	0.0	0.18518518518518517	0.0	0.0	0.0	0.9583333333333333	0.9074074074074074	1.0	true completeness variance 0 ~ 0 (R1-m19)		36	150	3	0	3/36 genomes whose TRUE contamination is < 5%	0/150 genomes whose TRUE contamination is >= 5%	0.0	779.9621054232922	True
set_B_v2	species_novel	1.0	checkm2	CheckM2 1.0.1	186	146	146	20306220	2000	set x dominant_accession	0.40553763440860235	0.2074161719096146	0.6382866448068061	-0.40553763440860235	-0.6382866448068063	-0.20741617190961467	15.563509190590716	13.376710232179486	17.86538007075682	-11.637391929769787	-14.52536737179906	-8.84578875537106				0.3424925997457694	0.15265142355969827	0.5090204195586111	0.0	0.0	0.0	0.08	0.03896103896103896	0.1275339872655308	0.96	0.9362330063672345	0.9805194805194806	true completeness variance 0 ~ 0 (R1-m19)		36	150	0	12	0/36 genomes whose TRUE contamination is < 5%	12/150 genomes whose TRUE contamination is >= 5%	0.0	779.9621054232922	True
set_B_v2	species_novel	1.0	cocopye	CoCoPyE 0.5.0	186	146	146	20306220	2000	set x dominant_accession	4.286317162298702	3.481175783819477	5.18792969885667	-4.286317162298702	-5.18792969885667	-3.481175783819477	20.9022279085701	18.22150692505182	23.63494638688029	-20.265069056662366	-23.08977653602575	-17.531358348707226				-0.01939084218724152	-0.22128284655724037	0.13872960696319134	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	true completeness variance 0 ~ 0 (R1-m19)		36	150	0	0	0/36 genomes whose TRUE contamination is < 5%	0/150 genomes whose TRUE contamination is >= 5%	0.0	779.9621054232922	True
set_B_v2	species_novel	1.0	deepcheck	DeepCheck	186	146	146	20306220	2000	set x dominant_accession	8.561667165448588	7.0678583573634155	10.188876949607902	6.309186463714928	4.62944165446771	8.109738639412688	25.166394964846297	22.157918874396355	28.489525553565464	-16.40157717658219	-20.544003297198227	-11.81489277599205				-0.4828037721949092	-0.9452932034923639	-0.14142814834158882	0.0	0.0	0.0	0.14666666666666667	0.09021351455561984	0.20988440669969327	0.9266666666666667	0.8950577966501533	0.95489324272219	true completeness variance 0 ~ 0 (R1-m19)		36	150	0	22	0/36 genomes whose TRUE contamination is < 5%	22/150 genomes whose TRUE contamination is >= 5%	0.0	779.9621054232922	True
set_B_v2	genus_novel	2.0	magicc_v5	MAGICC v5 (released, v0.3.0)	32	28	28	20335361	2000	set x dominant_accession	10.964122499999998	6.743998597210952	15.550765172580633	-10.964122499999998	-15.55076517258064	-6.743998597210953	9.543129971195038	6.104956315047054	13.271833197026698	0.1545105772949671	-4.6642925645939535	5.1298752803954555				0.8162552237807899	0.6441272665648281	0.9162236755363203	0.25	0.0	0.5714285714285714	0.0	0.0	0.0	0.875	0.7142857142857143	1.0	true completeness variance 0 ~ 0 (R1-m19)		8	24	2	0	2/8 genomes whose TRUE contamination is < 5%	0/24 genomes whose TRUE contamination is >= 5%	0.0	1087.6426942671874	True
set_B_v2	genus_novel	2.0	checkm2	CheckM2 1.0.1	32	28	28	20335361	2000	set x dominant_accession	0.6896875000000007	0.12604190340909088	1.4620718690702097	-0.6896875000000007	-1.4620718690702097	-0.12604190340909094	24.80708345531237	17.008563455592157	33.89730360569927	-21.829580135767532	-31.961627499377812	-12.735635304513607				-0.10442094066540308	-0.8940651096365926	0.36951516113300026	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	true completeness variance 0 ~ 0 (R1-m19)		8	24	0	0	0/8 genomes whose TRUE contamination is < 5%	0/24 genomes whose TRUE contamination is >= 5%	0.0	1087.6426942671874	True
