dominant_accession	canonical_assembly_key	sets	n_benchmark_genomes	gtdb_taxonomy	novelty_class	novelty_depth	deepest_represented_rank	novelty_class_suffix_stripped_sensitivity	novelty_class_vs_train_plus_val_sensitivity	phylum	phylum_in_train	phylum_n_train_genomes	class	class_in_train	class_n_train_genomes	order	order_in_train	order_n_train_genomes	family	family_in_train	family_n_train_genomes	genus	genus_in_train	genus_n_train_genomes	species	species_in_train	species_n_train_genomes
RS_GCF_037222485.1	037222485	set_E	1	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	lineage_represented	0	species	lineage_represented	lineage_represented	Bacillota	True	20301	Bacilli	True	16480	Staphylococcales	True	4832	Staphylococcaceae	True	4802	Staphylococcus	True	4669	Staphylococcus aureus	True	3499
RS_GCF_037242635.1	037242635	set_A_v2;set_B_v2	2	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus agalactiae	lineage_represented	0	species	lineage_represented	lineage_represented	Bacillota	True	20301	Bacilli	True	16480	Lactobacillales	True	8717	Streptococcaceae	True	4296	Streptococcus	True	4072	Streptococcus agalactiae	True	392
RS_GCF_037270985.1	037270985	set_A_v2	1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia;s__Serratia nevei	lineage_represented	0	species	lineage_represented	lineage_represented	Pseudomonadota	True	25960	Gammaproteobacteria	True	22452	Enterobacterales	True	14187	Enterobacteriaceae	True	12006	Serratia	True	367	Serratia nevei	True	33
RS_GCF_037477845.1	037477845	set_A_v2	1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae	lineage_represented	0	species	lineage_represented	lineage_represented	Pseudomonadota	True	25960	Gammaproteobacteria	True	22452	Enterobacterales	True	14187	Enterobacteriaceae	True	12006	Klebsiella	True	3104	Klebsiella pneumoniae	True	2429
RS_GCF_037494685.1	037494685	set_A_v2;set_E	2	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina perfringens	lineage_represented	0	species	lineage_represented	lineage_represented	Bacillota	True	20301	Clostridia	True	3371	Clostridiales	True	468	Clostridiaceae	True	465	Sarcina	True	137	Sarcina perfringens	True	136
RS_GCF_037541525.1	037541525	set_E	1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	lineage_represented	0	species	lineage_represented	lineage_represented	Pseudomonadota	True	25960	Gammaproteobacteria	True	22452	Enterobacterales	True	14187	Enterobacteriaceae	True	12006	Escherichia	True	2769	Escherichia coli	True	2672
RS_GCF_037555585.1	037555585	set_B_v2	1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	lineage_represented	0	species	lineage_represented	lineage_represented	Pseudomonadota	True	25960	Gammaproteobacteria	True	22452	Enterobacterales	True	14187	Enterobacteriaceae	True	12006	Escherichia	True	2769	Escherichia coli	True	2672
RS_GCF_037590645.1	037590645	set_A_v2;set_B_v2;set_E	4	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_D;s__Campylobacter_D jejuni	lineage_represented	0	species	lineage_represented	lineage_represented	Campylobacterota	True	4973	Campylobacteria	True	4968	Campylobacterales	True	4958	Campylobacteraceae	True	2947	Campylobacter_D	True	2555	Campylobacter_D jejuni	True	1499
RS_GCF_037623895.1	037623895	set_A_v2;set_E	3	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	lineage_represented	0	species	lineage_represented	lineage_represented	Pseudomonadota	True	25960	Gammaproteobacteria	True	22452	Enterobacterales	True	14187	Enterobacteriaceae	True	12006	Escherichia	True	2769	Escherichia coli	True	2672
RS_GCF_037651215.1	037651215	set_A_v2;set_E	3	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_D;s__Campylobacter_D jejuni	lineage_represented	0	species	lineage_represented	lineage_represented	Campylobacterota	True	4973	Campylobacteria	True	4968	Campylobacterales	True	4958	Campylobacteraceae	True	2947	Campylobacter_D	True	2555	Campylobacter_D jejuni	True	1499
RS_GCF_037692175.1	037692175	set_A_v2;set_B_v2;set_E	3	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_D;s__Campylobacter_D jejuni	lineage_represented	0	species	lineage_represented	lineage_represented	Campylobacterota	True	4973	Campylobacteria	True	4968	Campylobacterales	True	4958	Campylobacteraceae	True	2947	Campylobacter_D	True	2555	Campylobacter_D jejuni	True	1499
RS_GCF_037694895.1	037694895	set_B_v2	1	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_D;s__Campylobacter_D jejuni	lineage_represented	0	species	lineage_represented	lineage_represented	Campylobacterota	True	4973	Campylobacteria	True	4968	Campylobacterales	True	4958	Campylobacteraceae	True	2947	Campylobacter_D	True	2555	Campylobacter_D jejuni	True	1499
RS_GCF_037782195.1	037782195	set_B_v2	1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	lineage_represented	0	species	lineage_represented	lineage_represented	Pseudomonadota	True	25960	Gammaproteobacteria	True	22452	Enterobacterales	True	14187	Enterobacteriaceae	True	12006	Salmonella	True	2852	Salmonella enterica	True	2804
RS_GCF_037797495.1	037797495	set_B_v2	2	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	lineage_represented	0	species	lineage_represented	lineage_represented	Pseudomonadota	True	25960	Gammaproteobacteria	True	22452	Enterobacterales	True	14187	Enterobacteriaceae	True	12006	Salmonella	True	2852	Salmonella enterica	True	2804
RS_GCF_037888985.1	037888985	set_E	2	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium polymorphum	lineage_represented	0	species	lineage_represented	lineage_represented	Fusobacteriota	True	457	Fusobacteriia	True	457	Fusobacteriales	True	457	Fusobacteriaceae	True	405	Fusobacterium	True	269	Fusobacterium polymorphum	True	99
RS_GCF_037889195.1	037889195	set_A_v2;set_B_v2	2	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium nucleatum_J	lineage_represented	0	species	lineage_represented	lineage_represented	Fusobacteriota	True	457	Fusobacteriia	True	457	Fusobacteriales	True	457	Fusobacteriaceae	True	405	Fusobacterium	True	269	Fusobacterium nucleatum_J	True	25
RS_GCF_037893335.1	037893335	set_A_v2;set_B_v2;set_E	3	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium animalis	lineage_represented	0	species	lineage_represented	lineage_represented	Fusobacteriota	True	457	Fusobacteriia	True	457	Fusobacteriales	True	457	Fusobacteriaceae	True	405	Fusobacterium	True	269	Fusobacterium animalis	True	59
RS_GCF_037893695.1	037893695	set_B_v2;set_E	3	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium polymorphum	lineage_represented	0	species	lineage_represented	lineage_represented	Fusobacteriota	True	457	Fusobacteriia	True	457	Fusobacteriales	True	457	Fusobacteriaceae	True	405	Fusobacterium	True	269	Fusobacterium polymorphum	True	99
RS_GCF_037897535.1	037897535	set_A_v2	1	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium animalis	lineage_represented	0	species	lineage_represented	lineage_represented	Fusobacteriota	True	457	Fusobacteriia	True	457	Fusobacteriales	True	457	Fusobacteriaceae	True	405	Fusobacterium	True	269	Fusobacterium animalis	True	59
RS_GCF_037904615.1	037904615	set_A_v2;set_B_v2;set_E	3	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium vincentii	lineage_represented	0	species	lineage_represented	lineage_represented	Fusobacteriota	True	457	Fusobacteriia	True	457	Fusobacteriales	True	457	Fusobacteriaceae	True	405	Fusobacterium	True	269	Fusobacterium vincentii	True	21
RS_GCF_037911025.1	037911025	set_A_v2;set_B_v2	2	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium animalis	lineage_represented	0	species	lineage_represented	lineage_represented	Fusobacteriota	True	457	Fusobacteriia	True	457	Fusobacteriales	True	457	Fusobacteriaceae	True	405	Fusobacterium	True	269	Fusobacterium animalis	True	59
RS_GCF_037911885.1	037911885	set_B_v2	1	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium animalis	lineage_represented	0	species	lineage_represented	lineage_represented	Fusobacteriota	True	457	Fusobacteriia	True	457	Fusobacteriales	True	457	Fusobacteriaceae	True	405	Fusobacterium	True	269	Fusobacterium animalis	True	59
RS_GCF_037911915.1	037911915	set_A_v2;set_E	3	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium animalis	lineage_represented	0	species	lineage_represented	lineage_represented	Fusobacteriota	True	457	Fusobacteriia	True	457	Fusobacteriales	True	457	Fusobacteriaceae	True	405	Fusobacterium	True	269	Fusobacterium animalis	True	59
