tool	margin	level	n	n_clusters	detection_slope	detection_slope_ci_lo	detection_slope_ci_hi	cont_mae	cont_mae_ci_lo	cont_mae_ci_hi	cont_bias	cont_bias_ci_lo	cont_bias_ci_hi	comp_mae	comp_mae_ci_lo	comp_mae_ci_hi	comp_bias	comp_bias_ci_lo	comp_bias_ci_hi	cont_r2	comp_r2	true_cont_mean	true_comp_mean	mimag_n	mimag_n_true_HQ	mimag_n_pred_HQ	mimag_HQ_tp	mimag_HQ_fp	mimag_HQ_fn	mimag_HQ_tn	mimag_HQ_precision	mimag_HQ_recall	mimag_false_clean_rate_5pct	mimag_false_dirty_rate_5pct
magicc_v5	pooled	NON_REDUNDANT(replaced+single)	1200	100	0.5469	0.4737	0.617	5.334	4.6251	6.0387	-4.7447	-5.4316	-4.057	4.9495	4.3129	5.6179	3.7758	3.0964	4.4931	-0.3758	0.4047	9.198	81.621	1200.0	87.0	303.0	85.0	218.0	2.0	895.0	0.2805	0.977	0.5897	0.0119
magicc_v5	pooled	UNCONTAMINATED_CONTROL	100	100				0.4423	0.3432	0.5661	0.4423	0.3432	0.5661	1.6341	1.2176	2.1479	0.054	-0.5028	0.6325		0.8943	0.0	85.135	100.0	19.0	23.0	18.0	5.0	1.0	76.0	0.7826	0.9474	0.0	0.0
checkm2	type	redundant	600	100	1.1318	1.0136	1.2605	4.5355	3.9941	5.1282	3.3646	2.6896	4.0881	3.754	3.0824	4.49	2.9148	2.0981	3.7808	-0.0937	0.5697	9.35	85.135	600.0	42.0	37.0	23.0	14.0	19.0	544.0	0.6216	0.5476	0.0281	0.3014
checkm2	type	replaced	600	100	0.0415	0.0078	0.0834	8.4248	7.2041	9.6284	-8.2905	-9.5098	-7.0643	9.0389	7.9495	10.2022	8.5959	7.4574	9.7796	-1.6722	-0.64	9.35	78.107	600.0	43.0	171.0	42.0	129.0	1.0	428.0	0.2456	0.9767	0.9746	0.0
checkm2	type	single	600	100	0.0835	0.0462	0.1221	7.7032	6.5742	8.7667	-7.5896	-8.6796	-6.423	2.6805	2.2104	3.2261	1.161	0.461	1.8274	-1.3309	0.797	9.046	85.135	600.0	44.0	156.0	44.0	112.0	0.0	444.0	0.2821	1.0	0.9275	0.0
checkm2	distance	species	300	100	0.3719	0.3246	0.4195	5.8459	5.0518	6.6208	-5.0604	-5.8619	-4.263	4.8085	4.2135	5.4008	3.8132	3.1081	4.5083	-0.6699	0.4064	8.743	82.689	300.0	23.0	61.0	20.0	41.0	3.0	236.0	0.3279	0.8696	0.6667	0.0541
checkm2	distance	genus	300	100	0.3552	0.3008	0.4193	6.466	5.6097	7.3828	-5.1293	-6.0402	-4.2943	5.0145	4.4313	5.6399	4.1166	3.4311	4.8881	-0.8853	0.3813	9.35	82.759	300.0	21.0	66.0	19.0	47.0	2.0	232.0	0.2879	0.9048	0.6447	0.0583
checkm2	distance	family	300	100	0.4408	0.3763	0.5059	6.7934	5.9467	7.7172	-4.3153	-5.1392	-3.5631	5.2115	4.5306	5.9398	4.4078	3.6309	5.272	-0.9159	0.3145	9.35	82.83	300.0	21.0	61.0	17.0	44.0	4.0	235.0	0.2787	0.8095	0.6462	0.1143
checkm2	distance	order	300	100	0.4602	0.3877	0.5365	7.1921	6.2687	8.1715	-3.8177	-4.5885	-3.1179	5.2197	4.5664	5.9499	4.3938	3.6311	5.2322	-1.0654	0.3349	9.35	82.9	300.0	22.0	64.0	18.0	46.0	4.0	232.0	0.2812	0.8182	0.6345	0.1165
checkm2	distance	class	300	100	0.3884	0.3027	0.473	7.3221	6.4021	8.2873	-4.0321	-4.9014	-3.181	5.0915	4.4443	5.7764	4.0067	3.2086	4.8257	-1.1078	0.3625	9.35	82.796	300.0	21.0	59.0	18.0	41.0	3.0	238.0	0.3051	0.8571	0.6684	0.1346
checkm2	distance	phylum	300	100	0.5392	0.4246	0.67	7.7076	6.6423	8.7442	-2.6763	-3.6441	-1.6868	5.6011	4.7581	6.4947	4.6051	3.6555	5.6343	-1.5395	0.246	9.35	82.778	300.0	21.0	53.0	17.0	36.0	4.0	243.0	0.3208	0.8095	0.599	0.1262
checkm2	true_contamination_band	[0,5]%	540	30	0.1328	-0.2574	0.4593	1.6897	1.4239	1.9603	-0.3608	-0.7265	0.0156	2.7652	2.1267	3.4798	1.452	0.6113	2.2801	-5.1009	0.7801	1.993	84.227	540.0	79.0	119.0	76.0	43.0	3.0	418.0	0.6387	0.962	0.0	0.0685
checkm2	true_contamination_band	[5,10]%	360	20	0.438	0.1129	0.7657	4.7614	4.2306	5.2782	-1.8304	-2.3943	-1.2728	3.6757	2.7528	4.7967	3.1122	1.9915	4.3697	-16.0403	0.5581	6.215	84.966	360.0	48.0	66.0	31.0	35.0	17.0	277.0	0.4697	0.6458	0.6547	0.3171
checkm2	true_contamination_band	[10,15]%	360	20	0.781	0.4708	1.1457	8.3171	7.733	8.952	-4.9923	-5.6004	-4.4053	5.5832	4.7326	6.425	5.0558	4.0497	6.0726	-33.0754	0.1547	11.121	81.845	360.0	1.0	49.0	1.0	48.0	0.0	311.0	0.0204	1.0	0.6461	0.0
checkm2	true_contamination_band	[15,20]%	540	30	0.4354	0.188	0.738	12.5508	11.9472	13.1374	-8.9968	-9.9693	-8.0407	8.2549	7.21	9.418	7.1822	5.8147	8.685	-28.469	0.0395	17.278	80.539	540.0	1.0	130.0	1.0	129.0	0.0	410.0	0.0077	1.0	0.635	0.0
checkm2	type_x_band	redundant|[0,5]%	180	30	1.1073	0.578	1.5742	1.8213	1.5359	2.1366	1.5215	1.1538	1.8916	2.3229	1.7262	2.9868	0.7238	-0.3668	1.7434	-6.3862	0.8355	2.0	84.882											
checkm2	type_x_band	redundant|[5,10]%	120	20	1.2376	0.7516	1.7334	4.4889	3.9171	5.0909	4.2387	3.639	4.8919	2.7674	1.4156	4.4244	2.1938	0.7621	3.9619	-18.5553	0.6489	6.25	87.142											
checkm2	type_x_band	redundant|[10,20]%	300	50	0.9407	0.5711	1.2834	6.1826	5.4351	7.0298	4.1208	2.8553	5.3545	5.0073	3.9744	6.2224	4.5178	3.3779	5.8263	-4.9345	0.4395	15.0	84.483											
checkm2	type_x_band	replaced|[0,5]%	180	30	-0.4298	-0.7406	-0.1824	1.6274	1.2709	1.9808	-1.3191	-1.774	-0.8511	3.7684	2.7161	4.939	3.2839	2.0667	4.6006	-4.5515	0.6947	2.0	82.917											
checkm2	type_x_band	replaced|[5,10]%	120	20	-0.1093	-0.4037	0.1306	5.278	4.5498	5.9472	-5.278	-5.9472	-4.5498	6.0647	5.0122	7.1632	5.8132	4.6263	7.0131	-18.6488	-0.2448	6.25	80.613											
checkm2	type_x_band	replaced|[10,20]%	300	50	0.0298	-0.059	0.1433	13.762	12.8071	14.7644	-13.6784	-14.668	-12.6861	13.391	12.1307	14.5491	12.8961	11.6072	14.1636	-15.3047	-3.1212	15.0	74.219											
checkm2	type_x_band	single|[0,5]%	180	30	-0.3106	-0.6814	0.0074	1.6203	1.3079	1.9302	-1.2849	-1.7429	-0.787	2.2043	1.5821	2.9178	0.3484	-0.6555	1.3592	-4.359	0.8443	1.981	84.882											
checkm2	type_x_band	single|[5,10]%	120	20	0.0802	-0.395	0.5376	4.5173	3.7333	5.2407	-4.4521	-5.2169	-3.5886	2.1951	1.0211	3.6331	1.3295	-0.069	2.9785	-11.8637	0.7635	6.144	87.142											
checkm2	type_x_band	single|[10,20]%	300	50	0.1108	0.0486	0.1858	12.6274	11.7515	13.5326	-12.6274	-13.5326	-11.7515	3.1604	2.4767	3.9583	1.5811	0.5977	2.5802	-9.3564	0.7836	14.447	84.483											
checkm2	pooled	ALL_contaminated	1800	100	0.4292	0.3703	0.4924	6.8878	6.0249	7.7867	-4.1718	-4.9556	-3.4343	5.1578	4.5341	5.8276	4.2239	3.5084	5.0116	-1.0299	0.3412	9.249	82.792	1800.0	129.0	364.0	109.0	255.0	20.0	1416.0	0.2995	0.845	0.643	0.1002
checkm2	pooled	NON_REDUNDANT(replaced+single)	1200	100	0.0616	0.0272	0.1012	8.064	6.9359	9.1834	-7.94	-9.0909	-6.7932	5.8597	5.1807	6.5695	4.8784	4.1429	5.6734	-1.5012	0.2117	9.198	81.621	1200.0	87.0	327.0	86.0	241.0	1.0	872.0	0.263	0.9885	0.9513	0.0
checkm2	pooled	UNCONTAMINATED_CONTROL	100	100				0.6812	0.5046	0.8761	0.6812	0.5046	0.8761	2.1518	1.7053	2.6066	0.0677	-0.543	0.683		0.8653	0.0	85.135	100.0	19.0	24.0	19.0	5.0	0.0	76.0	0.7917	1.0	0.0	0.01
