stratum	level	tool_a	tool_b	n_pairs	hl	hl_ci_lo	hl_ci_hi	cliffs_delta	cliffs_ci_lo	cliffs_ci_hi	p_wilcoxon	mae_a	mae_b	bias_a	bias_b	q_bh	winner
cell	replaced|genus	magicc_v5	deepcheck	100	-0.2072	-0.3869	-0.0238	-0.0506	-0.1092	-0.0062	0.03750842722040098	8.3174	8.7965	-8.2568	-8.7318	0.04661761668821265	magicc_v5
cell	replaced|family	magicc_v5	checkm2	100	-0.9335	-2.0481	-0.4761	-0.215	-0.3028	-0.1348	8.347617546453232e-06	6.1804	8.4623	-5.9374	-8.3765	1.3204413209844204e-05	magicc_v5
cell	replaced|family	magicc_v5	cocopye	100	-1.4431	-2.6976	-0.6583	-0.2544	-0.3556	-0.1618	5.75624329737253e-06	6.1804	8.4764	-5.9374	-6.5981	9.44892767681906e-06	magicc_v5
cell	replaced|family	magicc_v5	deepcheck	100	-1.2173	-2.2684	-0.7445	-0.2436	-0.3304	-0.1638	8.571186883883589e-10	6.1804	8.7796	-5.9374	-8.7367	1.5865814019103665e-09	magicc_v5
cell	replaced|order	magicc_v5	checkm2	100	-4.1521	-5.2732	-2.1571	-0.4392	-0.5458	-0.3388	6.747817107930336e-12	4.0213	8.5004	-3.3128	-8.3646	1.505282277922921e-11	magicc_v5
cell	replaced|order	magicc_v5	cocopye	100	-4.1335	-5.4759	-2.7812	-0.4836	-0.5908	-0.3714	8.37671941690257e-12	4.0213	8.4631	-3.3128	-6.5757	1.821936473176309e-11	magicc_v5
cell	replaced|order	magicc_v5	deepcheck	100	-4.4637	-5.5909	-2.2584	-0.473	-0.5742	-0.3856	1.043664781540866e-15	4.0213	8.7684	-3.3128	-8.6833	3.947775478002406e-15	magicc_v5
cell	replaced|class	magicc_v5	checkm2	100	-5.3658	-6.9535	-3.9781	-0.5942	-0.6936	-0.4932	1.237033592256768e-14	2.4991	8.3573	-1.0386	-8.2565	3.471674920204478e-14	magicc_v5
cell	replaced|class	magicc_v5	cocopye	100	-5.5759	-6.9387	-4.3604	-0.65	-0.7534	-0.5512	1.453827925226812e-14	2.4991	8.3865	-1.0386	-6.5725	3.9525946717103953e-14	magicc_v5
cell	replaced|class	magicc_v5	deepcheck	100	-5.7527	-7.1657	-4.4348	-0.61	-0.71	-0.515	1.822758080253685e-15	2.4991	8.5961	-1.0386	-8.5374	6.607498040919609e-15	magicc_v5
cell	replaced|phylum	magicc_v5	checkm2	100	-5.1186	-6.5707	-3.5418	-0.5436	-0.6508	-0.4384	4.220912101095269e-14	2.529	7.945	-0.3033	-7.6086	1.1127859175614799e-13	magicc_v5
cell	replaced|phylum	magicc_v5	cocopye	100	-5.0898	-6.4603	-3.9638	-0.6248	-0.7226	-0.5232	1.0240740550959064e-14	2.529	8.0414	-0.3033	-6.0049	3.181944385476566e-14	magicc_v5
cell	replaced|phylum	magicc_v5	deepcheck	100	-5.5297	-6.8887	-4.1236	-0.6076	-0.7026	-0.514	5.312355559705196e-16	2.529	8.4046	-0.3033	-8.2086	2.100795153156146e-15	magicc_v5
cell	single|species	magicc_v5	checkm2	100	-0.0046	-0.1672	0.1723	-0.0134	-0.0726	0.038	0.956127949633218	6.462	6.616	-6.3797	-6.5288	0.9561279496332181	tie
cell	single|species	magicc_v5	cocopye	100	-0.2273	-0.491	0.1625	-0.0754	-0.1588	-0.003	0.1972688546672764	6.462	7.0437	-6.3797	-5.0735	0.2288318714140406	tie
cell	single|species	magicc_v5	deepcheck	100	-0.1499	-0.3743	0.0788	-0.0186	-0.0762	0.0318	0.20576253719593485	6.462	6.7962	-6.3797	-6.6951	0.23554395705324122	tie
cell	single|genus	magicc_v5	checkm2	100	-0.0877	-0.3603	0.1597	-0.0512	-0.1138	0.0068	0.5247177003787094	7.7545	8.3299	-7.68	-8.2227	0.5706304991618464	tie
cell	single|genus	magicc_v5	cocopye	100	-0.0227	-0.3782	0.4775	-0.0374	-0.1094	0.037	0.9042127340742919	7.7545	7.9776	-7.68	-6.2314	0.9147268356332954	tie
cell	single|genus	magicc_v5	deepcheck	100	-0.1835	-0.4389	0.0854	-0.0658	-0.126	-0.009	0.21579136199294846	7.7545	8.4985	-7.68	-8.4688	0.24381621419982488	tie
cell	single|family	magicc_v5	checkm2	100	-0.4666	-1.0895	-0.1406	-0.1414	-0.2258	-0.063	0.007320678801450492	6.4802	8.0734	-6.345	-7.957	0.009798447011172197	magicc_v5
cell	single|family	magicc_v5	cocopye	100	0.1277	-0.5081	0.6878	-0.0492	-0.1476	0.0522	0.6723580402630482	6.4802	6.8877	-6.345	-5.1591	0.7100276544163522	tie
cell	single|family	magicc_v5	deepcheck	100	-0.6997	-1.2638	-0.3309	-0.1688	-0.259	-0.0918	0.00013723330210865516	6.4802	8.3146	-6.345	-8.2774	0.00020584995316298273	magicc_v5
cell	single|order	magicc_v5	checkm2	100	-2.5531	-4.2642	-1.2843	-0.3438	-0.446	-0.2502	1.056669149321793e-08	4.5631	8.0063	-4.1786	-7.8867	1.9152128331457498e-08	magicc_v5
cell	single|order	magicc_v5	cocopye	100	-0.5538	-1.5234	0.1325	-0.1234	-0.2496	0.0024	0.13744945670708206	4.5631	5.4426	-4.1786	-3.7504	0.16608476018772414	tie
cell	single|order	magicc_v5	deepcheck	100	-2.7573	-4.6753	-1.3334	-0.3772	-0.4752	-0.2866	1.30808185424902e-10	4.5631	8.3151	-4.1786	-8.2764	2.5864345754469256e-10	magicc_v5
cell	single|class	magicc_v5	checkm2	100	-4.1354	-5.5919	-2.4868	-0.4616	-0.5636	-0.3616	1.342808921407084e-12	3.4636	8.0246	-2.8094	-7.9207	3.1574155719571975e-12	magicc_v5
cell	single|class	magicc_v5	cocopye	100	-1.2382	-2.2036	-0.4532	-0.2356	-0.3738	-0.1056	0.0016548196093500818	3.4636	4.9307	-2.8094	-3.0819	0.0023220855808622114	magicc_v5
cell	single|class	magicc_v5	deepcheck	100	-4.6395	-6.3494	-2.7744	-0.495	-0.5956	-0.4036	5.790211239472268e-15	3.4636	8.5059	-2.8094	-8.4636	2.0149935113363493e-14	magicc_v5
cell	single|phylum	magicc_v5	checkm2	100	-3.8765	-5.6069	-2.4232	-0.4478	-0.561	-0.3311	1.0143962707277705e-11	2.7742	7.1693	-1.7907	-7.0215	2.152499403739415e-11	magicc_v5
cell	single|phylum	magicc_v5	cocopye	100	-1.1434	-2.0258	-0.4019	-0.2148	-0.353	-0.0784	0.0019040300514065042	2.7742	4.1876	-1.7907	-2.1005	0.002629374832894696	magicc_v5
cell	single|phylum	magicc_v5	deepcheck	100	-4.5711	-6.4631	-3.0885	-0.511	-0.6142	-0.407	8.35509864372985e-14	2.7742	7.9792	-1.7907	-7.9476	2.1379223000132262e-13	magicc_v5
pooled	ALL	magicc_v5	checkm2	1800	-0.8077	-1.1964	-0.5136	-0.1605	-0.2106	-0.1133	1.6753557753747276e-28	5.3565	6.8878	-4.6436	-4.1718	1.1211996342892407e-27	magicc_v5
pooled	ALL	magicc_v5	cocopye	1800	-1.0473	-1.6534	-0.5763	-0.1946	-0.2595	-0.1323	2.3705536057828788e-26	5.3565	6.8044	-4.6436	-1.8292	1.4731297407365031e-25	magicc_v5
pooled	ALL	magicc_v5	deepcheck	1800	-0.6568	-0.9705	-0.4143	-0.1234	-0.166	-0.0824	1.1280468321264484e-23	5.3565	6.7134	-4.6436	-4.9611	5.772945552647119e-23	magicc_v5
pooled	NON_REDUNDANT	magicc_v5	checkm2	1200	-1.3071	-2.2347	-0.8144	-0.27	-0.3315	-0.2124	1.978112569510005e-57	5.334	8.064	-4.7447	-7.94	8.604789677368522e-56	magicc_v5
pooled	NON_REDUNDANT	magicc_v5	cocopye	1200	-1.1226	-1.9307	-0.5895	-0.2308	-0.3057	-0.159	6.975961788782736e-31	5.334	7.2563	-4.7447	-5.4138	5.852388166542502e-30	magicc_v5
pooled	NON_REDUNDANT	magicc_v5	deepcheck	1200	-1.572	-2.5121	-1.032	-0.3	-0.3593	-0.2455	8.003526193526064e-84	5.334	8.3822	-4.7447	-8.3173	6.963067788367675e-82	magicc_v5
