accession	n_sets	n_samples
RS_GCF_000626195.1	1	1
RS_GCF_000626355.1	2	2
RS_GCF_000626615.2	2	2
RS_GCF_000695855.3	1	1
RS_GCF_000695975.1	1	1
RS_GCF_000730345.1	1	1
RS_GCF_000734035.1	1	10
RS_GCF_000736435.1	1	2
RS_GCF_000737885.1	1	1
RS_GCF_000740335.1	2	3
RS_GCF_000755785.1	1	1
RS_GCF_000772025.1	2	2
RS_GCF_000772145.1	2	2
RS_GCF_000785005.1	3	3
RS_GCF_000789395.1	2	2
RS_GCF_000816185.1	2	3
RS_GCF_000816225.1	2	4
RS_GCF_000827065.1	2	3
RS_GCF_000834495.1	1	1
RS_GCF_000875755.1	2	2
RS_GCF_000935025.1	2	2
RS_GCF_000956315.1	1	1
RS_GCF_000961375.1	1	1
RS_GCF_000969985.1	1	2
RS_GCF_000972245.3	1	2
RS_GCF_000973085.1	2	3
RS_GCF_000973485.1	1	1
RS_GCF_000973545.1	2	3
RS_GCF_000981545.1	1	1
RS_GCF_000982695.1	1	1
RS_GCF_000987875.1	2	4
RS_GCF_000993785.3	1	1
RS_GCF_001014305.1	1	1
RS_GCF_001019495.2	2	2
RS_GCF_001022235.1	2	2
RS_GCF_001025195.1	1	2
RS_GCF_001027025.1	1	2
RS_GCF_001042405.1	2	2
RS_GCF_001173525.2	1	1
RS_GCF_001188715.1	2	2
RS_GCF_001190825.1	3	5
RS_GCF_001191005.1	1	1
RS_GCF_001272915.1	3	5
RS_GCF_001277295.1	2	4
RS_GCF_001278015.1	1	2
RS_GCF_001280425.1	1	10
RS_GCF_001296125.1	1	1
RS_GCF_001305655.1	3	12
RS_GCF_001307155.1	1	3
RS_GCF_001307565.1	1	1
RS_GCF_001307805.1	1	1
RS_GCF_001314975.1	1	1
RS_GCF_001433455.1	2	2
RS_GCF_001433515.1	1	1
RS_GCF_001456295.2	1	1
RS_GCF_001506265.1	1	2
RS_GCF_001507065.1	1	1
RS_GCF_001509195.1	2	2
RS_GCF_001524445.2	2	2
RS_GCF_001548675.1	1	1
RS_GCF_001558255.2	2	3
RS_GCF_001558355.2	2	3
RS_GCF_001560405.1	1	10
RS_GCF_001560725.1	1	10
RS_GCF_001562195.1	1	1
RS_GCF_001562255.1	2	3
RS_GCF_001565875.1	2	3
RS_GCF_001578105.1	2	2
RS_GCF_001580475.1	2	2
RS_GCF_001583825.1	2	2
RS_GCF_001596095.1	2	2
RS_GCF_001605195.1	1	2
RS_GCF_001611055.1	2	2
RS_GCF_001611425.1	2	2
RS_GCF_001618305.1	1	1
RS_GCF_001623645.2	2	2
RS_GCF_001638825.1	2	2
RS_GCF_001650215.1	1	1
RS_GCF_001650275.1	1	1
RS_GCF_001655395.1	3	3
RS_GCF_001664525.1	3	3
RS_GCF_001675245.1	1	1
RS_GCF_001676825.1	1	1
RS_GCF_001683415.1	2	2
RS_GCF_001687645.1	1	1
RS_GCF_001688645.2	1	1
RS_GCF_001688685.2	1	1
RS_GCF_001697745.1	2	3
RS_GCF_001700595.1	2	2
RS_GCF_001703555.1	2	3
RS_GCF_001713155.1	2	4
RS_GCF_001719125.1	1	1
RS_GCF_001729265.2	2	4
RS_GCF_001735655.2	2	3
RS_GCF_001750065.2	2	4
RS_GCF_001753445.1	2	2
RS_GCF_001761515.1	1	1
RS_GCF_001767215.1	2	2
RS_GCF_001767255.1	1	2
RS_GCF_001767295.1	1	1
RS_GCF_001806465.1	1	1
RS_GCF_001833305.2	1	2
RS_GCF_001865555.1	1	1
RS_GCF_001870105.1	2	2
RS_GCF_001879545.1	1	1
RS_GCF_001885215.1	1	2
RS_GCF_001887245.1	1	1
RS_GCF_001887775.1	2	2
RS_GCF_001889005.1	2	2
RS_GCF_001889405.1	2	11
RS_GCF_001895805.1	3	3
RS_GCF_001895865.1	2	2
RS_GCF_001900575.1	3	3
RS_GCF_001901065.1	2	4
RS_GCF_001938725.1	1	1
RS_GCF_001941445.1	2	3
RS_GCF_001941545.1	1	1
RS_GCF_001951015.1	1	1
RS_GCF_001953695.1	2	2
RS_GCF_001955735.1	2	3
RS_GCF_001975045.1	3	3
RS_GCF_001985245.1	2	3
RS_GCF_001985465.1	1	1
RS_GCF_001986815.1	1	1
RS_GCF_001988575.1	1	2
RS_GCF_001988995.1	1	1
RS_GCF_001997295.1	1	1
RS_GCF_001998105.1	3	6
RS_GCF_002005185.1	2	2
RS_GCF_002005425.1	2	2
RS_GCF_002007905.1	2	2
RS_GCF_002012225.1	1	2
RS_GCF_002056385.1	1	1
RS_GCF_002072215.1	1	10
RS_GCF_002073235.2	2	2
RS_GCF_002077175.1	1	2
RS_GCF_002103235.2	1	2
RS_GCF_002111005.1	1	1
RS_GCF_002116795.1	1	1
RS_GCF_002139975.1	1	2
RS_GCF_002142635.1	2	2
RS_GCF_002142675.1	1	1
RS_GCF_002156705.1	1	1
RS_GCF_002197425.1	2	2
RS_GCF_002201495.1	1	1
RS_GCF_002201875.1	2	2
RS_GCF_002201955.1	2	3
RS_GCF_002208115.1	1	1
RS_GCF_002208805.2	1	1
RS_GCF_002209045.1	2	3
RS_GCF_002211525.1	2	2
RS_GCF_002211605.1	2	3
RS_GCF_002214145.1	2	2
RS_GCF_002214485.1	1	2
RS_GCF_002215485.1	2	2
RS_GCF_002216125.1	1	1
RS_GCF_002218045.2	1	1
RS_GCF_002220775.1	1	1
RS_GCF_002224505.1	1	1
RS_GCF_002224625.1	2	4
RS_GCF_002234355.1	1	2
RS_GCF_002238335.1	2	2
RS_GCF_002240205.1	3	4
RS_GCF_002243305.1	3	3
RS_GCF_002243365.1	1	1
RS_GCF_002252585.1	1	10
RS_GCF_002258175.2	2	7
RS_GCF_002277895.1	1	1
RS_GCF_002277995.2	1	1
RS_GCF_002288385.1	2	2
RS_GCF_002290065.1	2	4
