set	set_label	status	tier	tool	tool_label	tool_role	n	n_clusters	clustered_bootstrap	mimag_class	support_true	support_true_frac	n_predicted	precision	precision_ci_lo	precision_ci_hi	recall	recall_ci_lo	recall_ci_hi	f1	f1_ci_lo	f1_ci_hi	macro_f1	macro_f1_ci_lo	macro_f1_ci_hi	accuracy	balanced_accuracy	cohen_kappa	class_balance_true
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	checkm2	CheckM2 1.0.1	competitor	1000	100	True	low	887	0.887	386	1.0	1.0	1.0	0.4351747463359639	0.3921177373895679	0.4800478750046917	0.6064414768263944	0.5633398971580468	0.6486923605925113	0.382403398296349	0.3300593885696784	0.4319222787900409	0.48	0.7260838898042957	0.1367790237302765	"{""high"": 13, ""medium"": 100, ""low"": 887}"
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	checkm2	CheckM2 1.0.1	competitor	1000	100	True	medium	100	0.1	543	0.151012891344383	0.1213768115942029	0.1820005397853559	0.82	0.7428500707213579	0.8941456582633052	0.255054432348367	0.2100121741051134	0.2998620280496974	0.382403398296349	0.3300593885696784	0.4319222787900409	0.48	0.7260838898042957	0.1367790237302765	"{""high"": 13, ""medium"": 100, ""low"": 887}"
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	1000	100	True	high	13	0.013	24	0.4583333333333333	0.25	0.6842105263157895	0.8461538461538461	0.6111111111111112	1.0	0.5945945945945945	0.3783783783783784	0.7659574468085106	0.7561898339311796	0.6744287934471461	0.8249652580416906	0.93	0.8669704853583095	0.7027588227550863	"{""high"": 13, ""medium"": 100, ""low"": 887}"
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	1000	100	True	low	887	0.887	847	0.9893742621015348	0.982331634608974	0.9953217740613216	0.9447576099210824	0.9213483146067416	0.964447619047619	0.966551326412918	0.9543377658721248	0.9768525208734746	0.7561898339311796	0.6744287934471461	0.8249652580416906	0.93	0.8669704853583095	0.7027588227550863	"{""high"": 13, ""medium"": 100, ""low"": 887}"
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	1000	100	True	medium	100	0.1	129	0.627906976744186	0.5285613682092556	0.7338728174015982	0.81	0.7272727272727273	0.8866028010114763	0.7074235807860262	0.6307053941908713	0.7796649043694605	0.7561898339311796	0.6744287934471461	0.8249652580416906	0.93	0.8669704853583095	0.7027588227550863	"{""high"": 13, ""medium"": 100, ""low"": 887}"
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	deepcheck	DeepCheck	competitor	1000	100	True	high	13	0.013	118	0.1016949152542373	0.0535680207197382	0.1520043478260869	0.9230769230769232	0.75	1.0	0.183206106870229	0.1008193277310924	0.2615573770491802	0.2206705817033967	0.184171407721895	0.2550736124821947	0.24	0.6358922325325933	0.0435162356826336	"{""high"": 13, ""medium"": 100, ""low"": 887}"
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	deepcheck	DeepCheck	competitor	1000	100	True	low	887	0.887	147	0.9931972789115646	0.9784172661870504	1.0	0.1645997745208568	0.1324994929561851	0.1991105292360546	0.2823984526112185	0.2337878410167835	0.3320970395895875	0.2206705817033967	0.184171407721895	0.2550736124821947	0.24	0.6358922325325933	0.0435162356826336	"{""high"": 13, ""medium"": 100, ""low"": 887}"
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	deepcheck	DeepCheck	competitor	1000	100	True	medium	100	0.1	735	0.1115646258503401	0.0902814398452554	0.1328903712924875	0.82	0.7448979591836735	0.8938159462219195	0.1964071856287425	0.1621554306485813	0.2290455151270946	0.2206705817033967	0.184171407721895	0.2550736124821947	0.24	0.6358922325325933	0.0435162356826336	"{""high"": 13, ""medium"": 100, ""low"": 887}"
set_E	Set E (realistic mixture)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	1000	785	True	high	66	0.066	63	0.8412698412698413	0.7460250201775626	0.9272727272727272	0.803030303030303	0.7049180327868853	0.896564401622718	0.8217054263565892	0.7460084033613444	0.8889269406392692	0.9031822643838714	0.8713204325308644	0.9325834721434446	0.954	0.9038294776205958	0.8947491253881126	"{""high"": 66, ""medium"": 215, ""low"": 719}"
set_E	Set E (realistic mixture)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	1000	785	True	low	719	0.719	709	0.9873060648801129	0.9782885736202384	0.9945058708414872	0.9735744089012516	0.9615371389270976	0.984263982203447	0.9803921568627452	0.9731527760829776	0.9870307167235496	0.9031822643838714	0.8713204325308644	0.9325834721434446	0.954	0.9038294776205958	0.8947491253881126	"{""high"": 66, ""medium"": 215, ""low"": 719}"
set_E	Set E (realistic mixture)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	1000	785	True	medium	215	0.215	228	0.881578947368421	0.8364485981308412	0.9223744292237442	0.9348837209302324	0.9009329003259904	0.9663471638655462	0.90744920993228	0.8762364450730787	0.9336101806356456	0.9031822643838714	0.8713204325308644	0.9325834721434446	0.954	0.9038294776205958	0.8947491253881126	"{""high"": 66, ""medium"": 215, ""low"": 719}"
set_E	Set E (realistic mixture)	current	primary	checkm2	CheckM2 1.0.1	competitor	1000	785	True	high	66	0.066	84	0.6785714285714286	0.5753424657534246	0.7802348336594911	0.8636363636363636	0.7702702702702703	0.9428571428571428	0.76	0.6762539264363157	0.8333333333333334	0.8139948630335995	0.7790869339691397	0.8466262176234431	0.865	0.877655717507579	0.7231087300740838	"{""high"": 66, ""medium"": 215, ""low"": 719}"
set_E	Set E (realistic mixture)	current	primary	checkm2	CheckM2 1.0.1	competitor	1000	785	True	low	719	0.719	615	0.991869918699187	0.9838442576239996	0.9983633387888708	0.8484005563282336	0.8196698383583629	0.8751834181718126	0.9145427286356822	0.8972239480574989	0.9299337917053262	0.8139948630335995	0.7790869339691397	0.8466262176234431	0.865	0.877655717507579	0.7231087300740838	"{""high"": 66, ""medium"": 215, ""low"": 719}"
set_E	Set E (realistic mixture)	current	primary	checkm2	CheckM2 1.0.1	competitor	1000	785	True	medium	215	0.215	301	0.6578073089700996	0.6039491054368594	0.7133965685590737	0.9209302325581395	0.8844407713498623	0.9545505964623612	0.7674418604651163	0.7251450338994897	0.8078441799266439	0.8139948630335995	0.7790869339691397	0.8466262176234431	0.865	0.877655717507579	0.7231087300740838	"{""high"": 66, ""medium"": 215, ""low"": 719}"
set_E	Set E (realistic mixture)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	1000	785	True	high	66	0.066	61	0.8360655737704918	0.7424242424242424	0.9231132075471696	0.7727272727272727	0.6666666666666666	0.8676664086687306	0.8031496062992125	0.7199856115107912	0.8709677419354839	0.8877555277330975	0.8532076699490756	0.9173495695694068	0.945	0.8828757543412911	0.8731927078890274	"{""high"": 66, ""medium"": 215, ""low"": 719}"
set_E	Set E (realistic mixture)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	1000	785	True	low	719	0.719	715	0.9790209790209792	0.9677871148459384	0.9894353643195056	0.9735744089012516	0.9611500799360512	0.9845505617977528	0.9762900976290096	0.9679248065927548	0.983814784061782	0.8877555277330975	0.8532076699490756	0.9173495695694068	0.945	0.8828757543412911	0.8731927078890274	"{""high"": 66, ""medium"": 215, ""low"": 719}"
set_E	Set E (realistic mixture)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	1000	785	True	medium	215	0.215	224	0.8660714285714286	0.8181818181818182	0.9074094468918258	0.9023255813953488	0.8618917963224895	0.9403070265112792	0.8838268792710706	0.8496030541480841	0.9131411677753142	0.8877555277330975	0.8532076699490756	0.9173495695694068	0.945	0.8828757543412911	0.8731927078890274	"{""high"": 66, ""medium"": 215, ""low"": 719}"
set_E	Set E (realistic mixture)	current	primary	deepcheck	DeepCheck	competitor	1000	785	True	high	66	0.066	107	0.5327102803738317	0.4369727502651546	0.6296451914098973	0.8636363636363636	0.7799915254237288	0.9402985074626866	0.6589595375722543	0.5733312101910827	0.7389216106232598	0.694831742140854	0.6571039709453439	0.7318021258963483	0.737	0.8085330126310817	0.5230867710073024	"{""high"": 66, ""medium"": 215, ""low"": 719}"
set_E	Set E (realistic mixture)	current	primary	deepcheck	DeepCheck	competitor	1000	785	True	low	719	0.719	495	0.991919191919192	0.982939685386678	0.998095238095238	0.6828929068150209	0.6490881632433823	0.7161050188452378	0.8088962108731466	0.7839185205616418	0.8322483301034923	0.694831742140854	0.6571039709453439	0.7318021258963483	0.737	0.8085330126310817	0.5230867710073024	"{""high"": 66, ""medium"": 215, ""low"": 719}"
set_E	Set E (realistic mixture)	current	primary	deepcheck	DeepCheck	competitor	1000	785	True	medium	215	0.215	398	0.4748743718592965	0.4248177612775862	0.5251320052036833	0.8790697674418605	0.8346966337431969	0.9205035584405428	0.6166394779771615	0.5700471014492754	0.6632670068027211	0.694831742140854	0.6571039709453439	0.7318021258963483	0.737	0.8085330126310817	0.5230867710073024	"{""high"": 66, ""medium"": 215, ""low"": 719}"
