set	set_label	tool	tool_label	criterion	threshold	n	n_clusters	n_true_pass	n_true_fail	n_false_pass	n_false_fail	false_pass_rate	false_pass_rate_ci_lo	false_pass_rate_ci_hi	false_fail_rate	false_fail_rate_ci_lo	false_fail_rate_ci_hi	sensitivity	sensitivity_ci_lo	sensitivity_ci_hi	specificity	specificity_ci_lo	specificity_ci_hi	balanced_accuracy	balanced_accuracy_ci_lo	balanced_accuracy_ci_hi
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	cocopye	CoCoPyE 0.5.0	contamination	5.0	1000	100	52	948	122	35	0.1286919831223628	0.1057578893771515	0.1520867468287526	0.6730769230769231	0.5365635888501743	0.7931034482758621	0.8713080168776371	0.8479132531712473	0.8942421106228485	0.3269230769230769	0.2068965517241379	0.4634364111498257	0.5991155469003571	0.5369215121273131	0.6680302742011021
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	deepcheck	DeepCheck	contamination	5.0	1000	100	52	948	663	0	0.6993670886075949	0.663856468475774	0.7350808079687638	0.0	0.0	0.0	0.300632911392405	0.2649191920312361	0.336143531524226	1.0	1.0	1.0	0.6503164556962026	0.6324595960156181	0.668071765762113
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	magicc_v5	MAGICC v5 (released, v0.3.0)	contamination	10.0	1000	100	100	900	21	35	0.0233333333333333	0.013362286562732	0.0349745928572711	0.35	0.2471433114267543	0.4500403225806449	0.9766666666666668	0.9650254071427288	0.986637713437268	0.65	0.5499596774193549	0.7528566885732454	0.8133333333333334	0.7638058308768736	0.8644156802052884
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	checkm2	CheckM2 1.0.1	contamination	10.0	1000	100	100	900	739	0	0.8211111111111111	0.7913417445397971	0.849667370091917	0.0	0.0	0.0	0.1788888888888888	0.150332629908083	0.2086582554602029	1.0	1.0	1.0	0.5894444444444444	0.5751663149540415	0.6043291277301015
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	cocopye	CoCoPyE 0.5.0	contamination	10.0	1000	100	100	900	247	22	0.2744444444444444	0.2491554278542071	0.3021446803389787	0.22	0.1401822429906542	0.3050892060660125	0.7255555555555555	0.6978553196610212	0.7508445721457928	0.78	0.6949107939339876	0.8598177570093457	0.7527777777777778	0.710114975618475	0.7924333604139675
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	deepcheck	DeepCheck	contamination	10.0	1000	100	100	900	840	0	0.9333333333333332	0.9116675998233712	0.9530765450224584	0.0	0.0	0.0	0.0666666666666666	0.0469234549775416	0.0883324001766288	1.0	1.0	1.0	0.5333333333333333	0.5234617274887708	0.5441662000883144
set_D_clean	Set D-clean (Archaea, held-out test split)	magicc_v5	MAGICC v5 (released, v0.3.0)	completeness	50.0	1000	100	1000	0	0	0				0.0	0.0	0.0				1.0	1.0	1.0	1.0	1.0	1.0
set_D_clean	Set D-clean (Archaea, held-out test split)	checkm2	CheckM2 1.0.1	completeness	50.0	1000	100	1000	0	0	6				0.006	0.001	0.014				0.994	0.986	0.999	0.994	0.986	0.999
set_D_clean	Set D-clean (Archaea, held-out test split)	cocopye	CoCoPyE 0.5.0	completeness	50.0	1000	100	1000	0	0	30				0.03	0.015	0.0500249999999998				0.97	0.949975	0.985	0.97	0.949975	0.985
set_D_clean	Set D-clean (Archaea, held-out test split)	deepcheck	DeepCheck	completeness	50.0	1000	100	1000	0	0	12				0.012	0.002	0.026				0.988	0.974	0.998	0.988	0.974	0.998
set_D_clean	Set D-clean (Archaea, held-out test split)	magicc_v5	MAGICC v5 (released, v0.3.0)	completeness	90.0	1000	100	224	776	53	62	0.0682989690721649	0.0491559487543296	0.0881996711728169	0.2767857142857143	0.205020920502092	0.3574478363655052	0.9317010309278352	0.9118003288271832	0.9508440512456704	0.7232142857142857	0.6425521636344949	0.7949790794979079	0.8274576583210604	0.7898725159317386	0.8630729608167096
set_D_clean	Set D-clean (Archaea, held-out test split)	checkm2	CheckM2 1.0.1	completeness	90.0	1000	100	224	776	207	7	0.2667525773195876	0.2269779507133592	0.3074053178963893	0.03125	0.0121926632572777	0.0544554455445544	0.7332474226804123	0.6925946821036106	0.7730220492866408	0.96875	0.9455445544554456	0.9878073367427224	0.8509987113402062	0.8289603441216745	0.8727418187912122
