set	tool	criterion	threshold	n_true_pass	n_true_fail	balanced_accuracy	source
motivating_set_A	deepcheck	contamination	10.0	600	0	1.0	ws5.2_threshold_analysis.tsv
motivating_set_B	magicc_v5	completeness	50.0	1100	0	1.0	ws5.2_threshold_analysis.tsv
motivating_set_B	checkm2	completeness	50.0	1100	0	1.0	ws5.2_threshold_analysis.tsv
motivating_set_B	cocopye	completeness	50.0	1100	0	1.0	ws5.2_threshold_analysis.tsv
motivating_set_B	deepcheck	completeness	50.0	1100	0	1.0	ws5.2_threshold_analysis.tsv
motivating_set_B	magicc_v5	completeness	90.0	1100	0	0.9372727272727271	ws5.2_threshold_analysis.tsv
motivating_set_B	checkm2	completeness	90.0	1100	0	0.9927272727272728	ws5.2_threshold_analysis.tsv
motivating_set_B	cocopye	completeness	90.0	1100	0	0.9527272727272728	ws5.2_threshold_analysis.tsv
motivating_set_B	deepcheck	completeness	90.0	1100	0	0.968181818181818	ws5.2_threshold_analysis.tsv
set_A_v2	magicc_v5	completeness	50.0	1000	0	1.0	definitive_thresholds.tsv
set_A_v2	checkm2	completeness	50.0	1000	0	0.978	definitive_thresholds.tsv
set_A_v2	cocopye	completeness	50.0	1000	0	0.948	definitive_thresholds.tsv
set_A_v2	deepcheck	completeness	50.0	1000	0	0.973	definitive_thresholds.tsv
set_A_v2	magicc_v5	contamination	5.0	1000	0	0.979	definitive_thresholds.tsv
set_A_v2	checkm2	contamination	5.0	1000	0	1.0	definitive_thresholds.tsv
set_A_v2	cocopye	contamination	5.0	1000	0	0.968	definitive_thresholds.tsv
set_A_v2	deepcheck	contamination	5.0	1000	0	1.0	definitive_thresholds.tsv
set_A_v2	magicc_v5	contamination	10.0	1000	0	0.989	definitive_thresholds.tsv
set_A_v2	checkm2	contamination	10.0	1000	0	1.0	definitive_thresholds.tsv
set_A_v2	cocopye	contamination	10.0	1000	0	0.981	definitive_thresholds.tsv
set_A_v2	deepcheck	contamination	10.0	1000	0	1.0	definitive_thresholds.tsv
set_B_v2	magicc_v5	completeness	50.0	1000	0	1.0	definitive_thresholds.tsv
set_B_v2	checkm2	completeness	50.0	1000	0	1.0	definitive_thresholds.tsv
set_B_v2	cocopye	completeness	50.0	1000	0	1.0	definitive_thresholds.tsv
set_B_v2	deepcheck	completeness	50.0	1000	0	1.0	definitive_thresholds.tsv
set_B_v2	magicc_v5	completeness	90.0	1000	0	0.896	definitive_thresholds.tsv
set_B_v2	checkm2	completeness	90.0	1000	0	0.99	definitive_thresholds.tsv
set_B_v2	cocopye	completeness	90.0	1000	0	0.986	definitive_thresholds.tsv
set_B_v2	deepcheck	completeness	90.0	1000	0	0.986	definitive_thresholds.tsv
set_C_clean	magicc_v5	completeness	50.0	1000	0	1.0	definitive_thresholds.tsv
set_C_clean	checkm2	completeness	50.0	1000	0	0.955	definitive_thresholds.tsv
set_C_clean	cocopye	completeness	50.0	1000	0	0.888	definitive_thresholds.tsv
set_C_clean	deepcheck	completeness	50.0	1000	0	0.861	definitive_thresholds.tsv
set_D_clean	magicc_v5	completeness	50.0	1000	0	1.0	definitive_thresholds.tsv
set_D_clean	checkm2	completeness	50.0	1000	0	0.994	definitive_thresholds.tsv
set_D_clean	cocopye	completeness	50.0	1000	0	0.97	definitive_thresholds.tsv
set_D_clean	deepcheck	completeness	50.0	1000	0	0.988	definitive_thresholds.tsv
set_E	magicc_v5	completeness	50.0	1000	0	1.0	definitive_thresholds.tsv
set_E	checkm2	completeness	50.0	1000	0	0.995	definitive_thresholds.tsv
set_E	cocopye	completeness	50.0	1000	0	0.989	definitive_thresholds.tsv
set_E	deepcheck	completeness	50.0	1000	0	0.994	definitive_thresholds.tsv
