accession	bytes	status
GCA_002105715.1	902516	ok
GCA_003668165.1	896289	ok
GCA_002105655.1	858125	ok
GCA_003668195.1	852498	ok
GCA_003675955.1	3527010	ok
GCA_000418455.1	3471875	ok
GCA_003953935.1	2106885	ok
GCA_004016275.1	728996	cached
GCA_003980305.1	1524428	ok
GCA_045016065.1	2117452	ok
GCA_055766035.1	743914	cached
GCA_018884425.1	1595674	ok
GCA_004016375.1	756059	ok
GCA_055765255.1	827321	ok
GCA_004385925.1	899863	ok
GCA_009720405.1	2061863	ok
GCA_052927425.1	887629	ok
GCA_004406185.1	868497	ok
GCA_003834665.1	2058181	ok
GCA_052927265.1	861995	ok
GCA_004425895.1	898204	ok
GCA_009720425.1	2010161	ok
GCA_052927815.1	864385	ok
GCA_004484265.1	945368	ok
GCA_052927025.1	913856	ok
GCA_052927245.1	873681	ok
GCA_004497125.1	880579	ok
GCA_052927515.1	860501	ok
GCA_003834685.1	1990372	ok
GCA_004497645.1	858030	ok
GCA_004516285.1	911351	ok
GCA_004745255.1	1522597	cached
GCA_052927785.1	879704	ok
GCA_005843885.1	1519641	cached
GCA_006176125.1	483665	cached
GCA_009036385.1	491523	cached
GCA_052927625.1	899334	ok
GCA_052927805.1	907461	ok
GCA_004646485.1	913364	ok
GCA_007785795.1	1289654	cached
GCA_052927885.1	905365	ok
GCA_022832715.1	1273173	cached
GCA_004646525.1	908779	ok
GCA_004609475.1	899497	ok
GCA_009192875.1	1506094	cached
GCA_001583415.1	1505141	cached
GCA_005781185.1	1519654	ok
GCA_008868695.1	684490	ok
GCA_004104465.2	607080	ok
GCA_009669455.1	778642	ok
GCA_048564975.1	765719	ok
GCA_009867275.1	1565660	ok
GCA_010067845.1	871927	ok
GCA_018884485.1	1595870	ok
GCA_052927505.1	863138	ok
GCA_010137775.1	744259	ok
GCA_011307235.1	752082	ok
GCA_010137805.1	761446	ok
GCA_011307015.1	767892	ok
GCA_010138725.1	807905	ok
GCA_011306775.1	744171	ok
GCA_010138855.1	740450	ok
GCA_011306595.1	744725	ok
GCA_010144235.1	783041	ok
GCA_011307475.1	729062	ok
GCA_010167255.1	739932	ok
GCA_011307595.1	738871	ok
