cohort	clustering_unit	checkm2_class	magicc_class	n_genomes	weighted_proportion_of_cohort	ci95_lo	ci95_hi	row_conditional_rate	row_ci95_lo	row_ci95_hi	row_denominator_n
catalogue_weighted_excl_404_recovery	family	LQ	LQ	5	2.5972e-05	5.91774e-06	5.6391e-05	nan	nan	nan	20
catalogue_weighted_excl_404_recovery	spire_cluster	HQ	HQ	53033	0.233877	0.219338	0.248527	nan	nan	nan	76750
catalogue_weighted_excl_404_recovery	spire_cluster	HQ	MQ	19784	0.0700669	0.0647189	0.0758653	0.22312	0.204835	0.242514	76750
catalogue_weighted_excl_404_recovery	spire_cluster	HQ	LQ	3933	0.0100893	0.00877217	0.0116166	0.0321281	0.0277416	0.0372504	76750
catalogue_weighted_excl_404_recovery	spire_cluster	MQ	HQ	26394	0.116508	0.109532	0.123238	0.169864	0.160134	0.179122	188670
catalogue_weighted_excl_404_recovery	spire_cluster	MQ	MQ	155820	0.553919	0.539636	0.567854	nan	nan	nan	188670
catalogue_weighted_excl_404_recovery	spire_cluster	MQ	LQ	6456	0.0154628	0.0138879	0.0170562	0.0225442	0.0202901	0.0248506	188670
catalogue_weighted_excl_404_recovery	spire_cluster	LQ	HQ	5	1.83388e-05	1.7996e-06	3.89011e-05	nan	nan	nan	20
catalogue_weighted_excl_404_recovery	spire_cluster	LQ	MQ	10	3.33592e-05	1.24734e-05	6.09227e-05	nan	nan	nan	20
catalogue_weighted_excl_404_recovery	spire_cluster	LQ	LQ	5	2.5972e-05	5.12771e-06	5.16483e-05	nan	nan	nan	20
reps_census	family	HQ	HQ	15832	0.171967	0.161469	0.182922	nan	nan	nan	31501
reps_census	family	HQ	MQ	11795	0.128117	0.120932	0.135987	0.374433	0.361136	0.387926	31501
reps_census	family	HQ	LQ	3874	0.0420794	0.0374222	0.0470526	0.12298	0.110819	0.137193	31501
reps_census	family	MQ	HQ	11229	0.121969	0.114316	0.129414	0.185484	0.175124	0.195423	60539
reps_census	family	MQ	MQ	43476	0.472237	0.455696	0.489187	nan	nan	nan	60539
reps_census	family	MQ	LQ	5834	0.063369	0.0543604	0.0752806	0.0963676	0.0822313	0.114331	60539
reps_census	family	LQ	HQ	6	6.51721e-05	2.13639e-05	0.000118975	nan	nan	nan	24
reps_census	family	LQ	MQ	13	0.000141206	7.12593e-05	0.000213894	nan	nan	nan	24
reps_census	family	LQ	LQ	5	5.431e-05	0	0.000130321	nan	nan	nan	24
reps_census	spire_cluster	HQ	HQ	15832	0.171967	0.169642	0.174498	nan	nan	nan	31501
reps_census	spire_cluster	HQ	MQ	11795	0.128117	0.12601	0.130268	0.374433	0.36895	0.379809	31501
reps_census	spire_cluster	HQ	LQ	3874	0.0420794	0.0408626	0.0434157	0.12298	0.119443	0.126721	31501
reps_census	spire_cluster	MQ	HQ	11229	0.121969	0.119905	0.12412	0.185484	0.182591	0.188698	60539
reps_census	spire_cluster	MQ	MQ	43476	0.472237	0.469032	0.475289	nan	nan	nan	60539
reps_census	spire_cluster	MQ	LQ	5834	0.063369	0.06175	0.0648571	0.0963676	0.093918	0.0986435	60539
reps_census	spire_cluster	LQ	HQ	6	6.51721e-05	2.1724e-05	0.000119482	nan	nan	nan	24
reps_census	spire_cluster	LQ	MQ	13	0.000141206	7.60341e-05	0.00021724	nan	nan	nan	24
reps_census	spire_cluster	LQ	LQ	5	5.431e-05	1.0862e-05	0.00010862	nan	nan	nan	24
