cohort	clustering_unit	grouping	stratum	n_genomes	metric	weighted_median	ci95_lo	ci95_hi	weighted_mean	mean_ci95_lo	mean_ci95_hi
catalogue_weighted	family	phylum	Deinococcota	506	completeness_MAGICC_minus_CheckM2	-1.4954	-6.0254	-0.5359	-2.8719	-5.2420	-2.0684
catalogue_weighted	family	phylum	Deinococcota	506	contamination_MAGICC_minus_CheckM2	0.0099	-0.9734	0.0550	-0.4928	-0.9317	0.5612
catalogue_weighted	family	phylum	Dependentiae	257	completeness_MAGICC_minus_CheckM2	-3.6154	-9.9968	-0.3862	-5.3373	-9.3108	-2.1358
catalogue_weighted	family	phylum	Dependentiae	257	contamination_MAGICC_minus_CheckM2	2.5586	1.1445	7.9363	6.6732	4.1288	11.3129
catalogue_weighted	family	phylum	Desulfobacterota	810	completeness_MAGICC_minus_CheckM2	-0.3779	-1.6472	0.6288	-1.6345	-3.2566	0.0896
catalogue_weighted	family	phylum	Desulfobacterota	810	contamination_MAGICC_minus_CheckM2	-0.7090	-0.9529	-0.3795	2.5476	1.1689	4.3771
catalogue_weighted	family	phylum	Desulfobacterota_B	743	completeness_MAGICC_minus_CheckM2	1.5381	-3.9952	2.8639	0.9343	-4.9187	3.1139
catalogue_weighted	family	phylum	Desulfobacterota_B	743	contamination_MAGICC_minus_CheckM2	1.5326	-0.8110	6.6910	8.6887	2.1521	15.0646
catalogue_weighted	family	phylum	Desulfobacterota_G	285	completeness_MAGICC_minus_CheckM2	-0.1932	-0.8397	1.9168	-1.3572	-3.0167	3.1390
catalogue_weighted	family	phylum	Desulfobacterota_G	285	contamination_MAGICC_minus_CheckM2	2.2393	0.9283	10.0357	8.3907	8.0224	12.4707
catalogue_weighted	family	phylum	Desulfobacterota_I	900	completeness_MAGICC_minus_CheckM2	0.1672	-18.4028	0.1947	-0.5352	-11.4738	1.2348
catalogue_weighted	family	phylum	Desulfobacterota_I	900	contamination_MAGICC_minus_CheckM2	-0.3670	-1.3971	-0.1175	-0.6737	-1.6877	-0.6707
catalogue_weighted	family	phylum	Dormibacterota	522	completeness_MAGICC_minus_CheckM2	-5.4809	-9.1583	-1.7685	-4.3562	-8.0472	-0.7450
catalogue_weighted	family	phylum	Dormibacterota	522	contamination_MAGICC_minus_CheckM2	-1.1826	-2.2203	0.1562	-0.5091	-1.8181	2.1991
catalogue_weighted	family	phylum	Eisenbacteria	238	completeness_MAGICC_minus_CheckM2	-8.1341	-14.0779	3.7716	-7.1876	-10.8183	3.9895
catalogue_weighted	family	phylum	Eisenbacteria	238	contamination_MAGICC_minus_CheckM2	-0.9312	-1.5376	0.2897	-0.3655	-1.7326	1.2970
catalogue_weighted	family	phylum	Elusimicrobiota	317	completeness_MAGICC_minus_CheckM2	-0.9821	-5.7705	4.8896	-2.7127	-5.0612	6.0672
