cohort	clustering_unit	grouping	stratum	n_genomes	statistic	estimate	ci95_lo	ci95_hi	design_se	design_ci95_lo	design_ci95_hi	note
catalogue_weighted	family	size_bin	<1Mb	57652	mean_d_comp	-7.20075	-8.29661	-6.07498	0.00714498	-7.21476	-7.18675	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	<1Mb	57652	mean_d_cont	0.797866	0.437873	1.21542	0.0033707	0.79126	0.804472	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	<1Mb	57652	mean_comp_checkm2	69.9706	67.7461	72.2101	0.0108777	69.9493	69.9919	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	<1Mb	57652	mean_comp_magicc	62.7699	60.3701	65.3707	0.0100049	62.7502	62.7895	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	<1Mb	57652	mean_cont_checkm2	1.23756	1.06766	1.42003	0.00123907	1.23513	1.23999	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	<1Mb	57652	mean_cont_magicc	2.03543	1.67051	2.47024	0.00330554	2.02895	2.04191	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	<1Mb	57652	cell_HQ_to_HQ	0.0598394	0.0370053	0.0877995	0.000164716	0.0595165	0.0601622	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	<1Mb	57652	cell_HQ_to_MQ	0.0819028	0.0658652	0.100377	0.000190424	0.0815296	0.082276	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	<1Mb	57652	cell_HQ_to_LQ	0.0186198	0.0138946	0.0244836	9.38794e-05	0.0184358	0.0188038	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	<1Mb	57652	cell_MQ_to_HQ	0.0156527	0.00977891	0.0232802	8.60863e-05	0.0154839	0.0158214	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	<1Mb	57652	cell_MQ_to_MQ	0.783032	0.739603	0.824256	0.000286092	0.782471	0.783592	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	<1Mb	57652	cell_MQ_to_LQ	0.0408843	0.0302914	0.0543588	0.000137335	0.0406151	0.0411535	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	<1Mb	57652	cell_LQ_to_HQ	1.73454e-05	0	5.39482e-05	2.88903e-06	1.1683e-05	2.30078e-05	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	<1Mb	57652	cell_LQ_to_MQ	5.20363e-05	0	0.000119187	5.00385e-06	4.22289e-05	6.18436e-05	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	<1Mb	57652	cell_LQ_to_LQ	0	0	0	0	0	0	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	<1Mb	57652	slope_d_comp_per_log10Mbp	14.3306	7.44851	21.7528				post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
