cohort	clustering_unit	subset	n_genomes	n_clusters	metric	slope_pp_per_log10Mbp	ci95_lo	ci95_hi	note
S1_small_census	family	size_bin:<1Mb	57652	1310	completeness_MAGICC_minus_CheckM2	14.3344	7.5417	21.5626	weighted OLS on log10(assembly Mbp)
S1_small_census	family	size_bin:<1Mb	57652	1310	contamination_MAGICC_minus_CheckM2	0.4750	-1.2485	2.2985	weighted OLS on log10(assembly Mbp)
S1_small_census	family	lineage_reduction:<-1 (>=2x reduced)	25421	1310	completeness_MAGICC_minus_CheckM2	9.4631	4.4604	13.8805	weighted OLS on log10(assembly Mbp)
S1_small_census	family	lineage_reduction:-1 to -0.5	13046	1310	completeness_MAGICC_minus_CheckM2	14.2912	4.0694	25.6629	weighted OLS on log10(assembly Mbp)
S1_small_census	family	lineage_reduction:-0.5 to -0.25	4195	1310	completeness_MAGICC_minus_CheckM2	8.0453	-5.9021	22.5275	weighted OLS on log10(assembly Mbp)
S1_small_census	family	lineage_reduction:-0.25 to +0.25 (typical)	10648	1310	completeness_MAGICC_minus_CheckM2	2.5548	-20.0206	20.6412	weighted OLS on log10(assembly Mbp)
S1_small_census	family	lineage_reduction:>+0.25 (larger than lineage)	4342	1310	completeness_MAGICC_minus_CheckM2	-4.6255	-54.3759	49.9918	weighted OLS on log10(assembly Mbp)
S1_small_census	family	lineage_reduction:<-1 (>=2x reduced)	25421	1310	contamination_MAGICC_minus_CheckM2	-0.6470	-1.7946	0.5295	weighted OLS on log10(assembly Mbp)
S1_small_census	family	lineage_reduction:-1 to -0.5	13046	1310	contamination_MAGICC_minus_CheckM2	-0.4567	-2.4226	1.5338	weighted OLS on log10(assembly Mbp)
S1_small_census	family	lineage_reduction:-0.5 to -0.25	4195	1310	contamination_MAGICC_minus_CheckM2	1.3464	-2.9985	8.2663	weighted OLS on log10(assembly Mbp)
S1_small_census	family	lineage_reduction:-0.25 to +0.25 (typical)	10648	1310	contamination_MAGICC_minus_CheckM2	20.5471	12.8843	29.2937	weighted OLS on log10(assembly Mbp)
S1_small_census	family	lineage_reduction:>+0.25 (larger than lineage)	4342	1310	contamination_MAGICC_minus_CheckM2	16.4741	-6.7041	45.1850	weighted OLS on log10(assembly Mbp)
S2_rare_phylum_census	family	overall:ALL	14517	635	completeness_MAGICC_minus_CheckM2	20.2930	16.3699	24.1769	weighted OLS on log10(assembly Mbp)
S2_rare_phylum_census	family	overall:ALL	14517	635	contamination_MAGICC_minus_CheckM2	19.3280	12.2023	25.7298	weighted OLS on log10(assembly Mbp)
S2_rare_phylum_census	family	size_bin:1-2Mb	4705	635	completeness_MAGICC_minus_CheckM2	23.8759	10.3227	38.2243	weighted OLS on log10(assembly Mbp)
S2_rare_phylum_census	family	size_bin:2-3Mb	5118	635	completeness_MAGICC_minus_CheckM2	23.7499	7.5802	41.8324	weighted OLS on log10(assembly Mbp)
S2_rare_phylum_census	family	size_bin:3-5Mb	3651	635	completeness_MAGICC_minus_CheckM2	12.7545	-4.6476	27.1769	weighted OLS on log10(assembly Mbp)
S2_rare_phylum_census	family	size_bin:>5Mb	1043	635	completeness_MAGICC_minus_CheckM2	19.2395	-29.2990	28.8252	weighted OLS on log10(assembly Mbp)
S2_rare_phylum_census	family	size_bin:1-2Mb	4705	635	contamination_MAGICC_minus_CheckM2	-9.7468	-17.2848	-1.8916	weighted OLS on log10(assembly Mbp)
S2_rare_phylum_census	family	size_bin:2-3Mb	5118	635	contamination_MAGICC_minus_CheckM2	6.4471	-3.5140	15.9291	weighted OLS on log10(assembly Mbp)
S2_rare_phylum_census	family	size_bin:3-5Mb	3651	635	contamination_MAGICC_minus_CheckM2	45.8241	25.4540	66.9530	weighted OLS on log10(assembly Mbp)
S2_rare_phylum_census	family	size_bin:>5Mb	1043	635	contamination_MAGICC_minus_CheckM2	74.4011	-23.5426	96.5062	weighted OLS on log10(assembly Mbp)
S2_rare_phylum_census	family	lineage_reduction:<-1 (>=2x reduced)	262	635	completeness_MAGICC_minus_CheckM2	7.6816	-7.4211	24.0134	weighted OLS on log10(assembly Mbp)
S2_rare_phylum_census	family	lineage_reduction:-1 to -0.5	1483	635	completeness_MAGICC_minus_CheckM2	18.7500	4.8527	32.3391	weighted OLS on log10(assembly Mbp)
S2_rare_phylum_census	family	lineage_reduction:-0.5 to -0.25	1809	635	completeness_MAGICC_minus_CheckM2	42.0036	30.1531	54.4196	weighted OLS on log10(assembly Mbp)
S2_rare_phylum_census	family	lineage_reduction:-0.25 to +0.25 (typical)	6901	635	completeness_MAGICC_minus_CheckM2	30.5866	20.6875	39.5944	weighted OLS on log10(assembly Mbp)
S2_rare_phylum_census	family	lineage_reduction:>+0.25 (larger than lineage)	4062	635	completeness_MAGICC_minus_CheckM2	18.9481	12.4373	24.0702	weighted OLS on log10(assembly Mbp)
S2_rare_phylum_census	family	lineage_reduction:<-1 (>=2x reduced)	262	635	contamination_MAGICC_minus_CheckM2	-2.4985	-6.6624	2.1911	weighted OLS on log10(assembly Mbp)
S2_rare_phylum_census	family	lineage_reduction:-1 to -0.5	1483	635	contamination_MAGICC_minus_CheckM2	4.3744	-4.0982	14.2411	weighted OLS on log10(assembly Mbp)
S2_rare_phylum_census	family	lineage_reduction:-0.5 to -0.25	1809	635	contamination_MAGICC_minus_CheckM2	1.9995	-3.5953	6.8757	weighted OLS on log10(assembly Mbp)
S2_rare_phylum_census	family	lineage_reduction:-0.25 to +0.25 (typical)	6901	635	contamination_MAGICC_minus_CheckM2	5.4905	0.4474	10.9066	weighted OLS on log10(assembly Mbp)
S2_rare_phylum_census	family	lineage_reduction:>+0.25 (larger than lineage)	4062	635	contamination_MAGICC_minus_CheckM2	26.5802	11.3590	39.3975	weighted OLS on log10(assembly Mbp)
catalogue_weighted_excl_404_recovery	family	overall:ALL	265440	2995	completeness_MAGICC_minus_CheckM2	12.7209	10.4973	14.9974	weighted OLS on log10(assembly Mbp)
catalogue_weighted_excl_404_recovery	family	overall:ALL	265440	2995	contamination_MAGICC_minus_CheckM2	0.3710	-0.9964	1.9373	weighted OLS on log10(assembly Mbp)
catalogue_weighted_excl_404_recovery	family	size_bin:<1Mb	57264	2995	completeness_MAGICC_minus_CheckM2	14.4669	7.9036	21.9434	weighted OLS on log10(assembly Mbp)
catalogue_weighted_excl_404_recovery	family	size_bin:1-2Mb	89344	2995	completeness_MAGICC_minus_CheckM2	20.7486	14.5674	27.2097	weighted OLS on log10(assembly Mbp)
catalogue_weighted_excl_404_recovery	family	size_bin:2-3Mb	78961	2995	completeness_MAGICC_minus_CheckM2	6.7853	-8.0312	16.9069	weighted OLS on log10(assembly Mbp)
catalogue_weighted_excl_404_recovery	family	size_bin:3-5Mb	34162	2995	completeness_MAGICC_minus_CheckM2	5.6445	-1.1866	15.1041	weighted OLS on log10(assembly Mbp)
catalogue_weighted_excl_404_recovery	family	size_bin:>5Mb	5709	2995	completeness_MAGICC_minus_CheckM2	9.0568	-8.0298	19.9808	weighted OLS on log10(assembly Mbp)
catalogue_weighted_excl_404_recovery	family	size_bin:<1Mb	57264	2995	contamination_MAGICC_minus_CheckM2	0.4940	-1.1670	2.2133	weighted OLS on log10(assembly Mbp)
catalogue_weighted_excl_404_recovery	family	size_bin:1-2Mb	89344	2995	contamination_MAGICC_minus_CheckM2	-3.7025	-5.4954	-1.8878	weighted OLS on log10(assembly Mbp)
catalogue_weighted_excl_404_recovery	family	size_bin:2-3Mb	78961	2995	contamination_MAGICC_minus_CheckM2	2.3767	-0.3286	7.2485	weighted OLS on log10(assembly Mbp)
catalogue_weighted_excl_404_recovery	family	size_bin:3-5Mb	34162	2995	contamination_MAGICC_minus_CheckM2	2.5469	-2.8144	13.0416	weighted OLS on log10(assembly Mbp)
catalogue_weighted_excl_404_recovery	family	size_bin:>5Mb	5709	2995	contamination_MAGICC_minus_CheckM2	67.6239	35.4347	87.6431	weighted OLS on log10(assembly Mbp)
catalogue_weighted_excl_404_recovery	family	lineage_reduction:<-1 (>=2x reduced)	27769	2995	completeness_MAGICC_minus_CheckM2	12.2858	7.9753	16.3376	weighted OLS on log10(assembly Mbp)
catalogue_weighted_excl_404_recovery	family	lineage_reduction:-1 to -0.5	38965	2995	completeness_MAGICC_minus_CheckM2	15.9519	10.8045	22.2165	weighted OLS on log10(assembly Mbp)
catalogue_weighted_excl_404_recovery	family	lineage_reduction:-0.5 to -0.25	34958	2995	completeness_MAGICC_minus_CheckM2	20.9410	15.5777	27.8917	weighted OLS on log10(assembly Mbp)
catalogue_weighted_excl_404_recovery	family	lineage_reduction:-0.25 to +0.25 (typical)	93930	2995	completeness_MAGICC_minus_CheckM2	15.6090	12.6779	19.1769	weighted OLS on log10(assembly Mbp)
catalogue_weighted_excl_404_recovery	family	lineage_reduction:>+0.25 (larger than lineage)	69818	2995	completeness_MAGICC_minus_CheckM2	6.0073	3.0301	9.9613	weighted OLS on log10(assembly Mbp)
catalogue_weighted_excl_404_recovery	family	lineage_reduction:<-1 (>=2x reduced)	27769	2995	contamination_MAGICC_minus_CheckM2	-1.0935	-2.1658	-0.0571	weighted OLS on log10(assembly Mbp)
catalogue_weighted_excl_404_recovery	family	lineage_reduction:-1 to -0.5	38965	2995	contamination_MAGICC_minus_CheckM2	-1.5945	-2.6945	-0.5361	weighted OLS on log10(assembly Mbp)
catalogue_weighted_excl_404_recovery	family	lineage_reduction:-0.5 to -0.25	34958	2995	contamination_MAGICC_minus_CheckM2	-1.9539	-3.6016	-0.6172	weighted OLS on log10(assembly Mbp)
catalogue_weighted_excl_404_recovery	family	lineage_reduction:-0.25 to +0.25 (typical)	93930	2995	contamination_MAGICC_minus_CheckM2	-1.7488	-3.1304	-0.3500	weighted OLS on log10(assembly Mbp)
catalogue_weighted_excl_404_recovery	family	lineage_reduction:>+0.25 (larger than lineage)	69818	2995	contamination_MAGICC_minus_CheckM2	2.5445	-2.0842	9.0438	weighted OLS on log10(assembly Mbp)
reps_census	family	overall:ALL	92064	3311	completeness_MAGICC_minus_CheckM2	13.4008	11.7251	15.0829	weighted OLS on log10(assembly Mbp)
reps_census	family	overall:ALL	92064	3311	contamination_MAGICC_minus_CheckM2	3.3933	1.6923	5.2786	weighted OLS on log10(assembly Mbp)
reps_census	family	size_bin:<1Mb	12030	3311	completeness_MAGICC_minus_CheckM2	16.6994	11.0262	22.4090	weighted OLS on log10(assembly Mbp)
