metric	reference_tool	comparison_tool	n_pairs	n_clusters	mae_reference	mae_comparison	mean_paired_difference	mean_diff_ci_lo	mean_diff_ci_hi	median_paired_difference	median_diff_ci_lo	median_diff_ci_hi	hodges_lehmann_diff	hl_ci_lo	hl_ci_hi	cliffs_delta	cliffs_delta_ci_lo	cliffs_delta_ci_hi	cliffs_delta_magnitude	rank_biserial_paired	wilcoxon_statistic_naive	p_wilcoxon_two_sided_naive	wilcoxon_statistic_cluster_mean	n_clusters_used_cluster_mean	p_wilcoxon_two_sided_cluster_mean	p_cluster_bootstrap_median	p_cluster_bootstrap_mean	favours	boot_clustered	boot_n_iter	boot_n_iter_slow	set	q_bh_wilcoxon_cluster_mean	q_bh_cluster_bootstrap_mean	bh_family	significant_bh_primary	q_bh_wilcoxon_naive	significant_all_three_bh
contamination	magicc_v5	deepcheck	362	99	3.3981578443370166	14.47077607548592	-11.072618231148905	-12.090837861097066	-10.0214182744249	-10.36877195944214	-11.975121083984376	-8.537225532470703	-10.975100149999236	-11.973431842546654	-9.959573412798877	-0.7178352309148073	-0.7701845352787955	-0.6635996460595084	large	-0.9462125017122506	1767.0	7.084202470138755e-55	9.0	99	7.496175189842477e-18	0.000999500249875	0.000999500249875	reference	True	2000	1000	set_D_clean	1.7990820455621944e-17	0.0013839234229039	all 36 secondary set/output/comparator contrasts	True	6.375782223124879e-54	True
completeness	magicc_v5	checkm2	477	427	3.106831468262589	4.893774430928644	-1.786942962666055	-2.379218744580703	-1.154270133943044	-0.4120400000000046	-0.7632240000000081	-0.0685500000000018	-1.085117733648957	-1.490223995046655	-0.6654600375000054	-0.1092915628337486	-0.1706236337329104	-0.0467241487207345	negligible	-0.3130531652675807	39157.0	3.1367891752989638e-09	31169.0	427	1.2663943256762249e-08	0.0049975012493753	0.000999500249875	reference	True	2000	1000	set_E	1.8236078289737642e-08	0.0013839234229039	all 36 secondary set/output/comparator contrasts	True	4.516976412430508e-09	True
contamination	magicc_v5	checkm2	477	427	2.205182579916157	4.287028650087723	-2.081846070171565	-2.6825028469074343	-1.501688266834742	-0.1250018799999999	-0.3324946056688515	-0.03413782	-0.935397405	-1.6295573167844826	-0.415962527702543	-0.1154709949061438	-0.1719806857638888	-0.0577688859862966	negligible	-0.3199828074699788	38762.0	1.400583382117213e-09	30601.0	427	3.356394494831861e-09	0.0059970014992503	0.000999500249875	reference	True	2000	1000	set_E	5.2534870353890015e-09	0.0013839234229039	all 36 secondary set/output/comparator contrasts	True	2.1008750731758194e-09	True
completeness	magicc_v5	cocopye	477	427	3.106831468262589	3.489987919167322	-0.3831564509047332	-0.8562154516951692	0.107044245619097	0.039689182901597	-0.2371229838871755	0.0952000000000055	-0.3327679910772119	-0.6725392150864544	-0.026355612629408	-0.0414145010086626	-0.1028742940003816	0.0193926580858646	negligible	-0.1122163451838986	50605.0	0.0337034071682582	40916.0	427	0.0614021901284422	0.4887556221889055	0.1299350324837581	reference	True	2000	1000	set_E	0.066984207412846	0.15089229578759	all 36 secondary set/output/comparator contrasts	False	0.03791633306429047	False
contamination	magicc_v5	cocopye	477	427	2.205182579916157	3.0644641926628453	-0.8592816127466877	-1.4199323760903444	-0.3196698848370082	0.055620074	-0.04417027070522	0.1391593018028025	-0.2191483956515909	-0.4827184711163134	-0.007269484791056	0.0300928672828518	-0.0293189727419852	0.0877945092419822	negligible	-0.1084796014139978	50818.0	0.0400834827159397	40884.0	427	0.0596828491492858	0.1049475262368815	0.000999500249875	reference	True	2000	1000	set_E	0.066984207412846	0.0013839234229039	all 36 secondary set/output/comparator contrasts	False	0.043727435690116036	False
completeness	magicc_v5	deepcheck	477	427	3.106831468262589	5.81367500021384	-2.706843531951251	-3.313046649397007	-2.1085335251223767	-1.801981149902346	-2.211940111083983	-1.4085730853535314	-2.2939920502854	-2.820960692656989	-1.829642422869876	-0.3702956546198506	-0.4291119630427481	-0.307260950960317	medium	-0.5241528731700043	27124.0	3.436235883657727e-23	21217.0	427	8.737899764838698e-22	0.000999500249875	0.000999500249875	reference	True	2000	1000	set_E	3.1456439153419317e-21	0.0013839234229039	all 36 secondary set/output/comparator contrasts	True	6.51076272693043e-23	True
contamination	magicc_v5	deepcheck	477	427	2.205182579916157	5.994676835744444	-3.789494255828288	-4.470277946119004	-3.1095697210059097	-0.6300393149109542	-1.101813302218132	-0.2763234401687622	-2.697189968627892	-3.626868391635073	-1.6409598134721988	-0.2269205244166677	-0.2802291201630875	-0.1697560879813012	small	-0.5296088699420191	26813.0	1.214986841650304e-23	20801.0	427	1.775758828947747e-22	0.000999500249875	0.000999500249875	reference	True	2000	1000	set_E	7.103035315790988e-22	0.0013839234229039	all 36 secondary set/output/comparator contrasts	True	2.429973683300608e-23	True
completeness	magicc_v5	checkm2	2651	1385	3.217521794784859	3.469080636184372	-0.2515588413995124	-0.5707200388752502	0.063930503918985	0.0464199999999976	0.0187549999999987	0.0606690624999993	-0.293727500000001	-0.4472877275780046	-0.1390915874999928	0.0172405280115359	-0.0124897061407782	0.0452591258907126	negligible	-0.1033694561885921	1575929.5	4.033326006244835e-06	393334.0	1385	6.0677437701284455e-09	0.0089955022488755	0.1259370314842578	reference	True	2000	1000	POOLED_sample_weighted	9.101615655192666e-09	0.15089229578759	all 36 secondary set/output/comparator contrasts	True	5.145191287209137e-06	False
contamination	magicc_v5	checkm2	2651	1385	2.544634400463596	5.688530150541951	-3.143895750078355	-3.5423981617605667	-2.751748776062525	-0.09117835	-0.16065098	-0.04940656	-1.4027574499999993	-2.0528238521249995	-0.8276811240625002	-0.0435856109186927	-0.0746726493138718	-0.013835635797352	negligible	-0.3341770913164615	1170259.0	3.184572006228284e-50	341316.0	1385	1.290740040166268e-20	0.000999500249875	0.000999500249875	reference	True	2000	1000	POOLED_sample_weighted	4.2242401314532414e-20	0.0013839234229039	all 36 secondary set/output/comparator contrasts	True	1.9107432037369703e-49	True
completeness	magicc_v5	cocopye	2651	1385	3.217521794784859	5.147127357191505	-1.929605562406646	-2.3728739840811044	-1.5043553605487412	-0.142982828047451	-0.2650959618198791	-0.0300312559756577	-0.97856597627867	-1.219786088936527	-0.7297191658220985	-0.0948744849206743	-0.1284269280602839	-0.0639739736013031	negligible	-0.2738179565126111	1276347.0	2.727411301173169e-34	346125.0	1385	2.565117849719683e-19	0.0119940029985007	0.000999500249875	reference	True	2000	1000	POOLED_sample_weighted	6.987872951896307e-19	0.0013839234229039	all 36 secondary set/output/comparator contrasts	True	8.926073349294009e-34	True
contamination	magicc_v5	cocopye	2651	1385	2.544634400463596	3.5733699492655355	-1.0287355488019396	-1.3808155541115543	-0.6790095964388112	0.08364022	0.0559628	0.11011362	-0.1757984317174812	-0.3226076382575276	-0.0563290969420544	0.0941450960264811	0.0609545806266444	0.1268963285145895	negligible	-0.0843456437793757	1609366.0	0.000169025970653	443524.0	1385	0.0145425531995517	0.000999500249875	0.000999500249875	reference	True	2000	1000	POOLED_sample_weighted	0.0168881262962536	0.0013839234229039	all 36 secondary set/output/comparator contrasts	True	0.0002028311647836	True
completeness	magicc_v5	deepcheck	2651	1385	3.217521794784859	5.885558681727232	-2.6680368869423723	-3.0805328548750133	-2.271758302537872	-1.1744441918945228	-1.3417131665038995	-1.02868158081054	-1.963517443725584	-2.2435858180509984	-1.7228903565225455	-0.3559313930488356	-0.3883598603937606	-0.3257695672794243	medium	-0.516569347177109	849684.0	2.037102065067745e-117	198489.0	1385	1.0818916704220563e-79	0.000999500249875	0.000999500249875	reference	True	2000	1000	POOLED_sample_weighted	3.894810013519404e-78	0.0013839234229039	all 36 secondary set/output/comparator contrasts	True	7.333567434243882e-116	True
contamination	magicc_v5	deepcheck	2651	1385	2.544634400463596	6.832678107410072	-4.288043706946475	-4.706714727306956	-3.882264603281296	-0.3318175690763855	-0.5249172444677124	-0.2144555612478013	-2.9974727309987035	-3.680170104742829	-2.3242783084840246	-0.133639099911907	-0.1645262475744004	-0.1048233145574176	negligible	-0.491999660903737	892868.0	1.0734937039178464e-106	242275.0	1385	2.3642998056177224e-57	0.000999500249875	0.000999500249875	reference	True	2000	1000	POOLED_sample_weighted	4.255739650111901e-56	0.0013839234229039	all 36 secondary set/output/comparator contrasts	True	1.9322886670521235e-105	True
