set	set_label	status	tier	tool	tool_label	tool_role	metric	n	n_clusters	true_value_variance	true_value_constant	true_value_min	true_value_max	mae	mae_ci_lo	mae_ci_hi	rmse	rmse_ci_lo	rmse_ci_hi	bias	bias_ci_lo	bias_ci_hi	r2	r2_ci_lo	r2_ci_hi	r2_pearson_sq	r2_pearson_sq_ci_lo	r2_pearson_sq_ci_hi	r2_omitted_reason
set_B_v2	set_B_v2	secondary_truth_restriction	secondary_35pct	checkm2	CheckM2 1.0.1	competitor	completeness	424	391	0.0	True	100.0	100.0	0.23891509433962307	0.1326015976042946	0.38336314234326846	1.348298718371513	0.5603811950387767	2.0655756249579564	-0.23891509433962307	-0.3833631423432685	-0.13260159760429463							R^2 is undefined: the true completeness is constant at 100% for all 424 genomes in this set, so the total sum of squares is zero and no fraction of variance can be explained. MAE, RMSE and mean signed error remain well defined and are reported instead.
set_B_v2	set_B_v2	secondary_truth_restriction	secondary_35pct	checkm2	CheckM2 1.0.1	competitor	contamination	424	391	111.82375071174059	False	0.0	34.738493213792644	4.978460860836954	4.410732280019275	5.541449187993523	7.96058396294253	7.244116636200716	8.645455057811079	-3.8428119069247586	-4.490364604792493	-3.2068745192477786	0.4332966241275936	0.33390134419529477	0.5226784583673505	0.5673612628567619	0.5069176404233603	0.6269027983340205	
set_B_v2	set_B_v2	secondary_truth_restriction	secondary_35pct	cocopye	CoCoPyE 0.5.0	competitor	completeness	424	391	0.0	True	100.0	100.0	0.39786393267935877	0.264836028036917	0.5624838848230322	1.6532922127818044	0.8693238048154643	2.449541729550356	-0.39786393267935877	-0.5624838848230322	-0.264836028036917							R^2 is undefined: the true completeness is constant at 100% for all 424 genomes in this set, so the total sum of squares is zero and no fraction of variance can be explained. MAE, RMSE and mean signed error remain well defined and are reported instead.
set_B_v2	set_B_v2	secondary_truth_restriction	secondary_35pct	cocopye	CoCoPyE 0.5.0	competitor	contamination	424	391	111.82375071174059	False	0.0	34.738493213792644	2.7896351910189887	2.346456461884419	3.292912477990935	5.5610716415873425	4.181355720170826	7.041451899119077	0.2349984306954162	-0.2636750911167716	0.8062922905960391	0.7234441019369241	0.5475145596717009	0.8420489987655198	0.7766522506598492	0.6953747019058881	0.8552235841699787	
set_B_v2	set_B_v2	secondary_truth_restriction	secondary_35pct	deepcheck	DeepCheck	competitor	completeness	424	391	0.0	True	100.0	100.0	1.6782367094507757	1.4633764992333511	1.9100075825502387	2.8890855103936866	2.236936279702343	3.6232264817209865	-0.6590509414672854	-0.9226641602456213	-0.3937684422823427							R^2 is undefined: the true completeness is constant at 100% for all 424 genomes in this set, so the total sum of squares is zero and no fraction of variance can be explained. MAE, RMSE and mean signed error remain well defined and are reported instead.
set_B_v2	set_B_v2	secondary_truth_restriction	secondary_35pct	deepcheck	DeepCheck	competitor	contamination	424	391	111.82375071174059	False	0.0	34.738493213792644	7.279934729452049	6.618088385809583	7.927865198415149	10.359538875065205	9.687155000978214	10.974987288491644	-6.969845884166208	-7.638484888870471	-6.272287617131085	0.04027503083278805	-0.0793488000526112	0.14360564853071223	0.5610014491530531	0.48846915576918226	0.6291178275896466	
set_C_clean	set_C_clean	secondary_truth_restriction	secondary_35pct	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	completeness	388	100	259.0004538955827	False	50.313623	100.0	6.730880922680413	5.349990388896104	8.123608871585505	10.098451702584113	8.394786433890312	11.7568522557916	-3.3080150824742267	-5.141268845410508	-1.422903825103716	0.6062604321514542	0.4518858845630542	0.7334916089037411	0.6844708766965427	0.5974509028743791	0.7712472915372114	
set_C_clean	set_C_clean	secondary_truth_restriction	secondary_35pct	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	contamination	388	100	104.40535373732298	False	0.0	34.911246	6.772632596958763	5.577295932152237	8.077613379934599	9.687295845828949	8.01233789840847	11.319092159853776	2.7771827107731957	0.976685407118876	4.505775732268144	0.10116007038566821	-0.2533759855884151	0.38670123579722704	0.5083199452965109	0.42249377806793936	0.6079387632046055	
set_C_clean	set_C_clean	secondary_truth_restriction	secondary_35pct	checkm2	CheckM2 1.0.1	competitor	completeness	388	100	259.0004538955827	False	50.313623	100.0	5.763680144329897	5.318795611942951	6.23914027888986	7.494368904637181	6.910511257537856	8.093797753980974	-1.6879320206185568	-2.4751618333764864	-0.9630330155237183	0.783144915640047	0.7436977241089955	0.819116157721009	0.7983315505856906	0.7621949185718279	0.8347302910502629	
set_C_clean	set_C_clean	secondary_truth_restriction	secondary_35pct	checkm2	CheckM2 1.0.1	competitor	contamination	388	100	104.40535373732298	False	0.0	34.911246	15.485356873711341	14.724603589973375	16.26082600955429	17.96457227057662	17.256963792150913	18.703483248602893	-15.450334791237113	-16.24125537708889	-14.693576162942643	-2.09108532572695	-2.4835897962226934	-1.7764628595096112	0.23772503558753597	0.17937402791629034	0.3000102833321188	
