cohort	clustering_unit	checkm2_class	magicc_class	n_genomes	weighted_proportion_of_cohort	ci95_lo	ci95_hi	row_conditional_rate	row_ci95_lo	row_ci95_hi	row_denominator_n
S2_rare_phylum_census	family	LQ	HQ	0	0	0	0	nan	nan	nan	0
S2_rare_phylum_census	family	LQ	MQ	0	0	0	0	nan	nan	nan	0
S2_rare_phylum_census	family	LQ	LQ	0	0	0	0	nan	nan	nan	0
S2_rare_phylum_census	spire_cluster	HQ	HQ	92	0.166065	0.133574	0.196751	nan	nan	nan	218
S2_rare_phylum_census	spire_cluster	HQ	MQ	78	0.140794	0.113718	0.169675	0.357798	0.294393	0.422754	218
S2_rare_phylum_census	spire_cluster	HQ	LQ	48	0.0866426	0.0631769	0.110108	0.220183	0.16508	0.278539	218
S2_rare_phylum_census	spire_cluster	MQ	HQ	78	0.140794	0.111913	0.169675	0.232143	0.188231	0.277778	336
S2_rare_phylum_census	spire_cluster	MQ	MQ	185	0.333935	0.294224	0.373646	nan	nan	nan	336
S2_rare_phylum_census	spire_cluster	MQ	LQ	73	0.131769	0.102888	0.158845	0.217262	0.173666	0.259942	336
S2_rare_phylum_census	spire_cluster	LQ	HQ	0	0	0	0	nan	nan	nan	0
S2_rare_phylum_census	spire_cluster	LQ	MQ	0	0	0	0	nan	nan	nan	0
S2_rare_phylum_census	spire_cluster	LQ	LQ	0	0	0	0	nan	nan	nan	0
reps_census	family	HQ	HQ	1211	0.184435	0.169878	0.1995	nan	nan	nan	2426
reps_census	family	HQ	MQ	920	0.140116	0.130064	0.151008	0.379225	0.357019	0.402595	2426
reps_census	family	HQ	LQ	295	0.0449284	0.0380111	0.051875	0.121599	0.102531	0.141611	2426
reps_census	family	MQ	HQ	748	0.11392	0.104312	0.123872	0.180851	0.165707	0.196703	4136
reps_census	family	MQ	MQ	2913	0.443649	0.427014	0.460385	nan	nan	nan	4136
reps_census	family	MQ	LQ	475	0.0723424	0.0611883	0.0842675	0.114845	0.0974285	0.132433	4136
reps_census	family	LQ	HQ	0	0	0	0	nan	nan	nan	4
reps_census	family	LQ	MQ	3	0.000456899	0	0.00102558	nan	nan	nan	4
reps_census	family	LQ	LQ	1	0.0001523	0	0.000500603	nan	nan	nan	4
reps_census	spire_cluster	HQ	HQ	1211	0.184435	0.175449	0.19403	nan	nan	nan	2426
reps_census	spire_cluster	HQ	MQ	920	0.140116	0.131735	0.148492	0.379225	0.360408	0.398195	2426
reps_census	spire_cluster	HQ	LQ	295	0.0449284	0.0402071	0.049802	0.121599	0.109261	0.134317	2426
reps_census	spire_cluster	MQ	HQ	748	0.11392	0.106153	0.121687	0.180851	0.169366	0.192687	4136
reps_census	spire_cluster	MQ	MQ	2913	0.443649	0.431313	0.455376	nan	nan	nan	4136
reps_census	spire_cluster	MQ	LQ	475	0.0723424	0.0660981	0.0784344	0.114845	0.105302	0.124453	4136
reps_census	spire_cluster	LQ	HQ	0	0	0	0	nan	nan	nan	4
reps_census	spire_cluster	LQ	MQ	3	0.000456899	0	0.0010661	nan	nan	nan	4
reps_census	spire_cluster	LQ	LQ	1	0.0001523	0	0.000456899	nan	nan	nan	4
