genome_id	status	bytes
spire_mag_00012334	ok	296695
spire_mag_00012339	ok	268715
spire_mag_00012353	ok	232070
spire_mag_00012362	ok	303766
spire_mag_00012394	ok	276522
spire_mag_00012388	ok	311819
spire_mag_00012400	ok	269347
spire_mag_00012422	ok	246532
spire_mag_00012431	ok	265703
spire_mag_00012454	ok	277777
spire_mag_00012471	ok	294653
spire_mag_00012440	ok	299462
spire_mag_00012475	ok	273753
spire_mag_00012516	ok	251056
spire_mag_00012499	ok	229712
spire_mag_00012515	ok	306654
spire_mag_00012519	ok	268431
spire_mag_00012522	ok	269503
spire_mag_00012537	ok	254192
spire_mag_00012559	ok	278042
spire_mag_00012561	ok	241248
spire_mag_00012585	ok	305484
spire_mag_00012574	ok	287204
spire_mag_00012723	ok	267864
spire_mag_00012676	ok	255412
spire_mag_00012762	ok	276182
spire_mag_00012738	ok	297108
spire_mag_00012771	ok	275934
spire_mag_00012701	ok	247218
spire_mag_00012794	ok	199584
spire_mag_00012775	ok	236340
spire_mag_00012796	ok	263840
spire_mag_00012820	ok	281942
spire_mag_00012852	ok	263567
spire_mag_00012863	ok	220130
spire_mag_00012868	ok	260354
spire_mag_00012877	ok	253842
spire_mag_00012880	ok	127080
spire_mag_00012879	ok	241544
spire_mag_00012882	ok	268912
spire_mag_00012896	ok	197976
spire_mag_00012891	ok	288566
spire_mag_00012910	ok	287268
spire_mag_00012898	ok	251765
spire_mag_00012901	ok	308347
spire_mag_00012921	ok	274512
spire_mag_00012953	ok	231864
spire_mag_00012944	ok	292628
spire_mag_00012958	ok	270862
spire_mag_00012960	ok	221479
spire_mag_00012963	ok	312999
spire_mag_00012981	ok	285420
spire_mag_00013003	ok	312095
spire_mag_00013037	ok	262214
spire_mag_00013060	ok	274621
spire_mag_00013024	ok	292702
spire_mag_00013013	ok	241079
spire_mag_00013011	ok	236531
spire_mag_00013092	ok	171336
spire_mag_00013070	ok	237849
spire_mag_00013072	ok	212109
spire_mag_00013084	ok	223412
spire_mag_00013100	ok	248217
spire_mag_00013132	ok	291435
spire_mag_00013128	ok	214236
spire_mag_00013174	ok	197964
spire_mag_00013141	ok	296286
spire_mag_00013180	ok	258378
spire_mag_00013193	ok	191798
spire_mag_00013223	ok	143400
spire_mag_00013220	ok	268343
spire_mag_00013225	ok	293603
spire_mag_00013237	ok	177829
spire_mag_00013243	ok	290628
spire_mag_00013291	ok	246676
spire_mag_00013299	ok	258605
spire_mag_00013349	ok	239785
spire_mag_00013334	ok	213430
spire_mag_00013335	ok	217500
spire_mag_00013339	ok	222400
spire_mag_00013378	ok	276991
spire_mag_00013372	ok	232689
spire_mag_00013350	ok	282144
spire_mag_00013387	ok	248049
spire_mag_00013379	ok	286561
spire_mag_00013431	ok	280065
spire_mag_00013440	ok	281168
spire_mag_00013495	ok	286406
spire_mag_00013454	ok	312578
spire_mag_00013512	ok	257136
spire_mag_00013510	ok	283391
spire_mag_00013483	ok	291844
spire_mag_00013507	ok	301920
spire_mag_00013521	ok	219949
spire_mag_00013551	ok	258318
spire_mag_00013557	ok	304208
spire_mag_00013573	ok	269018
spire_mag_00013575	ok	239236
spire_mag_00013572	ok	281601
spire_mag_00013579	ok	295530
spire_mag_00013584	ok	266394
spire_mag_00013630	ok	286180
spire_mag_00013632	ok	291460
spire_mag_00013640	ok	282051
spire_mag_00013673	ok	265362
spire_mag_00013641	ok	273072
spire_mag_00013649	ok	216985
spire_mag_00013659	ok	243650
spire_mag_00013732	ok	233827
spire_mag_00013715	ok	215594
spire_mag_00013725	ok	313910
spire_mag_00013720	ok	276993
spire_mag_00013695	ok	296827
spire_mag_00013712	ok	292102
spire_mag_00013678	ok	247153
spire_mag_00013765	ok	225952
spire_mag_00013791	ok	261530
spire_mag_00013796	ok	177900
spire_mag_00013797	ok	282027
spire_mag_00013821	ok	238159
spire_mag_00013840	ok	192235
spire_mag_00013828	ok	286099
spire_mag_00013900	ok	177354
spire_mag_00013877	ok	206995
spire_mag_00013892	ok	276211
spire_mag_00013905	ok	294991
