cohort	clustering_unit	grouping	stratum	n_genomes	statistic	estimate	ci95_lo	ci95_hi	design_se	design_ci95_lo	design_ci95_hi	note
catalogue_weighted	family	size_bin	<1Mb	17201	mean_comp_checkm2	71.1609	69.2218	73.2504	0.101473	70.962	71.3598	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	mean_comp_magicc	62.9553	61.2082	64.7899	0.0916079	62.7757	63.1348	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	mean_cont_checkm2	1.34539	1.18769	1.53473	0.0119362	1.322	1.36879	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	mean_cont_magicc	2.5216	2.07346	3.05384	0.0346781	2.45364	2.58957	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	cell_HQ_to_HQ	0.0487995	0.0354815	0.0636722	0.00144996	0.0459576	0.0516414	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	cell_HQ_to_MQ	0.0905373	0.0746233	0.109362	0.00192632	0.0867617	0.0943128	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	cell_HQ_to_LQ	0.021027	0.0155733	0.0275289	0.000967068	0.0191316	0.0229224	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	cell_MQ_to_HQ	0.0161902	0.0114207	0.0218545	0.000802924	0.0146165	0.0177639	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	cell_MQ_to_MQ	0.767523	0.726182	0.804362	0.00277297	0.762088	0.772958	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	cell_MQ_to_LQ	0.0558651	0.0422264	0.0726657	0.00146171	0.0530002	0.05873	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	cell_LQ_to_HQ	0	0	0	0	0	0	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	cell_LQ_to_MQ	5.81367e-05	0	0.000207813	4.8984e-05	-3.78702e-05	0.000154144	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	cell_LQ_to_LQ	0	0	0	0	0	0	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	slope_d_comp_per_log10Mbp	21.0112	16.1683	25.4556				post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	slope_d_cont_per_log10Mbp	2.16691	0.448023	4.35233				post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	1-2Mb	428	p_class_change	0.241002	0.182555	0.302165	0.0328026	0.176711	0.305294	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	1-2Mb	428	p_downgrade	0.170602	0.127054	0.216905	0.0292513	0.11327	0.227933	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	1-2Mb	428	p_upgrade	0.0704008	0.0402009	0.102378	0.0189801	0.0332005	0.107601	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	1-2Mb	428	p_HQ_checkm2	0.180925	0.130835	0.235955	0.0314882	0.11921	0.242641	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	1-2Mb	428	p_HQ_magicc	0.176169	0.125844	0.226824	0.0301991	0.116979	0.235358	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	1-2Mb	428	HQ_downgrade_rate	0.415407	0.270493	0.58166	0.096985	0.22532	0.605494	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	1-2Mb	428	HQ_to_MQ_rate	0.27244	0.157403	0.403009	0.0873107	0.101314	0.443566	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	1-2Mb	428	HQ_to_LQ_rate	0.142967	0.0592061	0.252421	0.068981	0.00776638	0.278167	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	1-2Mb	428	MQ_to_HQ_rate	0.0859516	0.049359	0.124743	0.0229363	0.0409973	0.130906	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	1-2Mb	428	MQ_to_LQ_rate	0.116527	0.0756142	0.164711	0.0262332	0.0651105	0.167943	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	1-2Mb	428	LQ_to_higher_rate	nan	nan	nan	nan	nan	nan	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	1-2Mb	428	cont5_disagreement_rate	0.145331	0.101841	0.199208	0.0300681	0.0863983	0.204263	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	1-2Mb	428	floor_rate	0.00416341	0	0.0147656	0.00475653	-0.00515923	0.013486	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	1-2Mb	428	floor_rate_exact50	0	0	0	0	0	0	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	1-2Mb	428	mean_d_comp	-1.69452	-3.4609	-0.120782	0.990336	-3.63555	0.2465	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	1-2Mb	428	mean_d_cont	1.59456	0.417817	2.9994	0.784775	0.0564273	3.13269	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	1-2Mb	428	mean_comp_checkm2	74.191	71.9589	76.6204	1.21803	71.8037	76.5782	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	1-2Mb	428	mean_comp_magicc	72.4964	69.9628	75.0541	1.26356	70.0199	74.973	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	1-2Mb	428	mean_cont_checkm2	2.56896	2.24501	2.89366	0.19722	2.18242	2.9555	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	1-2Mb	428	mean_cont_magicc	4.16352	3.00144	5.54572	0.781097	2.63259	5.69444	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	1-2Mb	428	cell_HQ_to_HQ	0.105768	0.0633948	0.156969	0.0255354	0.0557194	0.155816	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	1-2Mb	428	cell_HQ_to_MQ	0.0492913	0.0275318	0.0730557	0.0179085	0.0141914	0.0843913	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	1-2Mb	428	cell_HQ_to_LQ	0.0258663	0.010663	0.044735	0.0132664	-0.000135291	0.0518679	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	1-2Mb	428	cell_MQ_to_HQ	0.0704008	0.0402009	0.102378	0.0189801	0.0332005	0.107601	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	1-2Mb	428	cell_MQ_to_MQ	0.65323	0.586408	0.718132	0.0368274	0.581049	0.72541	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	1-2Mb	428	cell_MQ_to_LQ	0.0954441	0.061564	0.134196	0.0217962	0.0527244	0.138164	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	1-2Mb	428	cell_LQ_to_HQ	0	0	0	0	0	0	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	1-2Mb	428	cell_LQ_to_MQ	0	0	0	0	0	0	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	1-2Mb	428	cell_LQ_to_LQ	0	0	0	0	0	0	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	1-2Mb	428	slope_d_comp_per_log10Mbp	12.7935	-2.86917	28.5934				post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	1-2Mb	428	slope_d_cont_per_log10Mbp	-7.60584	-22.163	5.8345				post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
