cohort	clustering_unit	grouping	stratum	n_genomes	metric	weighted_median	ci95_lo	ci95_hi	weighted_mean	mean_ci95_lo	mean_ci95_hi
catalogue_weighted_no_nr_adjustment	family	phylum	Patescibacteria	7343	completeness_MAGICC_minus_CheckM2	-2.0086	-5.8747	-0.1028	-3.7814	-7.2939	-0.3774
catalogue_weighted_no_nr_adjustment	family	phylum	Patescibacteria	7343	contamination_MAGICC_minus_CheckM2	0.6421	0.0345	1.3429	6.4746	3.1883	10.5221
catalogue_weighted_no_nr_adjustment	family	phylum	Proteobacteria	1621	completeness_MAGICC_minus_CheckM2	-0.0828	-1.3127	0.4524	-1.2207	-2.7581	0.3932
catalogue_weighted_no_nr_adjustment	family	phylum	Proteobacteria	1621	contamination_MAGICC_minus_CheckM2	-1.6188	-2.0458	-1.0860	-1.1427	-1.9077	-0.0491
catalogue_weighted_no_nr_adjustment	family	phylum	Thermoplasmatota	282	completeness_MAGICC_minus_CheckM2	3.7066	-13.4006	7.5503	0.9850	-11.8810	3.2983
catalogue_weighted_no_nr_adjustment	family	phylum	Thermoplasmatota	282	contamination_MAGICC_minus_CheckM2	-2.5071	-8.9726	-0.1148	-2.5339	-7.6567	-0.1408
catalogue_weighted_no_nr_adjustment	family	phylum	Thermoproteota	361	completeness_MAGICC_minus_CheckM2	-4.6593	-9.4792	1.0968	-1.4476	-7.3569	7.5982
catalogue_weighted_no_nr_adjustment	family	phylum	Thermoproteota	361	contamination_MAGICC_minus_CheckM2	0.2140	-0.5194	7.5585	4.8361	0.0434	9.6631
catalogue_weighted_no_nr_adjustment	family	phylum	other (<200 in cohort)	2251	completeness_MAGICC_minus_CheckM2	0.7837	-0.1788	1.9699	0.6593	-0.7731	1.9475
catalogue_weighted_no_nr_adjustment	family	phylum	other (<200 in cohort)	2251	contamination_MAGICC_minus_CheckM2	-0.7798	-1.1698	-0.3158	2.2112	0.6388	3.8714
S3_srs_unweighted	family	overall	ALL	892	completeness_MAGICC_minus_CheckM2	-0.0648	-0.3696	0.3929	-0.5846	-1.4208	0.2493
S3_srs_unweighted	family	overall	ALL	892	contamination_MAGICC_minus_CheckM2	-0.8699	-1.0977	-0.6047	1.0037	0.2378	1.8567
S3_srs_unweighted	family	size_bin	1-2Mb	254	completeness_MAGICC_minus_CheckM2	-1.1779	-2.2960	-0.0759	-1.8389	-3.6319	-0.2709
S3_srs_unweighted	family	size_bin	1-2Mb	254	contamination_MAGICC_minus_CheckM2	-0.5194	-0.7141	-0.2430	1.6726	0.4754	2.9334
S3_srs_unweighted	family	size_bin	2-3Mb	241	completeness_MAGICC_minus_CheckM2	-1.2329	-3.8716	0.0793	-2.4582	-3.9767	-0.8902
S3_srs_unweighted	family	size_bin	2-3Mb	241	contamination_MAGICC_minus_CheckM2	-1.1978	-1.7406	-0.7075	-0.1403	-0.9793	0.7674
S3_srs_unweighted	family	size_bin	3-5Mb	306	completeness_MAGICC_minus_CheckM2	0.6601	-0.0491	1.7849	0.8479	-0.4455	2.1795
