accession	description	study_accession
GCA_902515655	AG-325-F15 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902515665	AG-325-F08 assembly for uncultured SAR116 cluster alpha proteobacterium	PRJEB33281
GCA_902515675	AG-313-F06 assembly for Paracoccaceae bacterium	PRJEB33281
GCA_902515685	AG-313-E08 assembly for uncultured prokaryote	PRJEB33281
GCA_902515695	AG-325-F05 assembly for uncultured prokaryote	PRJEB33281
GCA_902515725	AG-325-G04 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902515765	AG-325-G13 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902515815	AG-325-G14 assembly for uncultured prokaryote	PRJEB33281
GCA_902515825	AG-325-F17 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902515885	AG-325-F19 assembly for uncultured prokaryote	PRJEB33281
GCA_902515895	AG-325-F16 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902515905	AG-325-G15 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902515935	AG-325-I06 assembly for uncultured prokaryote	PRJEB33281
GCA_902515945	AG-325-G18 assembly for uncultured prokaryote	PRJEB33281
GCA_902515955	AG-325-I11 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902515965	AG-325-I13 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902515975	AG-325-I03 assembly for uncultured prokaryote	PRJEB33281
