accession	description	study_accession
GCA_902568885	AG-908-O17 assembly for uncultured prokaryote	PRJEB33281
GCA_902568895	AG-414-J07 assembly for uncultured prokaryote	PRJEB33281
GCA_902569015	AG-908-P01 assembly for uncultured prokaryote	PRJEB33281
GCA_902569065	AG-908-P04 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902569075	AG-908-O22 assembly for uncultured prokaryote	PRJEB33281
GCA_902569085	AG-908-P06 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902569095	AG-908-P05 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902569105	AG-414-K04 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902569365	AG-414-L08 assembly for uncultured prokaryote	PRJEB33281
GCA_902569375	AG-909-A08 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902569385	AG-909-A07 assembly for uncultured SAR92 cluster bacterium	PRJEB33281
GCA_902569395	AG-414-L13 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902569405	AG-414-L04 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902569415	AG-414-L14 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902569425	AG-414-L09 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902569435	AG-909-A02 assembly for uncultured prokaryote	PRJEB33281
GCA_902569445	AG-909-A01 assembly for uncultured prokaryote	PRJEB33281
GCA_902569455	AG-909-A05 assembly for uncultured prokaryote	PRJEB33281
GCA_902569465	AG-909-A06 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902569475	AG-909-A11 assembly for uncultured prokaryote	PRJEB33281
GCA_902569485	AG-909-A10 assembly for uncultured prokaryote	PRJEB33281
GCA_902569495	AG-414-L16 assembly for uncultured prokaryote	PRJEB33281
GCA_902569505	AG-909-A16 assembly for uncultured prokaryote	PRJEB33281
GCA_902569515	AG-909-A15 assembly for uncultured prokaryote	PRJEB33281
GCA_902569525	AG-909-B03 assembly for uncultured prokaryote	PRJEB33281
GCA_902569535	AG-414-L17 assembly for uncultured prokaryote	PRJEB33281
GCA_902569545	AG-414-L21 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902569555	AG-909-A17 assembly for uncultured prokaryote	PRJEB33281
GCA_902569565	AG-909-A20 assembly for uncultured prokaryote	PRJEB33281
GCA_902569575	AG-414-L18 assembly for uncultured prokaryote	PRJEB33281
GCA_902569585	AG-909-B04 assembly for uncultured prokaryote	PRJEB33281
GCA_902569725	AG-414-M10 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902569805	AG-414-M23 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902569845	AG-414-M13 assembly for uncultured Candidatus Actinomarina sp.	PRJEB33281
GCA_902569875	AG-414-N07 assembly for uncultured prokaryote	PRJEB33281
GCA_902569885	AG-414-N09 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902569965	AG-909-C03 assembly for uncultured prokaryote	PRJEB33281
GCA_902569975	AG-909-C05 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902569985	AG-909-C10 assembly for uncultured prokaryote	PRJEB33281
GCA_902569995	AG-414-N11 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902570005	AG-414-N13 assembly for uncultured prokaryote	PRJEB33281
GCA_902570015	AG-414-N16 assembly for uncultured prokaryote	PRJEB33281
GCA_902570025	AG-909-C14 assembly for uncultured prokaryote	PRJEB33281
GCA_902570035	AG-909-C16 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902570045	AG-414-N19 assembly for uncultured prokaryote	PRJEB33281
GCA_902570055	AG-414-N18 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902570065	AG-909-C19 assembly for uncultured prokaryote	PRJEB33281
GCA_902570075	AG-909-C20 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902570105	AG-909-D02 assembly for uncultured prokaryote	PRJEB33281
GCA_902570165	AG-414-O04 assembly for uncultured prokaryote	PRJEB33281
GCA_902570225	AG-414-O08 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902570275	AG-909-D15 assembly for Rhodospirillaceae bacterium	PRJEB33281
GCA_902570285	AG-414-P01 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902570305	AG-909-D18 assembly for uncultured prokaryote	PRJEB33281
GCA_902570315	AG-414-O23 assembly for uncultured prokaryote	PRJEB33281
GCA_902570325	AG-909-D21 assembly for uncultured prokaryote	PRJEB33281
GCA_902570335	AG-909-D20 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902570345	AG-909-D16 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902570355	AG-414-P05 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902570365	AG-909-E03 assembly for uncultured prokaryote	PRJEB33281
GCA_902570375	AG-414-P09 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902570385	AG-909-E02 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902570395	AG-909-D23 assembly for uncultured prokaryote	PRJEB33281
GCA_902570405	AG-414-P15 assembly for uncultured prokaryote	PRJEB33281
GCA_902570435	AG-909-E06 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902570475	AG-414-P14 assembly for uncultured Fidelibacterota bacterium	PRJEB33281
GCA_902570485	AG-414-P11 assembly for uncultured prokaryote	PRJEB33281
GCA_902570495	AG-422-A08 assembly for uncultured prokaryote	PRJEB33281
GCA_902570575	AG-909-E19 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902570635	AG-909-E10 assembly for uncultured prokaryote	PRJEB33281
GCA_902570645	AG-909-F03 assembly for uncultured prokaryote	PRJEB33281
GCA_902570655	AG-422-A14 assembly for uncultured Candidatus Actinomarina sp.	PRJEB33281
GCA_902570785	AG-422-A21 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902570795	AG-909-F15 assembly for uncultured prokaryote	PRJEB33281
GCA_902570805	AG-909-G04 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902570815	AG-422-A22 assembly for uncultured prokaryote	PRJEB33281
GCA_902570825	AG-422-B02 assembly for uncultured prokaryote	PRJEB33281
GCA_902570865	AG-422-B04 assembly for uncultured prokaryote	PRJEB33281
GCA_902570875	AG-909-F23 assembly for uncultured prokaryote	PRJEB33281
GCA_902570885	AG-422-B03 assembly for Rhodospirillaceae bacterium	PRJEB33281
GCA_902570895	AG-422-B09 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902571145	AG-909-I11 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902571235	AG-422-C07 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902571245	AG-909-I21 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902571255	AG-909-I23 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902571265	AG-422-C04 assembly for Actinomycetota bacterium	PRJEB33281
GCA_902571275	AG-422-C08 assembly for uncultured prokaryote	PRJEB33281
GCA_902571285	AG-909-J13 assembly for uncultured prokaryote	PRJEB33281
GCA_902571295	AG-909-J04 assembly for uncultured prokaryote	PRJEB33281
GCA_902571305	AG-422-C16 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902571315	AG-422-C09 assembly for Rhodospirillaceae bacterium	PRJEB33281
GCA_902571385	AG-422-C10 assembly for uncultured Candidatus Actinomarina sp.	PRJEB33281
GCA_902571395	AG-909-J05 assembly for uncultured prokaryote	PRJEB33281
GCA_902571405	AG-909-J16 assembly for uncultured prokaryote	PRJEB33281
GCA_902571415	AG-909-K05 assembly for uncultured prokaryote	PRJEB33281
GCA_902571425	AG-422-C20 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902571435	AG-422-C19 assembly for uncultured Candidatus Actinomarina sp.	PRJEB33281
GCA_902571445	AG-909-J20 assembly for uncultured prokaryote	PRJEB33281
GCA_902571455	AG-422-C17 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902571465	AG-909-K08 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902571485	AG-422-C18 assembly for uncultured prokaryote	PRJEB33281
GCA_902571495	AG-909-J09 assembly for uncultured prokaryote	PRJEB33281
GCA_902571505	AG-909-J22 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902571515	AG-422-C23 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902571525	AG-422-C22 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902571535	AG-422-C21 assembly for uncultured prokaryote	PRJEB33281
GCA_902571555	AG-909-K09 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902571595	AG-422-D11 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902571625	AG-909-K18 assembly for uncultured prokaryote	PRJEB33281
GCA_902571675	AG-422-D18 assembly for uncultured prokaryote	PRJEB33281
GCA_902571685	AG-909-L03 assembly for uncultured prokaryote	PRJEB33281
GCA_902571715	AG-909-K22 assembly for uncultured prokaryote	PRJEB33281
GCA_902571725	AG-909-K21 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902571765	AG-909-L06 assembly for uncultured prokaryote	PRJEB33281
GCA_902571785	AG-422-D13 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902571795	AG-422-D21 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902571825	AG-909-L07 assembly for uncultured prokaryote	PRJEB33281
GCA_902571835	AG-909-L09 assembly for uncultured prokaryote	PRJEB33281
GCA_902571875	AG-909-L13 assembly for uncultured prokaryote	PRJEB33281
GCA_902571895	AG-909-L16 assembly for uncultured prokaryote	PRJEB33281
GCA_902571905	AG-909-L15 assembly for uncultured prokaryote	PRJEB33281
GCA_902571945	AG-422-E08 assembly for uncultured prokaryote	PRJEB33281
GCA_902571975	AG-422-E13 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902571985	AG-909-L19 assembly for uncultured prokaryote	PRJEB33281
GCA_902571995	AG-909-L17 assembly for uncultured prokaryote	PRJEB33281
GCA_902572005	AG-422-E14 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902572015	AG-909-L21 assembly for uncultured prokaryote	PRJEB33281
GCA_902572025	AG-909-L22 assembly for uncultured prokaryote	PRJEB33281
GCA_902572035	AG-422-E10 assembly for uncultured prokaryote	PRJEB33281
GCA_902572045	AG-909-L23 assembly for uncultured prokaryote	PRJEB33281
GCA_902572055	AG-909-M03 assembly for uncultured prokaryote	PRJEB33281
GCA_902572065	AG-422-E22 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902572075	AG-909-M08 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902572085	AG-422-E15 assembly for uncultured Candidatus Actinomarina sp.	PRJEB33281
GCA_902572095	AG-422-E18 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902572105	AG-909-M10 assembly for uncultured prokaryote	PRJEB33281
GCA_902572115	AG-422-E23 assembly for uncultured prokaryote	PRJEB33281
GCA_902572125	AG-909-M05 assembly for uncultured prokaryote	PRJEB33281
GCA_902572135	AG-422-E19 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902572145	AG-909-M13 assembly for uncultured prokaryote	PRJEB33281
GCA_902572155	AG-422-E20 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902572165	AG-909-M17 assembly for uncultured prokaryote	PRJEB33281
GCA_902572175	AG-909-N03 assembly for uncultured prokaryote	PRJEB33281
GCA_902572185	AG-909-M20 assembly for uncultured prokaryote	PRJEB33281
GCA_902572195	AG-422-F04 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902572205	AG-909-M22 assembly for uncultured prokaryote	PRJEB33281
GCA_902572215	AG-909-M19 assembly for uncultured prokaryote	PRJEB33281
GCA_902572225	AG-422-F10 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902572235	AG-422-F02 assembly for uncultured prokaryote	PRJEB33281
GCA_902572245	AG-909-M21 assembly for uncultured prokaryote	PRJEB33281
GCA_902572255	AG-422-F03 assembly for uncultured prokaryote	PRJEB33281
GCA_902572265	AG-422-F08 assembly for uncultured Synechococcaceae cyanobacterium	PRJEB33281
GCA_902572275	AG-422-F07 assembly for uncultured prokaryote	PRJEB33281
GCA_902572285	AG-909-M16 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902572295	AG-909-M14 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902572305	AG-422-F09 assembly for uncultured prokaryote	PRJEB33281
GCA_902572315	AG-422-F13 assembly for Planctomycetaceae bacterium	PRJEB33281
GCA_902572325	AG-422-F11 assembly for uncultured prokaryote	PRJEB33281
GCA_902572335	AG-909-N09 assembly for uncultured prokaryote	PRJEB33281
GCA_902572345	AG-422-F15 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902572355	AG-909-N08 assembly for uncultured prokaryote	PRJEB33281
GCA_902572365	AG-422-F17 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902572375	AG-909-N06 assembly for uncultured prokaryote	PRJEB33281
GCA_902572385	AG-422-F19 assembly for uncultured prokaryote	PRJEB33281
GCA_902572395	AG-422-F18 assembly for uncultured Synechococcaceae cyanobacterium	PRJEB33281
GCA_902572405	AG-909-N10 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902572415	AG-909-N13 assembly for uncultured prokaryote	PRJEB33281
GCA_902572425	AG-909-N14 assembly for uncultured prokaryote	PRJEB33281
GCA_902572435	AG-422-F21 assembly for uncultured prokaryote	PRJEB33281
GCA_902572445	AG-909-N15 assembly for uncultured prokaryote	PRJEB33281
GCA_902572455	AG-909-N16 assembly for uncultured prokaryote	PRJEB33281
GCA_902572465	AG-422-F22 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902572475	AG-909-N17 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902572485	AG-422-G02 assembly for uncultured prokaryote	PRJEB33281
GCA_902572495	AG-422-F23 assembly for uncultured prokaryote	PRJEB33281
GCA_902572505	AG-422-G07 assembly for uncultured prokaryote	PRJEB33281
GCA_902572515	AG-422-G03 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902572525	AG-422-G06 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902572535	AG-422-G09 assembly for uncultured SAR116 cluster alpha proteobacterium	PRJEB33281
GCA_902572545	AG-909-N21 assembly for uncultured prokaryote	PRJEB33281
GCA_902572555	AG-422-G05 assembly for uncultured SAR324 cluster bacterium	PRJEB33281
GCA_902572565	AG-909-N20 assembly for uncultured prokaryote	PRJEB33281
GCA_902572575	AG-909-N19 assembly for uncultured prokaryote	PRJEB33281
GCA_902572585	AG-422-G10 assembly for uncultured prokaryote	PRJEB33281
GCA_902572595	AG-909-N23 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902572605	AG-909-N22 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902572615	AG-909-O02 assembly for uncultured prokaryote	PRJEB33281
GCA_902572625	AG-909-O09 assembly for uncultured prokaryote	PRJEB33281
GCA_902572635	AG-422-G17 assembly for uncultured prokaryote	PRJEB33281
GCA_902572655	AG-909-O13 assembly for uncultured prokaryote	PRJEB33281
GCA_902572665	AG-909-O06 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902572685	AG-422-G13 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902572695	AG-422-G19 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902572705	AG-422-G15 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902572715	AG-422-G11 assembly for uncultured prokaryote	PRJEB33281
GCA_902572725	AG-909-O03 assembly for K189A clade bacterium	PRJEB33281
GCA_902572735	AG-909-O11 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902572755	AG-422-G22 assembly for uncultured prokaryote	PRJEB33281
GCA_902572765	AG-909-O15 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902572775	AG-422-G23 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902572785	AG-422-G20 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902572805	AG-909-O16 assembly for uncultured prokaryote	PRJEB33281
GCA_902572815	AG-909-O17 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902572825	AG-422-G21 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902572835	AG-909-O20 assembly for uncultured prokaryote	PRJEB33281
GCA_902572855	AG-422-I05 assembly for uncultured prokaryote	PRJEB33281
GCA_902572865	AG-422-I03 assembly for uncultured Synechococcaceae cyanobacterium	PRJEB33281
GCA_902572875	AG-909-P01 assembly for uncultured prokaryote	PRJEB33281
GCA_902572885	AG-422-I02 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902572895	AG-909-P08 assembly for uncultured prokaryote	PRJEB33281
GCA_902572905	AG-422-I07 assembly for uncultured prokaryote	PRJEB33281
GCA_902572915	AG-422-I06 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902572925	AG-909-P05 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902572935	AG-909-P02 assembly for uncultured prokaryote	PRJEB33281
GCA_902572945	AG-422-I10 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902573065	AG-909-P19 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902573075	AG-909-P20 assembly for uncultured prokaryote	PRJEB33281
GCA_902573085	AG-422-I20 assembly for uncultured Candidatus Poseidoniales archaeon	PRJEB33281
GCA_902573095	AG-909-P17 assembly for uncultured prokaryote	PRJEB33281
GCA_902573105	AG-910-A01 assembly for uncultured prokaryote	PRJEB33281
GCA_902573115	AG-422-I22 assembly for uncultured Candidatus Poseidoniales archaeon	PRJEB33281
GCA_902573125	AG-910-A02 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902573135	AG-422-I21 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902573145	AG-909-P23 assembly for uncultured prokaryote	PRJEB33281
GCA_902573155	AG-422-J02 assembly for uncultured prokaryote	PRJEB33281
GCA_902573165	AG-422-I19 assembly for uncultured Candidatus Actinomarina sp.	PRJEB33281
GCA_902573195	AG-910-A10 assembly for uncultured prokaryote	PRJEB33281
GCA_902573205	AG-910-A06 assembly for uncultured prokaryote	PRJEB33281
GCA_902573215	AG-910-A04 assembly for uncultured prokaryote	PRJEB33281
GCA_902573315	AG-910-A11 assembly for uncultured prokaryote	PRJEB33281
GCA_902573325	AG-422-J16 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902573335	AG-422-J13 assembly for uncultured Synechococcaceae cyanobacterium	PRJEB33281
GCA_902573345	AG-910-A15 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902573365	AG-910-A20 assembly for uncultured prokaryote	PRJEB33281
GCA_902573385	AG-422-J21 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902573395	AG-910-A21 assembly for uncultured prokaryote	PRJEB33281
GCA_902573405	AG-422-J18 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902573415	AG-422-J17 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902573425	AG-422-J20 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902573435	AG-910-A19 assembly for uncultured prokaryote	PRJEB33281
GCA_902573495	AG-422-K07 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902573565	AG-422-K10 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902573575	AG-910-B11 assembly for uncultured prokaryote	PRJEB33281
GCA_902573595	AG-910-B08 assembly for uncultured prokaryote	PRJEB33281
GCA_902573625	AG-910-B17 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902573645	AG-910-B13 assembly for uncultured prokaryote	PRJEB33281
GCA_902573705	AG-422-K15 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902573715	AG-422-K11 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902573745	AG-910-B22 assembly for uncultured prokaryote	PRJEB33281
GCA_902573775	AG-910-C05 assembly for uncultured prokaryote	PRJEB33281
GCA_902573785	AG-910-B23 assembly for uncultured prokaryote	PRJEB33281
GCA_902573795	AG-422-K23 assembly for uncultured prokaryote	PRJEB33281
GCA_902573825	AG-910-C02 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902573835	AG-910-C03 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902573855	AG-422-L02 assembly for uncultured prokaryote	PRJEB33281
GCA_902573865	AG-910-C06 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902573875	AG-422-L05 assembly for uncultured prokaryote	PRJEB33281
GCA_902573885	AG-422-L04 assembly for uncultured prokaryote	PRJEB33281
GCA_902573905	AG-910-C11 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902573915	AG-422-L03 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902573925	AG-910-C07 assembly for uncultured prokaryote	PRJEB33281
GCA_902573945	AG-422-L06 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902573955	AG-422-L07 assembly for uncultured prokaryote	PRJEB33281
GCA_902573965	AG-422-L10 assembly for Paracoccaceae bacterium	PRJEB33281
GCA_902573985	AG-910-C16 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902573995	AG-422-L09 assembly for uncultured prokaryote	PRJEB33281
GCA_902574005	AG-910-C15 assembly for uncultured prokaryote	PRJEB33281
GCA_902574015	AG-910-C17 assembly for uncultured prokaryote	PRJEB33281
GCA_902574025	AG-422-L17 assembly for Actinomycetota bacterium	PRJEB33281
GCA_902574035	AG-422-L15 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902574045	AG-422-L16 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902574095	AG-910-D03 assembly for uncultured Candidatus Actinomarina sp.	PRJEB33281
GCA_902574105	AG-910-C23 assembly for uncultured prokaryote	PRJEB33281
GCA_902574125	AG-910-D04 assembly for uncultured prokaryote	PRJEB33281
GCA_902574135	AG-422-L22 assembly for uncultured prokaryote	PRJEB33281
GCA_902574145	AG-910-D05 assembly for uncultured prokaryote	PRJEB33281
GCA_902574165	AG-910-D06 assembly for uncultured prokaryote	PRJEB33281
GCA_902574175	AG-422-L20 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902574185	AG-910-D09 assembly for uncultured prokaryote	PRJEB33281
GCA_902574195	AG-910-D08 assembly for uncultured prokaryote	PRJEB33281
GCA_902574205	AG-422-L23 assembly for uncultured Candidatus Hydrogenedens sp.	PRJEB33281
GCA_902574225	AG-422-M03 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902574235	AG-910-D18 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902574245	AG-910-D17 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902574255	AG-422-M08 assembly for uncultured prokaryote	PRJEB33281
GCA_902574265	AG-910-D14 assembly for uncultured prokaryote	PRJEB33281
GCA_902574275	AG-910-D11 assembly for uncultured prokaryote	PRJEB33281
GCA_902574285	AG-910-D13 assembly for uncultured prokaryote	PRJEB33281
GCA_902574295	AG-422-M10 assembly for uncultured prokaryote	PRJEB33281
GCA_902574335	AG-422-M18 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902574345	AG-422-M11 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902574355	AG-422-M05 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902574365	AG-910-D22 assembly for uncultured SAR116 cluster alpha proteobacterium	PRJEB33281
GCA_902574495	AG-422-N02 assembly for uncultured prokaryote	PRJEB33281
GCA_902574505	AG-910-E06 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902574515	AG-910-E04 assembly for uncultured prokaryote	PRJEB33281
GCA_902574525	AG-422-N07 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902574535	AG-422-N08 assembly for uncultured prokaryote	PRJEB33281
GCA_902574545	AG-910-E10 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902574555	AG-910-E09 assembly for uncultured prokaryote	PRJEB33281
GCA_902574565	AG-910-E14 assembly for uncultured prokaryote	PRJEB33281
GCA_902574575	AG-422-N10 assembly for uncultured prokaryote	PRJEB33281
GCA_902574585	AG-422-N11 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902574595	AG-910-E13 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902574605	AG-422-N09 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902574615	AG-910-E16 assembly for uncultured prokaryote	PRJEB33281
GCA_902574625	AG-910-E18 assembly for uncultured prokaryote	PRJEB33281
GCA_902574635	AG-422-N16 assembly for uncultured prokaryote	PRJEB33281
GCA_902574645	AG-422-N13 assembly for uncultured prokaryote	PRJEB33281
GCA_902574655	AG-422-N17 assembly for uncultured prokaryote	PRJEB33281
GCA_902574665	AG-910-E22 assembly for uncultured SAR116 cluster alpha proteobacterium	PRJEB33281
GCA_902574675	AG-910-E20 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902574685	AG-910-E21 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902574695	AG-422-N15 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902574705	AG-422-N14 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902574755	AG-910-F04 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902574765	AG-910-E23 assembly for uncultured prokaryote	PRJEB33281
GCA_902574825	AG-422-N19 assembly for uncultured prokaryote	PRJEB33281
GCA_902574835	AG-422-N20 assembly for uncultured Candidatus Poseidoniales archaeon	PRJEB33281
GCA_902574845	AG-422-O02 assembly for uncultured prokaryote	PRJEB33281
GCA_902574855	AG-910-F14 assembly for uncultured prokaryote	PRJEB33281
GCA_902574865	AG-910-F15 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902574885	AG-910-F23 assembly for uncultured prokaryote	PRJEB33281
GCA_902574895	AG-910-F11 assembly for uncultured prokaryote	PRJEB33281
GCA_902574905	AG-910-F17 assembly for uncultured prokaryote	PRJEB33281
GCA_902574925	AG-422-O07 assembly for uncultured prokaryote	PRJEB33281
GCA_902574955	AG-422-O15 assembly for uncultured Synechococcaceae cyanobacterium	PRJEB33281
GCA_902575005	AG-422-O17 assembly for uncultured prokaryote	PRJEB33281
GCA_902575015	AG-422-O20 assembly for uncultured prokaryote	PRJEB33281
GCA_902575025	AG-422-P02 assembly for uncultured prokaryote	PRJEB33281
GCA_902575045	AG-910-G10 assembly for uncultured prokaryote	PRJEB33281
GCA_902575055	AG-910-G13 assembly for uncultured prokaryote	PRJEB33281
GCA_902575145	AG-422-P14 assembly for uncultured prokaryote	PRJEB33281
GCA_902575315	AG-910-G23 assembly for uncultured prokaryote	PRJEB33281
GCA_902575405	AG-910-I09 assembly for uncultured prokaryote	PRJEB33281
