campaign	tool	tool_label	threads	repeat	input_set	cache	n_genomes	n_output_rows	wall_clock_s	peak_rss_gb	max_rss_kb	pct_cpu	user_s	sys_s	fs_inputs	fs_outputs	major_faults	minor_faults	loadavg_1min_before	loadavg_5min_before	loadavg_15min_before	loadavg_1min_after	sum_pcpu_all_processes_before	nproc	mem_available_kb_before	mem_available_kb_after	vmstat_before	vmstat_after	code_root	model	t_start_utc	t_end_utc	return_code	cell_file
WS11.T-v0.3.3	magicc_v033	MAGICC v0.3.3 (released path, model SHA256 verified each run)	32	3	set_E_100	warm	100	100	2.5	0.4175	437824	1091.0	22.81	4.52	0	488	15	850972	0.89	1.75	1.69	0.9	103.4	48	908606984	907906712	0 0 0 252837224 3411844 657794972 0 0 0 0 580 689 0 0 100 0 0 0	0 0 0 252188776 3411876 657794996 0 0 0 0 1162 920 0 0 100 0 0 0	magicc 0.3.3 from PyPI in envs/magicc_v033_rel	(default resolution, SHA256 verified every run)	2026-08-28T15:45:42Z	2026-08-28T15:45:45Z	0	/media/Data_1/tianrm/projects/magicc2/results/revision/speed_v033/runs/magicc_v033__t32__set_E_100__warm__r3.json
WS11.T-v0.3.3	magicc_v033_xmodel	MAGICC v0.3.3 (explicit --model, verification bypassed)	32	1	set_E_100	warm	100	100	2.1	0.4153	435468	1283.0	22.74	4.29	0	488	0	854073	1.02	2.17	1.51	3.5	3.4	48	908053468	908160740	0 0 0 252316808 3409932 657776376 0 0 0 0 610 736 0 0 100 0 0 0	1 0 0 252498112 3409964 657776400 0 0 0 20 653 768 0 0 100 0 0 0	magicc 0.3.3 from PyPI in envs/magicc_v033_rel	/home/tianrm/.magicc/magicc_v5.onnx (explicit --model, NOT verified)	2026-08-28T15:33:51Z	2026-08-28T15:33:54Z	0	/media/Data_1/tianrm/projects/magicc2/results/revision/speed_v033/runs/magicc_v033_xmodel__t32__set_E_100__warm__r1.json
WS11.T-v0.3.3	magicc_v033_xmodel	MAGICC v0.3.3 (explicit --model, verification bypassed)	32	2	set_E_100	warm	100	100	2.09	0.4152	435408	1280.0	22.48	4.36	0	480	0	849694	1.55	2.08	1.72	1.5	3.4	48	907946820	907898660	0 0 0 252224924 3410920 657791832 0 0 0 0 583 753 0 0 100 0 0 0	1 0 0 252207684 3410956 657791828 0 0 0 0 535 803 0 0 100 0 0 0	magicc 0.3.3 from PyPI in envs/magicc_v033_rel	/home/tianrm/.magicc/magicc_v5.onnx (explicit --model, NOT verified)	2026-08-28T15:40:19Z	2026-08-28T15:40:21Z	0	/media/Data_1/tianrm/projects/magicc2/results/revision/speed_v033/runs/magicc_v033_xmodel__t32__set_E_100__warm__r2.json
WS11.T-v0.3.3	magicc_v033_xmodel	MAGICC v0.3.3 (explicit --model, verification bypassed)	32	3	set_E_100	warm	100	100	2.04	0.4177	438024	1306.0	22.29	4.38	0	480	0	842073	0.9	1.74	1.69	3.47	3.4	48	908012956	907819656	0 0 0 252262168 3411876 657795000 0 0 0 0 605 774 0 0 100 0 0 0	0 0 0 252078984 3411912 657795024 0 0 0 0 568 795 0 0 100 0 0 0	magicc 0.3.3 from PyPI in envs/magicc_v033_rel	/home/tianrm/.magicc/magicc_v5.onnx (explicit --model, NOT verified)	2026-08-28T15:45:47Z	2026-08-28T15:45:49Z	0	/media/Data_1/tianrm/projects/magicc2/results/revision/speed_v033/runs/magicc_v033_xmodel__t32__set_E_100__warm__r3.json
WS11.T-v0.3.3	magicc_v033	MAGICC v0.3.3 (released path, model SHA256 verified each run)	1	1	set_E_full	warm	1000	1000	50.51	0.7171	751976	100.0	47.64	2.86	0	592	0	917330	1.4	2.65	1.32	1.6	3.4	48	910640956	910677844	0 0 0 254854340 3409048 657775292 0 0 0 4 835 1162 0 0 100 0 0 0	0 0 0 254892352 3409172 657775344 0 0 0 0 670 913 0 0 100 0 0 0	magicc 0.3.3 from PyPI in envs/magicc_v033_rel	(default resolution, SHA256 verified every run)	2026-08-28T15:28:57Z	2026-08-28T15:29:48Z	0	/media/Data_1/tianrm/projects/magicc2/results/revision/speed_v033/runs/magicc_v033__t1__set_E_full__warm__r1.json
WS11.T-v0.3.3	magicc_v033	MAGICC v0.3.3 (released path, model SHA256 verified each run)	1	2	set_E_full	warm	1000	1000	49.91	0.7178	752720	100.0	47.2	2.76	0	1904	0	901160	1.43	2.22	1.58	1.18	3.4	48	910541592	910611928	0 0 0 254754964 3410092 657777244 0 0 0 884 748 817 0 0 100 0 0 0	0 0 0 254821188 3410176 657777132 0 0 0 0 510 770 0 0 100 0 0 0	magicc 0.3.3 from PyPI in envs/magicc_v033_rel	(default resolution, SHA256 verified every run)	2026-08-28T15:34:56Z	2026-08-28T15:35:46Z	0	/media/Data_1/tianrm/projects/magicc2/results/revision/speed_v033/runs/magicc_v033__t1__set_E_full__warm__r2.json
WS11.T-v0.3.3	magicc_v033	MAGICC v0.3.3 (released path, model SHA256 verified each run)	1	3	set_E_full	warm	1000	1000	49.73	0.7178	752684	100.0	46.97	2.77	0	1904	0	928653	1.07	1.9	1.67	1.12	3.4	48	910140348	910453484	0 0 0 254366248 3411012 657791880 0 0 0 0 634 848 0 0 100 0 0 0	0 0 0 254646288 3411104 657791792 0 0 0 0 539 737 0 0 100 0 0 0	magicc 0.3.3 from PyPI in envs/magicc_v033_rel	(default resolution, SHA256 verified every run)	2026-08-28T15:40:53Z	2026-08-28T15:41:43Z	0	/media/Data_1/tianrm/projects/magicc2/results/revision/speed_v033/runs/magicc_v033__t1__set_E_full__warm__r3.json
WS11.T-v0.3.3	magicc_v033_xmodel	MAGICC v0.3.3 (explicit --model, verification bypassed)	1	1	set_E_full	warm	1000	1000	49.3	0.7169	751768	99.0	46.51	2.75	0	424	0	909999	1.47	2.45	1.32	1.52	3.4	48	910675500	910663184	1 0 0 254891508 3409176 657775352 0 0 0 0 1039 1279 1 0 99 0 0 0	1 0 0 254873340 3409292 657775760 0 0 0 0 844 1021 0 0 100 0 0 0	magicc 0.3.3 from PyPI in envs/magicc_v033_rel	/home/tianrm/.magicc/magicc_v5.onnx (explicit --model, NOT verified)	2026-08-28T15:29:50Z	2026-08-28T15:30:39Z	0	/media/Data_1/tianrm/projects/magicc2/results/revision/speed_v033/runs/magicc_v033_xmodel__t1__set_E_full__warm__r1.json
WS11.T-v0.3.3	magicc_v033_xmodel	MAGICC v0.3.3 (explicit --model, verification bypassed)	1	2	set_E_full	warm	1000	1000	48.85	0.7174	752228	99.0	46.13	2.68	0	424	0	920512	1.18	2.03	1.55	1.12	103.4	48	910613088	910713804	0 0 0 254822152 3410176 657777136 0 0 0 0 548 729 0 0 100 0 0 0	0 0 0 254924872 3410264 657777172 0 0 0 20 659 876 0 0 100 0 0 0	magicc 0.3.3 from PyPI in envs/magicc_v033_rel	/home/tianrm/.magicc/magicc_v5.onnx (explicit --model, NOT verified)	2026-08-28T15:35:48Z	2026-08-28T15:36:37Z	0	/media/Data_1/tianrm/projects/magicc2/results/revision/speed_v033/runs/magicc_v033_xmodel__t1__set_E_full__warm__r2.json
WS11.T-v0.3.3	magicc_v033_xmodel	MAGICC v0.3.3 (explicit --model, verification bypassed)	1	3	set_E_full	warm	1000	1000	49.36	0.7178	752696	99.0	46.65	2.64	0	424	0	906771	1.12	1.76	1.63	1.09	3.4	48	910459416	910578896	0 0 0 254665552 3411104 657791796 0 0 0 0 645 912 0 0 100 0 0 0	0 0 0 254774048 3411212 657793452 0 0 0 0 632 785 0 0 100 0 0 0	magicc 0.3.3 from PyPI in envs/magicc_v033_rel	/home/tianrm/.magicc/magicc_v5.onnx (explicit --model, NOT verified)	2026-08-28T15:41:45Z	2026-08-28T15:42:35Z	0	/media/Data_1/tianrm/projects/magicc2/results/revision/speed_v033/runs/magicc_v033_xmodel__t1__set_E_full__warm__r3.json
