comparator	error_type	error_rate	error_rate_pct	metric	n_pairs	mae_magicc	mae_comparator	delta_mae	delta_mae_ci_lo	delta_mae_ci_hi	hl	hl_ci_lo	hl_ci_hi	cliffs_delta	cliffs_ci_lo	cliffs_ci_hi	p_wilcoxon	winner	q_bh
cocopye	substitution_titv	0.01	1.0	contamination	80	3.2806	7.774	-4.4934	-5.928	-2.9018	-4.706	-5.87	-3.4567	-0.6472	-0.79	-0.4825	9.639593229385578e-10	MAGICC	4.3378169532235105e-09
cocopye	substitution_titv	0.02	2.0	completeness	80	6.7038	4.6369	2.0669	0.3843	3.8185	1.8255	0.3541	3.3246	0.2056	0.0297	0.3878	0.019502091936780735	cocopye	0.03155394650445422
cocopye	substitution_titv	0.02	2.0	contamination	80	4.4807	13.1142	-8.6335	-10.4077	-6.762	-9.0647	-10.623	-7.3434	-0.7753	-0.8744	-0.6615	1.1094076412462295e-11	MAGICC	7.261577288157139e-11
cocopye	substitution_titv	0.05	5.0	completeness	80	11.7631	5.9497	5.8134	3.4948	8.133	5.6392	3.0827	7.9998	0.4753	0.3025	0.636	1.5166855696095654e-05	cocopye	4.4571984086485183e-05
cocopye	substitution_titv	0.05	5.0	contamination	80	8.2601	25.8756	-17.6155	-20.3309	-14.9586	-18.2324	-20.9037	-15.731	-0.8	-0.8878	-0.7019	4.1070363594330403e-13	MAGICC	3.4789013868138695e-12
cocopye	indel	0.001	0.1	completeness	80	4.3846	5.1364	-0.7518	-2.3025	0.8558	-1.0985	-2.2021	-0.0012	-0.1812	-0.3332	-0.0253	0.04760623440247638	tie	0.06855297753956599
cocopye	indel	0.001	0.1	contamination	80	2.768	22.5028	-19.7348	-21.8937	-17.4236	-19.7495	-21.9415	-17.6192	-0.955	-0.9944	-0.895	2.164041722900925e-14	MAGICC	2.59685006748111e-13
cocopye	indel	0.005	0.5	completeness	80	4.455	5.216	-0.761	-2.3762	0.9218	-0.7029	-1.9393	0.4959	-0.1516	-0.3072	0.0069	0.2195034617926629	tie	0.2820228409608446
cocopye	indel	0.005	0.5	contamination	80	2.8091	87.5243	-84.7153	-90.4273	-79.0056	-84.0463	-89.8398	-78.2777	-0.9997	-1.0	-0.9981	7.849526548031477e-15	MAGICC	1.4610454208430028e-13
cocopye	indel	0.01	1.0	completeness	80	4.9695	5.4598	-0.4903	-2.1913	1.3298	-0.4882	-1.6808	0.7956	-0.0675	-0.2419	0.1203	0.4927956770415183	tie	0.5677006199518291
cocopye	indel	0.01	1.0	contamination	80	3.0267	126.0688	-123.0421	-131.0897	-114.5897	-122.0161	-130.43	-113.3055	-1.0	-1.0	-1.0	7.849526548031477e-15	MAGICC	1.4610454208430028e-13
cocopye	indel	0.02	2.0	completeness	80	6.8624	6.1147	0.7477	-1.2153	2.6958	1.071	-0.8244	2.6101	0.0887	-0.1057	0.2666	0.24968742625168028	tie	0.30711760496236323
cocopye	indel	0.02	2.0	contamination	80	3.6006	143.2029	-139.6024	-150.2488	-129.3407	-137.7847	-147.95	-126.9617	-1.0	-1.0	-1.0	7.849526548031477e-15	MAGICC	1.4610454208430028e-13
cocopye	indel	0.05	5.0	completeness	80	11.9271	15.3063	-3.3792	-5.9811	-1.0105	-2.784	-5.1751	-0.3028	-0.2162	-0.3763	-0.0594	0.022428442045049863	MAGICC	0.03588550727207978
cocopye	indel	0.05	5.0	contamination	80	5.8123	77.8915	-72.0792	-78.9771	-64.8165	-71.6271	-78.5538	-64.3557	-0.9894	-1.0	-0.9703	8.152358880315246e-15	MAGICC	1.4610454208430028e-13
cocopye	chimera	0.05	5.0	completeness	80	4.3977	4.3804	0.0173	-1.5371	1.6302	-0.2245	-1.2268	0.5998	-0.0872	-0.2394	0.0707	0.6764758201211145	tie	0.7269590902794066
cocopye	chimera	0.05	5.0	contamination	80	2.7212	2.8622	-0.1409	-0.9419	0.6961	-0.076	-0.6743	0.4549	-0.0369	-0.1909	0.1228	0.7406869244248507	tie	0.7710865778049087
cocopye	chimera	0.1	10.0	completeness	80	4.3974	4.3812	0.0162	-1.4754	1.5591	-0.2233	-1.1835	0.6107	-0.0872	-0.2422	0.0716	0.6764758201211145	tie	0.7269590902794066
cocopye	chimera	0.1	10.0	contamination	80	2.7232	2.8603	-0.137	-0.9626	0.7221	-0.0765	-0.6715	0.4687	-0.0356	-0.1972	0.1231	0.7698481574539583	tie	0.7918438190955
cocopye	chimera	0.2	20.0	completeness	80	4.3964	4.378	0.0184	-1.4991	1.5313	-0.2283	-1.222	0.5472	-0.0872	-0.2429	0.061	0.669474337917499	tie	0.7269590902794066
cocopye	chimera	0.2	20.0	contamination	80	2.7221	2.8756	-0.1536	-0.9542	0.772	-0.085	-0.7179	0.4448	-0.0416	-0.2075	0.1219	0.7226455899534855	tie	0.7708219626170512
cocopye	chimera	0.4	40.0	completeness	80	4.3978	4.3813	0.0166	-1.4508	1.5915	-0.2266	-1.227	0.5937	-0.0878	-0.246	0.0684	0.669474337917499	tie	0.7269590902794066
cocopye	chimera	0.4	40.0	contamination	80	2.7205	2.8653	-0.1448	-1.0049	0.7272	-0.0811	-0.7238	0.4132	-0.0419	-0.2006	0.1172	0.7334526227537799	tie	0.7710865778049087
cocopye	uneven_coverage	0.05	5.0	completeness	80	5.3731	4.4443	0.9289	-0.506	2.3881	0.7282	-0.1369	1.7921	0.0947	-0.0469	0.2344	0.10705935484967961	tie	0.1440798794238679
cocopye	uneven_coverage	0.05	5.0	contamination	80	2.9839	4.8304	-1.8465	-3.0178	-0.6106	-1.9233	-3.0963	-0.8492	-0.3463	-0.5138	-0.1684	0.0005064752419251877	MAGICC	0.0011956136858561808
cocopye	uneven_coverage	0.1	10.0	completeness	80	7.6702	4.8822	2.7881	1.2529	4.1735	2.903	1.7992	4.1119	0.2869	0.1512	0.4278	8.74195698473709e-06	cocopye	2.797426235115869e-05
cocopye	uneven_coverage	0.1	10.0	contamination	80	4.2801	8.5796	-4.2995	-6.0978	-2.4491	-4.3987	-6.0552	-2.6531	-0.4684	-0.6213	-0.2969	2.3335360787429625e-05	MAGICC	6.588807751744836e-05
cocopye	uneven_coverage	0.2	20.0	completeness	80	12.167	5.1648	7.0023	5.3295	8.6486	7.0746	5.5551	8.5847	0.5884	0.4619	0.7141	1.5453104702820396e-11	cocopye	9.674987292200595e-11
cocopye	uneven_coverage	0.2	20.0	contamination	80	7.9134	14.7161	-6.8027	-9.7359	-3.7697	-7.1109	-9.7468	-4.2559	-0.4675	-0.6106	-0.3159	2.236015745810491e-05	MAGICC	6.439725347934214e-05
cocopye	uneven_coverage	0.4	40.0	completeness	80	15.9854	4.8909	11.0945	8.7053	13.3541	11.3711	8.8672	13.7655	0.6959	0.5715	0.806	3.076587157277276e-11	cocopye	1.8459522943663656e-10
cocopye	uneven_coverage	0.4	40.0	contamination	80	19.3299	32.5681	-13.2382	-17.3452	-9.0485	-14.0633	-18.5748	-9.7107	-0.4409	-0.5831	-0.294	1.0993246222695209e-07	MAGICC	4.3972984890780837e-07
cocopye	none	0.0	0.0	completeness	80	4.3977	4.3803	0.0174	-1.4163	1.5525	-0.223	-1.152	0.5522	-0.0866	-0.2372	0.0694	0.6764758201211145	tie	0.7269590902794066
cocopye	none	0.0	0.0	contamination	80	2.7213	2.8628	-0.1414	-0.9407	0.6793	-0.0764	-0.6971	0.4153	-0.0366	-0.1969	0.1247	0.7443127382977939	tie	0.7710865778049087
deepcheck	substitution	0.001	0.1	completeness	80	4.3669	5.9065	-1.5396	-3.1017	0.0996	-1.4507	-2.6546	-0.3877	-0.2872	-0.4472	-0.1306	0.012974197441274699	tie	0.02250945098245249
deepcheck	substitution	0.001	0.1	contamination	80	2.7632	5.1557	-2.3925	-3.7815	-1.0328	-1.4512	-2.9248	-0.4671	-0.2094	-0.3641	-0.0413	0.0017363434251047888	MAGICC	0.003676962547280729
deepcheck	substitution	0.005	0.5	completeness	80	4.4721	6.81	-2.3379	-4.0381	-0.6835	-2.4491	-4.0931	-0.8384	-0.3103	-0.4909	-0.1275	0.0036543844567481026	MAGICC	0.0069240968654174576
deepcheck	substitution	0.005	0.5	contamination	80	2.9214	4.9039	-1.9825	-3.3615	-0.6749	-1.077	-2.2758	-0.2938	-0.1691	-0.3241	-0.0172	0.006828260156612508	MAGICC	0.012290868281902515
deepcheck	substitution	0.01	1.0	completeness	80	4.8777	9.3315	-4.4539	-6.3264	-2.5632	-5.0749	-6.7468	-3.0592	-0.5175	-0.6675	-0.3525	6.985786769022115e-06	MAGICC	2.2862574880436016e-05
deepcheck	substitution	0.01	1.0	contamination	80	3.3383	4.8854	-1.5471	-2.9701	-0.1573	-1.1324	-2.2068	-0.2598	-0.1984	-0.3563	-0.0425	0.01280046131962838	MAGICC	0.022478858902762033
deepcheck	substitution	0.02	2.0	completeness	80	6.9084	15.4153	-8.5069	-10.6382	-6.1931	-8.5595	-10.4561	-6.5841	-0.6128	-0.7353	-0.4731	3.991531722498764e-10	MAGICC	1.9159352267994066e-09
deepcheck	substitution	0.02	2.0	contamination	80	4.6783	5.0827	-0.4043	-1.8683	1.0461	-0.3207	-1.4557	0.6592	-0.0616	-0.2056	0.0869	0.5111221834847101	tie	0.5841396382682401
deepcheck	substitution	0.05	5.0	completeness	80	12.1845	33.2851	-21.1007	-24.0714	-18.377	-21.1097	-23.8321	-18.3867	-0.8309	-0.9084	-0.7465	6.793508319745993e-14	MAGICC	6.987608557453021e-13
deepcheck	substitution	0.05	5.0	contamination	80	7.878	5.3869	2.4912	0.7068	4.2652	2.0299	0.5825	3.9789	0.2341	0.0793	0.3959	0.006443967658948161	deepcheck	0.01174596636567766
deepcheck	substitution_titv	0.001	0.1	completeness	80	4.3639	5.9327	-1.5687	-3.2203	0.044	-1.3816	-2.7202	-0.3163	-0.2975	-0.4485	-0.1403	0.01196230076078925	tie	0.02126631246362533
deepcheck	substitution_titv	0.001	0.1	contamination	80	2.7646	5.1292	-2.3646	-3.8661	-1.0746	-1.4663	-3.0476	-0.4966	-0.1894	-0.3544	-0.0234	0.0021091221490497085	MAGICC	0.0042776561896219435
deepcheck	substitution_titv	0.005	0.5	completeness	80	4.4548	6.0811	-1.6262	-3.248	0.0627	-1.708	-3.1109	-0.4423	-0.2909	-0.4581	-0.1209	0.013327938554541759	tie	0.02284789466492873
deepcheck	substitution_titv	0.005	0.5	contamination	80	3.1288	5.0546	-1.9258	-3.3659	-0.4661	-1.2432	-2.5303	-0.4242	-0.1862	-0.3444	-0.029	0.004191429781609781	MAGICC	0.0077380242122026726
deepcheck	substitution_titv	0.01	1.0	completeness	80	5.039	7.8457	-2.8067	-4.3542	-1.154	-3.3037	-4.7599	-1.8518	-0.3922	-0.5497	-0.2266	0.00021735845118841607	MAGICC	0.0005396485684677916
deepcheck	substitution_titv	0.01	1.0	contamination	80	3.2806	4.7592	-1.4787	-2.8567	-0.0514	-0.853	-1.8315	-0.0831	-0.1041	-0.2716	0.0616	0.02908661188036585	MAGICC	0.04552687076926829
deepcheck	substitution_titv	0.02	2.0	completeness	80	6.7038	12.2107	-5.5069	-7.4256	-3.5216	-5.4278	-7.1943	-3.8109	-0.4978	-0.6422	-0.3487	1.246853829930644e-08	MAGICC	5.280792691470963e-08
deepcheck	substitution_titv	0.02	2.0	contamination	80	4.4807	5.0702	-0.5895	-2.1156	0.9657	-0.3671	-1.5583	0.7069	-0.0525	-0.2216	0.1101	0.529798509610433	tie	0.6007164203456878
deepcheck	substitution_titv	0.05	5.0	completeness	80	11.7631	25.6691	-13.9059	-16.3566	-11.4644	-14.2582	-16.4752	-11.5379	-0.6516	-0.7588	-0.539	8.017437900496021e-13	MAGICC	6.076373987744353e-12
deepcheck	substitution_titv	0.05	5.0	contamination	80	8.2601	4.9822	3.2779	1.436	5.1755	2.6668	1.0453	4.502	0.3063	0.1428	0.4653	0.001185732392618692	deepcheck	0.002626853300570641
deepcheck	indel	0.001	0.1	completeness	80	4.3846	18.0008	-13.6161	-15.9056	-11.2061	-13.9093	-16.0605	-11.7288	-0.7994	-0.8981	-0.6878	1.059971539973373e-12	MAGICC	7.631795087808286e-12
deepcheck	indel	0.001	0.1	contamination	80	2.768	5.1187	-2.3508	-3.6102	-1.0686	-1.8449	-3.0526	-0.9034	-0.3856	-0.5272	-0.2372	7.004817501815405e-05	MAGICC	0.0001833988582293488
deepcheck	indel	0.005	0.5	completeness	80	4.455	48.7802	-44.3253	-47.2983	-41.2848	-44.5596	-47.4341	-41.763	-0.99	-1.0	-0.9709	8.466682565197592e-15	MAGICC	1.4610454208430028e-13
deepcheck	indel	0.005	0.5	contamination	80	2.8091	6.216	-3.4069	-4.8804	-1.9824	-2.6395	-4.4855	-1.4777	-0.3906	-0.5388	-0.2378	2.7218029409540734e-06	MAGICC	1.0314200618352277e-05
deepcheck	indel	0.01	1.0	completeness	80	4.9695	54.6099	-49.6403	-52.7242	-46.7169	-49.5417	-52.9789	-46.6149	-0.9969	-1.0	-0.9906	7.849526548031477e-15	MAGICC	1.4610454208430028e-13
deepcheck	indel	0.01	1.0	contamination	80	3.0267	6.5583	-3.5316	-5.0196	-2.0629	-2.7057	-4.5835	-1.4985	-0.3806	-0.5409	-0.2159	4.431465474249358e-06	MAGICC	1.5564171421753842e-05
deepcheck	indel	0.02	2.0	completeness	80	6.8624	46.4932	-39.6308	-43.4887	-35.9453	-39.7831	-43.864	-35.6183	-0.9728	-0.9959	-0.9413	8.466682565197592e-15	MAGICC	1.4610454208430028e-13
