tool	error_type	error_rate	error_rate_pct	metric	n_pairs	delta_mae	delta_mae_ci_lo	delta_mae_ci_hi	delta_mae_hl	delta_mae_hl_ci_lo	delta_mae_hl_ci_hi	delta_signed_bias	delta_signed_bias_ci_lo	delta_signed_bias_ci_hi	p_wilcoxon	q_bh
magicc_v5	uneven_coverage	0.1	10.0	completeness	80	3.2725	1.9225	4.6313	3.4886	1.8517	4.6964	5.7897	4.6304	6.872	1.1159201038181988e-05	3.733259983682701e-05
magicc_v5	uneven_coverage	0.1	10.0	contamination	80	1.5588	0.795	2.4161	0.4786	0.0653	1.4399	1.6862	0.8297	2.5776	0.014829599754413175	0.03210172182131793
magicc_v5	uneven_coverage	0.2	20.0	completeness	80	7.7693	5.8258	9.6184	8.1569	6.4356	10.2535	9.0453	6.8377	11.0491	1.1892072798874606e-09	5.610618961520327e-09
magicc_v5	uneven_coverage	0.2	20.0	contamination	80	5.192	3.1563	7.6087	1.687	0.4902	4.1365	5.6403	3.5154	8.116	8.224860946721734e-05	0.00025222906903279985
magicc_v5	uneven_coverage	0.4	40.0	completeness	80	11.5877	8.7882	14.1	12.3705	9.427	14.8641	11.8765	8.6026	15.079	2.756054758148015e-10	1.370578582430364e-09
magicc_v5	uneven_coverage	0.4	40.0	contamination	80	16.6085	12.5402	20.6596	16.3767	9.0924	20.7749	17.4714	13.3431	21.6108	4.255572532332139e-11	2.3728040786336776e-10
checkm2	substitution	0.001	0.1	completeness	80	0.0443	-0.2895	0.3766	0.05	-0.225	0.345	-0.895	-1.1663	-0.631	0.5992156095744063	0.6703362076169058
checkm2	substitution	0.001	0.1	contamination	80	-0.0205	-0.1436	0.1053	-0.06	-0.14	0.015	0.2931	0.171	0.4406	0.13154447352870188	0.21231739587088727
checkm2	substitution	0.005	0.5	completeness	80	1.4227	0.4474	2.379	1.525	0.5199	2.5801	-3.8565	-4.5835	-3.1588	0.005208603213305983	0.012951121503355418
checkm2	substitution	0.005	0.5	contamination	80	-0.2431	-0.5269	0.0475	-0.235	-0.53	0.0654	0.9146	0.6866	1.1463	0.11784992020383804	0.19189721519916988
checkm2	substitution	0.01	1.0	completeness	80	3.6272	2.1503	5.0326	3.6426	2.0945	5.3102	-7.3346	-8.4352	-6.2812	1.3645332485780506e-05	4.404809083129145e-05
checkm2	substitution	0.01	1.0	contamination	80	0.0529	-0.4299	0.5335	0.125	-0.3326	0.6201	1.2465	0.8087	1.649	0.582884897389724	0.666154168445399
checkm2	substitution	0.02	2.0	completeness	80	9.4329	6.9446	11.9132	9.8402	7.0146	12.3273	-15.8339	-17.3936	-14.2654	1.2823771408805734e-08	5.7550583883420854e-08
checkm2	substitution	0.02	2.0	contamination	80	0.1458	-0.4276	0.6715	0.1377	-0.47	0.7201	1.3914	0.828	1.9214	0.6520969440692355	0.7016715655481832
checkm2	substitution	0.05	5.0	completeness	80	25.9593	22.45	29.2175	26.6885	23.605	30.1337	-33.7279	-35.8749	-31.5401	5.453447411901581e-14	5.574635132166061e-13
checkm2	substitution	0.05	5.0	contamination	80	0.6148	0.0018	1.2085	0.43	-0.025	0.9176	-0.3559	-1.1966	0.3956	0.07208034958424984	0.1251206068254903
checkm2	substitution_titv	0.001	0.1	completeness	80	0.2233	-0.0602	0.536	0.11	-0.07	0.385	-0.4969	-0.7478	-0.208	0.2757820065438812	0.3873579328555278
checkm2	substitution_titv	0.001	0.1	contamination	80	-0.1161	-0.2491	0.0049	-0.055	-0.1226	-0.0	0.2274	0.1072	0.3571	0.045097236154589077	0.08215734111331079
checkm2	substitution_titv	0.005	0.5	completeness	80	0.4487	-0.3366	1.2148	0.489	-0.37	1.2701	-2.868	-3.4419	-2.2844	0.23425114192063823	0.34208103264601136
checkm2	substitution_titv	0.005	0.5	contamination	80	-0.1401	-0.3775	0.1115	-0.125	-0.315	0.075	0.62	0.3389	0.8655	0.17164168481315	0.269932222270253
checkm2	substitution_titv	0.01	1.0	completeness	80	1.9849	0.7552	3.1611	1.9544	0.7736	3.2899	-5.9021	-6.7603	-5.0387	0.004185621507956277	0.010550059691287054
checkm2	substitution_titv	0.01	1.0	contamination	80	-0.0813	-0.4323	0.2967	-0.185	-0.56	0.235	1.1964	0.859	1.534	0.3596192445663675	0.4760427410087167
checkm2	substitution_titv	0.02	2.0	completeness	80	6.3632	4.4158	8.3333	6.8188	4.6228	8.8951	-11.8362	-13.1431	-10.4393	2.5880781379304554e-07	1.0822872213163722e-06
checkm2	substitution_titv	0.02	2.0	contamination	80	0.3199	-0.1857	0.851	0.135	-0.3902	0.6951	1.3087	0.8111	1.7753	0.5994476697541633	0.6703362076169058
checkm2	substitution_titv	0.05	5.0	completeness	80	18.7891	15.3274	22.3339	19.9951	16.8081	23.0492	-26.4401	-28.5058	-24.413	1.353827933338707e-11	8.30347799114407e-11
checkm2	substitution_titv	0.05	5.0	contamination	80	0.4129	-0.1844	0.9909	0.285	-0.1702	0.775	-0.0411	-0.7932	0.6306	0.22495307987410784	0.33188334933025304
checkm2	indel	0.001	0.1	completeness	80	10.1404	7.5053	12.6892	11.307	8.5554	13.56	-17.3496	-18.685	-16.0081	1.7933282634615113e-08	7.856485725640906e-08
checkm2	indel	0.001	0.1	contamination	80	0.2052	-0.3499	0.7609	0.21	-0.2225	0.6926	1.1056	0.4647	1.6767	0.36340273256525135	0.47761501994290173
checkm2	indel	0.005	0.5	completeness	80	39.1235	35.7402	42.7058	39.4738	36.1366	43.2893	-46.8921	-49.374	-44.5196	8.792926151362765e-15	1.6178984118507488e-13
checkm2	indel	0.005	0.5	contamination	80	1.7977	0.9928	2.6676	1.225	0.58	1.965	-0.1035	-1.2539	1.0693	0.0003558299576214108	0.001007272495420609
checkm2	indel	0.01	1.0	completeness	80	41.4676	37.2256	45.4498	42.2514	37.7225	46.3871	-49.2362	-52.3899	-46.0501	1.0619072426644935e-14	1.6282577720855566e-13
checkm2	indel	0.01	1.0	contamination	80	1.9575	0.9256	3.1309	1.4525	0.61	2.48	1.3281	-0.0227	2.6786	0.0005727725271222852	0.0015968203786439466
checkm2	indel	0.02	2.0	completeness	80	44.7678	39.8279	49.959	46.094	41.2915	51.045	-52.2784	-56.2665	-48.1457	2.0085732876088696e-14	2.4638498994668803e-13
checkm2	indel	0.02	2.0	contamination	80	2.8293	1.734	4.0144	2.4471	1.38	3.3745	3.9591	2.7167	5.2417	6.753210649403994e-06	2.3895976144044902e-05
checkm2	indel	0.05	5.0	completeness	80	49.5235	43.2014	55.2653	51.1907	44.1026	56.8696	-56.9666	-61.9102	-52.0947	2.7049761317164137e-14	3.110722551473876e-13
checkm2	indel	0.05	5.0	contamination	80	2.8973	1.8231	4.0454	2.11	1.14	3.5001	3.205	1.8866	4.4178	7.1449280150488345e-06	2.4805033108848783e-05
checkm2	chimera	0.05	5.0	completeness	80	0.005	-0.0338	0.0496	0.0	0.0	0.0	0.0083	-0.0309	0.0512	0.8274210393774797	0.8601439053415608
checkm2	chimera	0.05	5.0	contamination	80	-0.0045	-0.0128	0.0013	0.0	0.0	0.0	0.004	-0.002	0.0121	0.24886387493792206	0.35774182022326295
checkm2	chimera	0.1	10.0	completeness	80	0.0113	-0.0121	0.038	0.0	0.0	0.0	-0.001	-0.0271	0.026	0.8162218955008083	0.8533228907508449
checkm2	chimera	0.1	10.0	contamination	80	-0.0015	-0.0116	0.0076	0.0	0.0	0.0	0.006	-0.0021	0.0162	0.6378701798979456	0.6944858763385917
checkm2	chimera	0.2	20.0	completeness	80	0.0171	-0.0147	0.0608	0.0	0.0	0.0	0.0017	-0.0328	0.045	0.8510837134165198	0.87485700150078
checkm2	chimera	0.2	20.0	contamination	80	0.0011	-0.0069	0.0093	0.0	0.0	0.0	-0.0014	-0.0093	0.0068	0.5296506700533425	0.6129290772944341
checkm2	chimera	0.4	40.0	completeness	80	0.0704	0.0052	0.1428	0.005	0.0	0.045	-0.0726	-0.1439	-0.0024	0.01753619490813743	0.03666658935337827
checkm2	chimera	0.4	40.0	contamination	80	-0.0074	-0.032	0.0194	0.0	0.0	0.0	0.0016	-0.0256	0.0266	0.5168741847338749	0.6077447773539605
checkm2	uneven_coverage	0.05	5.0	completeness	80	0.1596	-0.1377	0.4657	0.03	-0.06	0.2001	-0.0264	-0.3298	0.2903	0.48125150909299474	0.5864256799543777
checkm2	uneven_coverage	0.05	5.0	contamination	80	0.6006	-0.263	1.4476	0.605	-0.3002	1.5302	4.1237	3.6445	4.6064	0.1855776932625287	0.28455246300254405
checkm2	uneven_coverage	0.1	10.0	completeness	80	0.0077	-0.385	0.4385	-0.12	-0.3256	0.055	-0.0012	-0.4654	0.4829	0.21508072526324118	0.3217467760035478
checkm2	uneven_coverage	0.1	10.0	contamination	80	2.5282	1.1287	3.946	2.745	1.2499	4.5298	8.1291	7.5164	8.8287	0.0006724610176359662	0.0018467586155972804
checkm2	uneven_coverage	0.2	20.0	completeness	80	0.0885	-0.4593	0.6474	0.115	-0.2258	0.5201	-0.5862	-1.3245	0.0988	0.5218677979452486	0.6077447773539605
checkm2	uneven_coverage	0.2	20.0	contamination	80	7.6881	5.4894	9.8724	8.7209	6.0874	11.1001	14.5685	13.4925	15.6902	8.110065028494819e-08	3.470353407541969e-07
checkm2	uneven_coverage	0.4	40.0	completeness	80	0.4122	-0.4374	1.2525	0.1949	-0.3501	0.795	-1.1698	-2.214	-0.2272	0.4283089713582071	0.536114630815715
checkm2	uneven_coverage	0.4	40.0	contamination	80	18.4979	15.6823	21.3617	19.2572	16.4341	21.9142	26.2769	24.6311	27.9368	2.5865340117032173e-13	2.266296467397105e-12
cocopye	substitution	0.001	0.1	completeness	80	-0.1379	-0.3065	0.0206	-0.0365	-0.1595	0.0425	-0.0477	-0.2203	0.1243	0.2912954436281905	0.4060481941483868
cocopye	substitution	0.001	0.1	contamination	80	0.3589	0.0685	0.6339	0.3345	0.0178	0.6404	1.0843	0.8377	1.3123	0.02998345667612933	0.06129951142675331
cocopye	substitution	0.005	0.5	completeness	80	0.3241	0.0006	0.6495	0.2852	-0.0225	0.527	-0.2916	-0.6301	0.0421	0.06755895069898472	0.11838901836774465
cocopye	substitution	0.005	0.5	contamination	80	3.3481	2.5999	4.1511	3.3251	2.577	4.1707	5.0635	4.4325	5.7606	1.2216534315230666e-10	6.42240661143555e-10
cocopye	substitution	0.01	1.0	completeness	80	0.4375	-0.0158	0.8863	0.2812	-0.1235	0.7358	-0.5738	-1.0575	-0.0753	0.1521113863413004	0.24128013005861443
cocopye	substitution	0.01	1.0	contamination	80	7.0049	5.6117	8.3499	7.081	5.6543	8.4493	9.3441	8.2379	10.4016	1.267005656217786e-11	8.03893243945078e-11
cocopye	substitution	0.02	2.0	completeness	80	0.6148	0.1311	1.1404	0.5265	0.0267	1.0316	-0.655	-1.1913	-0.1038	0.034019332829839995	0.06659103447543148
cocopye	substitution	0.02	2.0	contamination	80	14.2699	12.4558	16.2423	14.0003	12.296	15.9623	16.6653	15.0816	18.3869	1.5461621777490535e-14	2.0320988621844703e-13
cocopye	substitution	0.05	5.0	completeness	80	1.7254	0.9239	2.5137	1.5562	0.8119	2.4299	-1.9624	-2.7935	-1.0747	0.00011291873135796637	0.0003406073208174723
cocopye	substitution	0.05	5.0	contamination	80	31.0822	27.7497	34.1425	30.454	27.2308	33.6872	33.4776	30.4853	36.4372	8.152358880315246e-15	1.6178984118507488e-13
cocopye	substitution_titv	0.001	0.1	completeness	80	0.0997	0.0083	0.1973	0.0542	0.0059	0.11	-0.0894	-0.1917	0.0051	0.0316002338422117	0.06331056144700638
cocopye	substitution_titv	0.001	0.1	contamination	80	0.2339	-0.0155	0.4801	0.2035	-0.0437	0.4423	0.7167	0.5244	0.9267	0.09227616798263472	0.1557689441174751
cocopye	substitution_titv	0.005	0.5	completeness	80	0.4026	0.1747	0.6345	0.3416	0.1072	0.5434	-0.1628	-0.4222	0.0941	0.0011467491443935462	0.00310296827306489
cocopye	substitution_titv	0.005	0.5	contamination	80	2.0457	1.3274	2.7714	2.2063	1.4885	2.8326	3.9044	3.4829	4.3382	1.433650428080653e-06	5.61258890993277e-06
cocopye	substitution_titv	0.01	1.0	completeness	80	0.3793	-0.0369	0.8155	0.2802	-0.0764	0.6632	-0.2161	-0.6689	0.2471	0.14575391406331215	0.23320626250129944
cocopye	substitution_titv	0.01	1.0	contamination	80	4.9112	3.8581	5.9614	5.1231	4.063	6.1599	7.0444	6.2925	7.8297	6.676640685754016e-11	3.6132408417021733e-10
cocopye	substitution_titv	0.02	2.0	completeness	80	0.2566	-0.2601	0.7762	0.1712	-0.2377	0.6964	-0.5877	-1.1739	0.0059	0.38749971072430944	0.50567338137073
cocopye	substitution_titv	0.02	2.0	contamination	80	10.2514	8.752	11.8209	10.473	8.9697	12.0968	12.6468	11.5314	13.901	1.2604851526739923e-13	1.2206803583790242e-12
cocopye	substitution_titv	0.05	5.0	completeness	80	1.5694	0.7558	2.3948	1.3634	0.6563	2.0878	-1.8002	-2.6724	-0.9344	0.0002300094388081969	0.0006717735990588608
cocopye	substitution_titv	0.05	5.0	contamination	80	23.0128	20.0673	25.6725	23.1006	20.1135	25.5988	25.4082	22.9661	27.8041	1.2817218330136241e-14	1.8141293636500527e-13
cocopye	indel	0.001	0.1	completeness	80	0.7561	0.1335	1.3917	0.744	0.0977	1.4078	0.545	-0.2104	1.2722	0.017131618248992092	0.036232388020856834
cocopye	indel	0.001	0.1	contamination	80	19.64	17.6564	21.699	19.8149	17.473	21.9333	22.0353	20.2841	23.8621	1.0619072426644935e-14	1.6282577720855566e-13
cocopye	indel	0.005	0.5	completeness	80	0.8356	0.2614	1.4366	0.7041	0.1664	1.2264	1.1201	0.4917	1.7529	0.011327187069199978	0.02638230912319995
cocopye	indel	0.005	0.5	contamination	80	84.6616	78.8819	90.1303	84.2934	78.495	90.1135	87.0569	81.4841	92.3715	7.849526548031477e-15	1.6178984118507488e-13
cocopye	indel	0.01	1.0	completeness	80	1.0795	0.4704	1.6945	0.9124	0.3364	1.526	0.2399	-0.47	0.9602	0.00272043605567858	0.007050144144293785
cocopye	indel	0.01	1.0	contamination	80	123.206	114.8606	131.3559	122.2915	113.7074	130.9801	125.6014	117.4143	133.5211	7.849526548031477e-15	1.6178984118507488e-13
cocopye	indel	0.02	2.0	completeness	80	1.7344	0.9315	2.5499	1.6046	0.7708	2.4275	-1.8622	-2.7256	-1.0495	0.0002132887216355889	0.0006329858835636832
cocopye	indel	0.02	2.0	contamination	80	140.3402	129.9229	150.1768	137.9181	126.9819	148.361	142.7355	132.3179	152.2943	7.849526548031477e-15	1.6178984118507488e-13
cocopye	indel	0.05	5.0	completeness	80	10.926	9.0463	12.8057	10.9861	8.9745	12.8721	-13.8512	-15.431	-12.2769	8.017437900496021e-13	6.146702390380283e-12
cocopye	indel	0.05	5.0	contamination	80	75.0287	67.8653	82.3352	73.9707	66.774	81.2995	77.424	70.5191	84.5535	7.849526548031477e-15	1.6178984118507488e-13
cocopye	chimera	0.05	5.0	completeness	80	0.0001	0.0	0.0002	0.0	0.0	0.0	0.0001	0.0	0.0002	0.31731050786291415	0.43248246997612
cocopye	chimera	0.05	5.0	contamination	80	-0.0006	-0.0018	0.0	0.0	0.0	0.0	0.0006	0.0	0.0018	0.31731050786291415	0.43248246997612
cocopye	chimera	0.1	10.0	completeness	80	0.0009	-0.0001	0.0022	0.0	0.0	0.0	-0.0001	-0.0012	0.001	0.11585149752593009	0.19032746022117086
cocopye	chimera	0.1	10.0	contamination	80	-0.0025	-0.0084	0.001	0.0	0.0	0.0	-0.0032	-0.0091	0.0003	0.5001842570707944	0.5996902484306886
cocopye	chimera	0.2	20.0	completeness	80	-0.0023	-0.0092	0.0024	0.0	0.0	0.0	-0.003	-0.01	0.0016	0.8589549227374824	0.8780428099094264
cocopye	chimera	0.2	20.0	contamination	80	0.0129	0.0011	0.0303	0.0	0.0	0.0	0.0117	-0.0001	0.0292	0.011718685599768628	0.026952976879467842
cocopye	chimera	0.4	40.0	completeness	80	0.0009	-0.0013	0.0032	0.0	0.0	0.0	-0.0005	-0.0027	0.0018	0.18418074965866182	0.28455246300254405
cocopye	chimera	0.4	40.0	contamination	80	0.0025	-0.0032	0.0087	0.0	0.0	0.0	0.0027	-0.0028	0.0091	0.46911315243545415	0.5832217570819159
cocopye	uneven_coverage	0.05	5.0	completeness	80	0.0639	-0.1549	0.2714	0.1074	-0.0659	0.3113	0.0467	-0.1692	0.273	0.2254642318819654	0.33188334933025304
cocopye	uneven_coverage	0.05	5.0	contamination	80	1.9676	1.2475	2.7334	1.7581	0.9828	2.6188	3.2512	2.5832	3.9328	5.06435296000903e-06	1.827139107140513e-05
cocopye	uneven_coverage	0.1	10.0	completeness	80	0.5019	0.0871	0.9377	0.3628	0.0	0.7025	-0.1435	-0.5848	0.3437	0.03448884792214959	0.06679945281763709
cocopye	uneven_coverage	0.1	10.0	contamination	80	5.7169	4.3715	7.216	5.5006	4.1964	6.7691	7.3742	6.0917	8.7922	1.5329328463408107e-10	7.834990103519699e-10
cocopye	uneven_coverage	0.2	20.0	completeness	80	0.7845	0.2926	1.2933	0.6445	0.1764	1.2051	0.0742	-0.553	0.6422	0.006448888917088391	0.015613099483477158
cocopye	uneven_coverage	0.2	20.0	contamination	80	11.8533	9.5437	14.2942	11.1131	8.9229	13.331	14.1781	12.2051	16.3645	6.272187287615332e-13	5.017749830092265e-12
cocopye	uneven_coverage	0.4	40.0	completeness	80	0.5106	-0.1953	1.2025	0.2763	-0.2102	0.9819	1.6163	0.9136	2.2918	0.27034866161410087	0.3826473364384197
cocopye	uneven_coverage	0.4	40.0	contamination	80	29.7053	26.717	32.7243	29.546	26.3176	32.621	32.1007	29.1585	34.9912	7.849526548031477e-15	1.6178984118507488e-13
deepcheck	substitution	0.001	0.1	completeness	80	-0.0006	-0.2298	0.2211	-0.0122	-0.2624	0.2183	-0.9118	-1.0722	-0.7438	0.9388299095423733	0.95439062627512
deepcheck	substitution	0.001	0.1	contamination	80	-0.0223	-0.1052	0.0647	-0.0449	-0.1014	0.0061	0.1803	0.1102	0.2554	0.07284327516992002	0.12526320216135778
deepcheck	substitution	0.005	0.5	completeness	80	0.9028	0.032	1.7368	0.9647	0.0426	1.8651	-3.9616	-4.3938	-3.5215	0.042475661278753414	0.07946002317851883
deepcheck	substitution	0.005	0.5	contamination	80	-0.2741	-0.5379	-0.0419	-0.2765	-0.5207	-0.0364	0.8501	0.6741	1.0423	0.035660828255257064	0.06834992082257604
deepcheck	substitution	0.01	1.0	completeness	80	3.4244	1.7595	5.1272	3.2432	1.7101	5.2418	-8.218	-9.1714	-7.3112	0.0002722338714574178	0.0007826723804400762
deepcheck	substitution	0.01	1.0	contamination	80	-0.2925	-0.6538	0.0783	-0.2901	-0.6191	0.0798	1.3382	1.0918	1.6094	0.09798149463356111	0.1638963182961386
deepcheck	substitution	0.02	2.0	completeness	80	9.5082	7.0686	11.8887	10.2086	7.6205	12.542	-15.8443	-17.2195	-14.4414	8.884928566288653e-09	4.0870671404927806e-08
deepcheck	substitution	0.02	2.0	contamination	80	-0.0953	-0.5535	0.3959	-0.1833	-0.6483	0.3888	1.7693	1.3799	2.1473	0.5019146644474242	0.5996902484306886
deepcheck	substitution	0.05	5.0	completeness	80	27.378	23.8993	30.7927	28.4024	24.9227	31.4141	-34.7698	-36.899	-32.6827	3.637557124512972e-14	3.93712065241404e-13
deepcheck	substitution	0.05	5.0	contamination	80	0.2089	-0.2715	0.742	0.2032	-0.2693	0.7625	1.3865	0.8615	1.8583	0.417611194266471	0.5263045188015798
deepcheck	substitution_titv	0.001	0.1	completeness	80	0.0255	-0.1481	0.1876	0.0597	-0.1077	0.2309	-0.4583	-0.6144	-0.2956	0.4927950551382676	0.5965413825357976
deepcheck	substitution_titv	0.001	0.1	contamination	80	-0.0488	-0.1279	0.0377	-0.0676	-0.1141	-0.0106	0.2	0.1294	0.2733	0.016478403886867835	0.03525611994399629
deepcheck	substitution_titv	0.005	0.5	completeness	80	0.1739	-0.5005	0.8488	0.1981	-0.5341	0.9377	-2.9236	-3.2915	-2.5724	0.6349064145767576	0.6944858763385917
