tool	error_type	error_rate	error_rate_pct	n	n_clusters	comp_mae	comp_mae_ci_lo	comp_mae_ci_hi	comp_bias	comp_bias_ci_lo	comp_bias_ci_hi	cont_mae	cont_mae_ci_lo	cont_mae_ci_hi	cont_bias	cont_bias_ci_lo	cont_bias_ci_hi	mimag_agreement	mimag_agreement_ci_lo	mimag_agreement_ci_hi	comp_r2	cont_r2	HQ_recall	HQ_precision	n_true_HQ	n_pred_HQ	true_comp_mean	true_cont_mean	true_comp_sd	true_cont_sd
cocopye	uneven_coverage	0.4	40.0	80	80	4.8909	3.7289	6.1978	0.6425	-1.09	2.2599	32.5681	29.4096	35.6906	32.5681	29.4096	35.6906	0.1875	0.1	0.2875	0.7107	-25.5081	0.0		13	0	79.352	6.91	13.837	6.88
deepcheck	substitution	0.0	0.0	80	80	5.9072	4.6959	7.2023	1.4846	-0.2687	3.2959	5.1779	3.9741	6.498	-4.8877	-6.2616	-3.6221	0.7625	0.6625	0.8503	0.6371	-0.2718	0.9231	0.6	13	20	79.352	6.91	13.837	6.88
deepcheck	substitution	0.001	0.1	80	80	5.9065	4.6969	7.1897	0.5728	-1.2493	2.3907	5.1557	3.9213	6.4185	-4.7073	-6.061	-3.4098	0.7625	0.6625	0.85	0.6476	-0.2492	0.9231	0.6667	13	18	79.352	6.91	13.837	6.88
deepcheck	substitution	0.005	0.5	80	80	6.81	5.5898	8.2515	-2.477	-4.3476	-0.4822	4.9039	3.7415	6.0792	-4.0375	-5.3934	-2.7415	0.75	0.65	0.8375	0.5689	-0.1401	0.6923	0.8182	13	11	79.352	6.91	13.837	6.88
deepcheck	substitution	0.01	1.0	80	80	9.3315	7.9774	10.7087	-6.7333	-8.6982	-4.6997	4.8854	3.7741	6.0021	-3.5494	-4.8989	-2.2297	0.6625	0.55	0.7625	0.3451	-0.0308	0.1538	1.0	13	2	79.352	6.91	13.837	6.88
deepcheck	substitution	0.02	2.0	80	80	15.4153	13.548	17.4024	-14.3596	-16.7114	-12.0368	5.0827	4.0451	6.2287	-3.1184	-4.5444	-1.7813	0.55	0.4375	0.6625	-0.6351	-0.0588	0.0		13	0	79.352	6.91	13.837	6.88
deepcheck	substitution	0.05	5.0	80	80	33.2851	30.6486	36.0316	-33.2851	-36.0316	-30.6486	5.3869	4.2773	6.5581	-3.5012	-4.9594	-2.0767	0.3	0.2	0.4	-5.6159	-0.1762	0.0		13	0	79.352	6.91	13.837	6.88
deepcheck	substitution_titv	0.0	0.0	80	80	5.9072	4.6558	7.1573	1.4846	-0.2349	3.2267	5.1779	3.8922	6.4936	-4.8877	-6.2264	-3.5391	0.7625	0.6625	0.85	0.6371	-0.2718	0.9231	0.6	13	20	79.352	6.91	13.837	6.88
deepcheck	substitution_titv	0.001	0.1	80	80	5.9327	4.7526	7.258	1.0263	-0.6579	2.6789	5.1292	3.9787	6.4	-4.6877	-6.0683	-3.4312	0.7625	0.675	0.8503	0.6458	-0.2304	0.9231	0.6	13	20	79.352	6.91	13.837	6.88
deepcheck	substitution_titv	0.005	0.5	80	80	6.0811	4.9928	7.3892	-1.439	-3.2165	0.3523	5.0546	3.9362	6.2758	-4.2064	-5.5961	-2.9223	0.75	0.6625	0.8375	0.6494	-0.159	0.7692	0.7692	13	13	79.352	6.91	13.837	6.88
