campaign	tool	tool_label	threads	repeat	input_set	input_set_canon	cache	n_genomes	n_output_rows	wall_clock_s	peak_rss_gb	max_rss_kb	pct_cpu	user_s	sys_s	fs_inputs	fs_outputs	major_faults	minor_faults	loadavg_1min_before	loadavg_5min_before	loadavg_15min_before	loadavg_1min_after	sum_pcpu_all_processes_before	nproc	mem_available_kb_before	mem_available_kb_after	vmstat_before	vmstat_after	code_root	model	t_start_utc	t_end_utc	return_code	cell_median_s	dev_from_cell_median_pct	flag_load	flag_deviation	flagged	cell_file
WS11.T	magicc_v5code	MAGICC V5 code tree via code-root launcher	1	13	set_E_full_dir	set_E_full	warm	1000	1000	48.91	0.6468	678192	99.0	46.5	2.38	0	72	0	796602	0.98	1.37	3.05	0.99	11.6	48.0	911231568.0	911243556.0	0 0 0 716948480 1349356 198339644 0 0 0 0 846 1015 0 0 100 0 0 0	1 0 0 716950840 1349424 198339680 0 0 0 0 557 590 0 0 100 0 0 0	/path/to/magicc	/path/to/magicc/models/magicc_v5.onnx	2026-08-26T17:37:38Z	2026-08-26T17:38:26Z	0	49.4	0.9919	False	False	False	/path/to/magicc/results/revision/speed_v3/runs/magicc_v5code__t1__set_E_full_dir__warm__r13.json
WS11.T	magicc_v5code_coldjit	magicc_v5code_coldjit	1	1	set_E_full_dir	set_E_full	warm	1000	1000	49.83	0.6599	691988	99.0	47.19	2.6	0	360	0	744750	1.22	19.23	27.45	1.09	106.3	48.0	911162996.0	911250396.0	0 0 0 713605328 3192756 199769668 0 0 0 0 738 1164 0 0 100 0 0 0	0 0 0 713688232 3192816 199769848 0 0 0 0 846 1299 0 0 100 0 0 0	/path/to/magicc/results/revision/speed_v3/magicc_v5code_coldjit_tree	/path/to/magicc/models/magicc_v5.onnx	2026-08-26T22:07:34Z	2026-08-26T22:08:24Z	0	49.83	0.0	False	False	False	/path/to/magicc/results/revision/speed_v3/runs/magicc_v5code_coldjit__t1__set_E_full_dir__warm__r1.json
WS11.T	checkm2	CheckM2 1.0.1	32	2	set_E_full	set_E_full	warm	1000	1000	4286.0	18.7967	19709776	2586.0	108897.37	1956.74	0	226788672	1	455065480	3.12	10.88	10.06	9.54	110.3	48.0	911425580.0	911002876.0	0 0 0 717124960 1351264 198345360 0 0 0 0 577 759 0 0 100 0 0 0	0 0 0 716689120 1359332 198357684 0 0 0 0 521 589 0 0 100 0 0 0		/path/to/magicc/models/magicc_v5.onnx	2026-08-26T17:54:16Z	2026-08-26T19:05:42Z	0	4286.0	0.0	False	False	False	/path/to/magicc/results/revision/speed_v3/runs/checkm2__t32__set_E_full__warm__r2.json
WS11.T	checkm2	CheckM2 1.0.1	32	3	set_E_full	set_E_full	warm	1000	1000	4288.0	18.861	19777232	2622.0	110212.91	2251.69	48	226788656	2	462560143	3.66	20.66	28.59	9.63	5.9	48.0	911672860.0	910550728.0	0 0 0 717350956 1363524 198354136 0 0 0 0 546 563 0 0 100 0 0 0	1 0 0 712990856 3188564 199767916 0 0 0 756 1577 996 2 0 98 0 0 0		/path/to/magicc/models/magicc_v5.onnx	2026-08-26T20:00:11Z	2026-08-26T21:11:40Z	0	4286.0	0.0467	False	False	False	/path/to/magicc/results/revision/speed_v3/runs/checkm2__t32__set_E_full__warm__r3.json
WS11.T	cocopye	CoCoPyE 0.5.0	32	2	set_E_full	set_E_full	warm	1000	1000	2924.29	15.8996	16671896	2186.0	62942.2	1007.32	0	1240	0	84125157	3.5	19.64	24.89	55.23	7.2	48.0	911223916.0	909989620.0	0 0 0 716903652 1359388 198357668 0 0 0 0 580 594 0 0 100 0 0 0	0 0 0 715717388 1363312 198354028 0 0 0 0 833 919 0 0 100 0 0 0		/path/to/magicc/models/magicc_v5.onnx	2026-08-26T19:06:45Z	2026-08-26T19:55:29Z	0	2971.68	1.5947	False	False	False	/path/to/magicc/results/revision/speed_v3/runs/cocopye__t32__set_E_full__warm__r2.json
WS11.T	cocopye	CoCoPyE 0.5.0	32	3	set_E_full	set_E_full	warm	1000	1000	2971.68	15.9005	16672840	2134.0	62391.76	1037.48	0	1256	0	84476733	2.81	18.89	26.3	64.88	6.2	48.0	910801948.0	909993940.0	1 0 0 713250244 3188728 199767024 0 0 0 0 740 1032 0 0 100 0 0 0	0 0 0 712476956 3192532 199764368 0 0 0 0 655 987 0 0 100 0 0 0		/path/to/magicc/models/magicc_v5.onnx	2026-08-26T21:13:12Z	2026-08-26T22:02:44Z	0	2971.68	0.0	False	False	False	/path/to/magicc/results/revision/speed_v3/runs/cocopye__t32__set_E_full__warm__r3.json
WS11.T	deepcheck	DeepCheck (inference only)	32	4	set_E_full	set_E_full	warm	1000	1000	29.16	1.2826	1344936	2612.0	752.84	9.16	0	104	0	1538406	3.33	13.32	10.55	13.04	10.5	48.0	910680196.0	911226632.0	0 0 0 716389924 1351180 198345300 0 0 0 0 623 793 0 0 100 0 0 0	0 0 0 716923792 1351196 198345356 0 0 0 0 451 537 0 0 100 0 0 0		/path/to/magicc/models/magicc_v5.onnx	2026-08-26T17:52:15Z	2026-08-26T17:52:44Z	0	29.48	1.0855	False	False	False	/path/to/magicc/results/revision/speed_v3/runs/deepcheck__t32__set_E_full__warm__r4.json
WS11.T	deepcheck	DeepCheck (inference only)	32	5	set_E_full	set_E_full	warm	1000	1000	29.67	1.2054	1264004	2608.0	761.19	13.03	0	104	0	2329848	2.47	25.63	30.79	9.98	5.9	48.0	910127204.0	911489656.0	0 0 0 715838996 1363404 198354072 0 0 0 0 702 954 0 0 100 0 0 0	0 0 0 717166756 1363456 198354136 0 0 0 0 691 951 0 0 100 0 0 0		/path/to/magicc/models/magicc_v5.onnx	2026-08-26T19:58:39Z	2026-08-26T19:59:09Z	0	29.48	0.6445	False	False	False	/path/to/magicc/results/revision/speed_v3/runs/deepcheck__t32__set_E_full__warm__r5.json
WS11.T	magicc	MAGICC v0.3.0 (V5)	32	4	set_E_full	set_E_full	warm	1000	1000	5.98	0.4972	521344	1679.0	85.96	14.56	0	64	0	1661553	3.35	14.47	10.79	5.49	10.5	48.0	911180092.0	909473460.0	0 0 0 716880024 1351136 198345260 0 0 0 0 504 566 0 0 100 0 0 0	0 0 0 715226672 1351152 198345296 0 0 0 44 539 646 0 0 100 0 0 0		/path/to/magicc/models/magicc_v5.onnx	2026-08-26T17:51:36Z	2026-08-26T17:51:42Z	0	5.98	0.0	False	False	False	/path/to/magicc/results/revision/speed_v3/runs/magicc__t32__set_E_full__warm__r4.json
WS11.T	magicc	MAGICC v0.3.0 (V5)	32	5	set_E_full	set_E_full	warm	1000	1000	5.83	0.4981	522288	1750.0	85.22	16.82	0	64	0	1619529	2.73	26.47	31.12	2.47	5.9	48.0	911199040.0	910069592.0	1 0 0 716876552 1363396 198354032 0 0 0 0 505 565 0 0 100 0 0 0	0 0 0 715786380 1363404 198354068 0 0 0 0 542 807 0 0 100 0 0 0		/path/to/magicc/models/magicc_v5.onnx	2026-08-26T19:58:31Z	2026-08-26T19:58:37Z	0	5.98	2.5084	False	False	False	/path/to/magicc/results/revision/speed_v3/runs/magicc__t32__set_E_full__warm__r5.json
