competitor	distance	arm	n_reference_pairs	mean_advantage_redundant	mean_advantage_arm	hl_diff_arm_minus_redundant	diff_ci_lo	diff_ci_hi	rank_biserial	p_wilcoxon_paired_by_reference	q_bh	verdict
deepcheck	family	NON_REDUNDANT(replaced+single)	100	-3.4522	2.2168	5.3286	3.9806	7.1113	0.8471	1.9153290110443258e-13	8.618980549699467e-13	MAGICC advantage LARGER on this non-redundant arm
deepcheck	family	replaced	100	-3.4522	2.5992	5.8453	4.1698	7.4629	0.8539	1.2344747158137792e-13	5.982454392020622e-13	MAGICC advantage LARGER on this non-redundant arm
deepcheck	family	single	100	-3.4522	1.8344	4.9953	3.3442	6.4426	0.8166	1.342808921407084e-12	4.229848102432315e-12	MAGICC advantage LARGER on this non-redundant arm
deepcheck	order	NON_REDUNDANT(replaced+single)	100	-0.7457	4.2496	4.4595	3.2477	5.8118	0.817	1.309850946596449e-12	4.229848102432315e-12	MAGICC advantage LARGER on this non-redundant arm
deepcheck	order	replaced	100	-0.7457	4.7471	5.0247	3.5224	6.3291	0.8345	4.338759045761872e-13	1.5185656660166552e-12	MAGICC advantage LARGER on this non-redundant arm
deepcheck	order	single	100	-0.7457	3.752	3.9292	2.7318	5.1839	0.7798	1.287275601175499e-11	3.68628922154802e-11	MAGICC advantage LARGER on this non-redundant arm
deepcheck	class	NON_REDUNDANT(replaced+single)	100	1.3861	5.5696	3.7231	2.3218	5.1436	0.699	1.289952484451443e-09	2.8023105696703762e-09	MAGICC advantage LARGER on this non-redundant arm
deepcheck	class	replaced	100	1.3861	6.097	4.1197	2.8794	5.7444	0.7378	1.4977997686776422e-10	3.7744554170676587e-10	MAGICC advantage LARGER on this non-redundant arm
deepcheck	class	single	100	1.3861	5.0423	3.1397	2.0267	4.3785	0.6356	3.418833474830966e-08	6.334897321010319e-08	MAGICC advantage LARGER on this non-redundant arm
deepcheck	phylum	NON_REDUNDANT(replaced+single)	100	2.6248	5.5403	2.8906	1.6839	4.5953	0.5889	3.174367354586667e-07	5.262766929972631e-07	MAGICC advantage LARGER on this non-redundant arm
deepcheck	phylum	replaced	100	2.6248	5.8756	3.2418	2.1355	4.6606	0.6558	1.2419461244164134e-08	2.445081432444814e-08	MAGICC advantage LARGER on this non-redundant arm
deepcheck	phylum	single	100	2.6248	5.205	2.5826	1.2302	4.059	0.4947	1.7511294892273265e-05	2.507299041393672e-05	MAGICC advantage LARGER on this non-redundant arm
