tool	contamination_type	distance	n	n_clusters	detection_slope	detection_slope_ci_lo	detection_slope_ci_hi	cont_mae	cont_mae_ci_lo	cont_mae_ci_hi	cont_bias	cont_bias_ci_lo	cont_bias_ci_hi	comp_mae	comp_mae_ci_lo	comp_mae_ci_hi	comp_bias	comp_bias_ci_lo	comp_bias_ci_hi	cont_r2	comp_r2	true_cont_mean	true_comp_mean
cocopye	replaced	order	100	100	0.0715	-0.1967	0.4049	9.6544	8.1206	11.4148	-5.3844	-7.511	-2.9421	10.3028	9.0197	11.6239	9.1947	7.5613	10.7822	-3.0261	-0.9266	9.35	78.431
cocopye	replaced	class	100	100	0.0716	-0.1758	0.3235	9.244	7.7947	10.8771	-5.715	-7.6463	-3.6201	10.5053	9.113	11.8462	9.4509	7.8165	11.0584	-2.5651	-1.1565	9.35	78.12
cocopye	replaced	phylum	100	100	0.0976	-0.1481	0.3597	8.9442	7.5643	10.4736	-5.0846	-7.1021	-2.971	10.167	8.9359	11.5326	9.0028	7.4198	10.6605	-2.3718	-1.0744	9.35	78.064
cocopye	single	species	100	100	0.0687	-0.2933	0.4888	8.1832	6.6482	9.9243	-3.8881	-5.9752	-1.5502	2.7481	2.1992	3.3535	-0.6304	-1.4518	0.1221	-3.0319	0.7747	7.529	85.135
cocopye	single	genus	100	100	0.1407	-0.1433	0.46	9.2115	7.5925	10.9987	-4.9715	-7.2082	-2.3983	2.7815	2.1955	3.4274	-0.7163	-1.5565	0.0731	-2.9258	0.7555	9.35	85.135
cocopye	single	family	100	100	0.3109	-0.0112	0.6581	8.3072	6.6079	10.2836	-3.7395	-5.8343	-1.2895	2.7601	2.2032	3.3971	-0.6807	-1.5473	0.0782	-2.8443	0.7645	9.35	85.135
cocopye	single	order	100	100	0.5133	0.2073	0.876	6.7584	5.215	8.4331	-2.427	-4.2887	-0.1889	2.9397	2.3042	3.6601	-0.8546	-1.6839	-0.0037	-1.9608	0.7266	9.35	85.135
cocopye	single	class	100	100	0.4887	0.2475	0.7094	5.9404	4.5601	7.5285	-2.0384	-3.7722	-0.0189	2.9402	2.3575	3.5759	-0.769	-1.593	0.041	-1.2831	0.7425	9.35	85.135
cocopye	single	phylum	100	100	0.568	0.3326	0.8175	5.1857	3.9895	6.6426	-1.0643	-2.6115	0.7773	2.9285	2.3547	3.5679	-0.7413	-1.5236	0.0648	-0.8778	0.7426	9.35	85.135
deepcheck	redundant	species	100	100	0.856	0.7496	0.9722	2.3492	1.9037	2.8022	-0.8657	-1.504	-0.2668	3.962	3.1862	4.8877	1.0047	-0.1485	2.1747	0.7365	0.5403	9.35	85.135
deepcheck	redundant	genus	100	100	1.0386	0.9364	1.1461	2.1694	1.7637	2.648	0.5798	-0.0079	1.1879	4.1191	3.2808	5.0109	1.423	0.3016	2.5471	0.766	0.5107	9.35	85.135
deepcheck	redundant	family	100	100	1.1919	1.0531	1.3587	2.8153	2.1207	3.6108	2.2891	1.5146	3.1515	5.0752	4.0786	6.1855	2.6752	1.3625	3.9774	0.4692	0.2784	9.35	85.135
deepcheck	redundant	order	100	100	1.1677	1.0308	1.3022	3.3864	2.7737	4.0883	2.6616	1.9333	3.4238	5.2131	4.2713	6.3442	2.9831	1.6594	4.2424	0.4572	0.2735	9.35	85.135
deepcheck	redundant	class	100	100	1.0162	0.7951	1.2525	4.1792	3.3639	5.1441	2.265	1.1644	3.3999	5.0577	4.0886	6.1146	2.8469	1.5214	4.1701	0.0728	0.2899	9.349	85.135
deepcheck	redundant	phylum	100	100	1.1945	0.9408	1.4667	5.3564	4.1068	6.8617	3.5788	2.0668	5.2315	5.9616	4.8634	7.1437	4.0063	2.5045	5.4147	-0.9667	0.0687	9.35	85.135
deepcheck	replaced	species	100	100	0.0062	-0.0192	0.0308	8.8315	7.6172	10.0769	-8.7814	-10.0369	-7.5596	10.2623	8.9177	11.6903	9.0839	7.3429	10.7611	-1.8933	-1.1198	9.35	77.799
deepcheck	replaced	genus	100	100	0.0141	-0.0137	0.0418	8.7965	7.5319	10.0646	-8.7318	-10.0219	-7.4525	10.6792	9.3225	12.0743	9.3997	7.6648	11.066	-1.8647	-1.1418	9.35	78.009
deepcheck	replaced	family	100	100	0.0135	-0.0115	0.0382	8.7796	7.5918	10.0491	-8.7367	-10.0249	-7.546	10.3234	9.0675	11.6599	9.222	7.6017	10.8037	-1.8616	-1.1571	9.35	78.221
deepcheck	replaced	order	100	100	0.0154	-0.0139	0.0443	8.7684	7.5354	9.9817	-8.6833	-9.9158	-7.4249	10.1859	8.8555	11.5608	8.4595	6.664	10.2167	-1.8398	-0.9042	9.35	78.431
deepcheck	replaced	class	100	100	0.0394	0.0026	0.0863	8.5961	7.4006	9.8273	-8.5374	-9.7805	-7.3258	9.4073	8.0726	10.8278	7.495	5.7201	9.193	-1.7434	-0.8219	9.35	78.12
deepcheck	replaced	phylum	100	100	0.0869	0.0258	0.1642	8.4046	7.2471	9.5639	-8.2086	-9.446	-7.0169	9.0612	7.7675	10.4009	6.8166	4.9839	8.5449	-1.6276	-0.7585	9.35	78.064
deepcheck	single	species	100	100	0.0046	-0.0275	0.0375	6.7962	5.6905	7.9554	-6.6951	-7.8837	-5.55	3.6722	2.9254	4.5895	0.0028	-1.0484	1.0714	-1.3066	0.5808	7.529	85.135
deepcheck	single	genus	100	100	0.0421	0.0088	0.0759	8.4985	7.3007	9.701	-8.4688	-9.6738	-7.2458	3.6797	2.9295	4.5435	0.0438	-1.0826	1.0839	-1.7004	0.5817	9.35	85.135
deepcheck	single	family	100	100	0.0643	0.0242	0.1127	8.3146	7.108	9.4991	-8.2774	-9.4839	-7.0597	3.6829	2.9587	4.6072	0.2004	-0.8965	1.2475	-1.5944	0.5899	9.35	85.135
deepcheck	single	order	100	100	0.0766	0.0277	0.136	8.3151	7.1353	9.5338	-8.2764	-9.4985	-7.1131	3.6921	2.9863	4.5386	0.0803	-1.0029	1.1523	-1.5829	0.5871	9.35	85.135
deepcheck	single	class	100	100	0.029	0.0008	0.0602	8.5059	7.2932	9.671	-8.4636	-9.6285	-7.249	3.6426	2.9161	4.4756	-0.3205	-1.3551	0.722	-1.7259	0.6085	9.35	85.135
deepcheck	single	phylum	100	100	0.075	0.0329	0.1208	7.9792	6.8296	9.1716	-7.9476	-9.142	-6.7857	3.9223	3.1878	4.743	0.4396	-0.6686	1.574	-1.4626	0.5686	9.35	85.135
