stratum	level	tool_a	tool_b	n_pairs	hl	hl_ci_lo	hl_ci_hi	cliffs_delta	cliffs_ci_lo	cliffs_ci_hi	p_wilcoxon	mae_a	mae_b	bias_a	bias_b	q_bh	winner	p_wilcoxon_sample_level_historical	q_bh_sample_level_historical	winner_sample_level_historical	p_wilcoxon_reference_mean	n_paired_references	reference_mean_difference	q_bh_reference_mean	supported_reference_test_and_hl_interval	inference_definition	support_decision_changed
distance	phylum	magicc_v5	cocopye	300	-4.4516	-5.6038	-3.4888	-0.5035	-0.5888	-0.4189	5.988879490693734e-17	2.6783	8.5855	-0.8989	1.8122	3.2884848786582443e-15	magicc_v5	3.252173589848617e-33	3.14376780352033e-32	magicc_v5	5.988879490693734e-17	100	-5.907225083048897	3.2884848786582443e-15	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
distance	phylum	magicc_v5	deepcheck	300	-3.7113	-4.8527	-2.6395	-0.457	-0.5452	-0.3809	5.464684499148851e-16	2.6783	7.2467	-0.8989	-4.1925	7.923792523765834e-15	magicc_v5	7.3995712450537375e-31	5.3646891526639594e-30	magicc_v5	5.464684499148851e-16	100	-4.568466771869893	7.923792523765834e-15	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	redundant|species	magicc_v5	checkm2	100	6.1392	4.761	7.4033	0.6218	0.5036	0.7244	6.114697274470501e-15	8.6026	2.2386	-7.9906	-0.0522	4.0921435606071816e-14	checkm2	6.114697274470501e-15	1.8999237959961916e-14	checkm2	6.114697274470501e-15	100	6.36401336655773	4.0921435606071816e-14	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	redundant|species	magicc_v5	cocopye	100	4.6916	3.153	6.1242	0.4362	0.3138	0.5548	1.1928664494909583e-08	8.6026	5.412	-7.9906	3.1686	2.162070439702362e-08	cocopye	1.1928664494909585e-08	2.1179465531778243e-08	cocopye	1.1928664494909583e-08	100	3.1906429032468537	2.162070439702362e-08	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	redundant|species	magicc_v5	deepcheck	100	5.8317	4.9666	7.1688	0.625	0.5326	0.7138	7.559735353237344e-17	8.6026	2.3492	-7.9906	-0.8657	3.2884848786582443e-15	deepcheck	7.559735353237344e-17	3.1318903606268995e-16	deepcheck	7.559735353237344e-17	100	6.253470245683069	3.2884848786582443e-15	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	redundant|genus	magicc_v5	checkm2	100	5.1525	3.828	6.5222	0.5708	0.4622	0.6766	3.9197457473169017e-13	7.881	2.4671	-7.2619	1.3718	1.2179210000591803e-12	checkm2	3.919745747316902e-13	9.21669945990731e-13	checkm2	3.9197457473169017e-13	100	5.413902529888269	1.2179210000591803e-12	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	redundant|genus	magicc_v5	cocopye	100	3.0409	1.7909	4.2648	0.2868	0.1666	0.4118	2.1072982815714674e-05	7.881	6.4452	-7.2619	5.5277	3.216402640293292e-05	cocopye	2.1072982815714677e-05	3.216402640293292e-05	cocopye	2.1072982815714674e-05	100	1.4357573728874695	3.216402640293292e-05	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	redundant|genus	magicc_v5	deepcheck	100	5.3711	4.093	6.8229	0.6202	0.524	0.7176	1.080934894775585e-14	7.881	2.1694	-7.2619	0.5798	6.269422389698393e-14	deepcheck	1.080934894775585e-14	3.1347111948491974e-14	deepcheck	1.080934894775585e-14	100	5.7115845236614575	6.269422389698393e-14	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	redundant|family	magicc_v5	checkm2	100	2.3162	1.1995	3.3888	0.2296	0.104	0.3574	1.7511294892273265e-05	6.2675	3.8445	-5.649	3.3875	2.720504742192454e-05	checkm2	1.7511294892273265e-05	2.720504742192454e-05	checkm2	1.7511294892273265e-05	100	2.4229724199705176	2.720504742192454e-05	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	redundant|family	magicc_v5	cocopye	100	-0.4458	-1.8221	0.7716	-0.0444	-0.1662	0.0752	0.5247177003787094	6.2675	8.6215	-5.649	8.5641	0.5635856781845396	unresolved	0.5247177003787094	0.5567126821091184	tie	0.5247177003787094	100	-2.353977954975272	0.5635856781845396	False	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	redundant|family	magicc_v5	deepcheck	100	3.2178	2.1103	4.3794	0.4346	0.3204	0.5454	8.032375048416746e-10	6.2675	2.8153	-5.649	2.2891	1.7918375108006585e-09	deepcheck	8.032375048416745e-10	1.552925842693904e-09	deepcheck	8.032375048416746e-10	100	3.452248271325276	1.7918375108006585e-09	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	redundant|order	magicc_v5	checkm2	100	-0.8487	-1.6095	-0.1607	-0.1792	-0.315	-0.0488	0.02497509022605292	4.1321	5.0696	-3.3102	4.7981	0.03243034103980006	magicc_v5	0.0249750902260529	0.0314903311545884	magicc_v5	0.02497509022605292	100	-0.9375238611497836	0.03243034103980006	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	redundant|order	magicc_v5	cocopye	100	-3.2845	-4.5816	-2.0275	-0.3902	-0.504	-0.282	1.1227625712821653e-08	4.1321	9.4609	-3.3102	9.4226	2.0783051851393272e-08	magicc_v5	1.1227625712821651e-08	2.0350071604489245e-08	magicc_v5	1.1227625712821653e-08	100	-5.328823340430452	2.0783051851393272e-08	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	redundant|order	magicc_v5	deepcheck	100	0.5191	-0.1923	1.3845	0.0776	-0.0506	0.2116	0.16690827813258957	4.1321	3.3864	-3.3102	2.6616	0.19623000266939586	unresolved	0.1669082781325895	0.1962300026693958	tie	0.16690827813258957	100	0.7457048433530398	0.19623000266939586	False	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	redundant|class	magicc_v5	checkm2	100	-2.473	-3.5035	-1.5725	-0.4244	-0.549	-0.2888	2.3254496223335132e-07	2.7932	5.5843	-1.8346	4.081	3.9669434733924636e-07	magicc_v5	2.325449622333513e-07	4.046282342860313e-07	magicc_v5	2.3254496223335132e-07	100	-2.7911356718391307	3.9669434733924636e-07	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	redundant|class	magicc_v5	cocopye	100	-4.6075	-6.0262	-3.2179	-0.5684	-0.6772	-0.4594	1.7205222109437397e-12	2.7932	9.2885	-1.8346	9.2235	4.828562333938882e-12	magicc_v5	1.7205222109437397e-12	3.838088009028342e-12	magicc_v5	1.7205222109437397e-12	100	-6.495335026430209	4.828562333938882e-12	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	redundant|class	magicc_v5	deepcheck	100	-0.8825	-1.488	-0.3054	-0.2224	-0.3672	-0.0722	0.004047452166708363	2.7932	4.1792	-1.8346	2.265	0.005562207895992254	magicc_v5	0.0040474521667083	0.0054173590539019	magicc_v5	0.004047452166708363	100	-1.386063191141596	0.005562207895992254	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	redundant|phylum	magicc_v5	checkm2	100	-4.1203	-5.1812	-3.2094	-0.5316	-0.6346	-0.4274	2.1228354031947738e-13	2.7316	8.0085	-0.6026	6.6013	7.103333849151743e-13	magicc_v5	2.1228354031947738e-13	5.276762287941295e-13	magicc_v5	2.1228354031947738e-13	100	-5.2768929785408725	7.103333849151743e-13	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	redundant|phylum	magicc_v5	cocopye	100	-6.779	-8.5554	-5.4692	-0.653	-0.7498	-0.5578	1.4289849453522757e-16	2.7316	11.6267	-0.6026	11.5856	4.1440563415215995e-15	magicc_v5	1.4289849453522755e-16	5.650985920256726e-16	magicc_v5	1.4289849453522757e-16	100	-8.895027541994118	4.1440563415215995e-15	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	redundant|phylum	magicc_v5	deepcheck	100	-1.3671	-2.3219	-0.5926	-0.244	-0.364	-0.1136	0.00023100689423620604	2.7316	5.3564	-0.6026	3.5788	0.0003406372847211852	magicc_v5	0.0002310068942362	0.0003349599966424	magicc_v5	0.00023100689423620604	100	-2.624815184259457	0.0003406372847211852	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	replaced|species	magicc_v5	checkm2	100	0.1774	0.016	0.3587	0.0198	-0.0102	0.053	0.03109696724673547	8.9635	8.683	-8.9034	-8.6002	0.03978582574214685	checkm2	0.0310969672467354	0.0386490878637997	checkm2	0.03109696724673547	100	0.28050401465178143	0.03978582574214685	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	replaced|species	magicc_v5	cocopye	100	-0.0226	-0.2373	0.4791	-0.0454	-0.1148	0.0162	0.947912712213223	8.9635	9.7016	-8.9034	-5.8408	0.9561279496332181	unresolved	0.947912712213223	0.956127949633218	tie	0.947912712213223	100	-0.7380517533460551	0.9561279496332181	False	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	replaced|species	magicc_v5	deepcheck	100	0.0334	-0.1229	0.2122	0.0002	-0.0246	0.025	0.6773827047880141	8.9635	8.8315	-8.9034	-8.7814	0.7186865282506979	unresolved	0.6773827047880141	0.7100276544163522	tie	0.6773827047880141	100	0.13201787697780762	0.7186865282506979	False	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	replaced|genus	magicc_v5	checkm2	100	0.0175	-0.176	0.2144	-0.0224	-0.0774	0.0256	0.8500082762349129	8.3174	8.601	-8.2568	-8.5368	0.8909725305112943	unresolved	0.8500082762349129	0.8803657146718742	tie	0.8500082762349129	100	-0.2835776373322806	0.8909725305112943	False	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
