scope	size_bin	tool	tool_label	n	n_clusters	median_size_mbp	mae_completeness	mae_completeness_ci_lo	mae_completeness_ci_hi	bias_completeness	bias_completeness_ci_lo	bias_completeness_ci_hi	mae_contamination	mae_contamination_ci_lo	mae_contamination_ci_hi	bias_contamination	bias_contamination_ci_lo	bias_contamination_ci_hi	n_true_pass_cont5	n_false_fail_cont5	false_fail_rate_cont5	false_fail_rate_cont5_ci_lo	false_fail_rate_cont5_ci_hi
set_A_v2	1-2 Mbp	magicc_v5	MAGICC v5 (released, v0.3.0)	130	107	1.6259995	2.373482545567824	1.5055459246837526	3.480075957274636	-1.134530449046757	-2.427045492135076	-0.18701662529857388	1.5528432615846153	0.6572012229252175	2.826656797540112	1.5528432615846153	0.6572012229252175	2.826656797540112	130	6	0.046153846153846156	0.007633587786259542	0.09559852941176464
set_A_v2	1-2 Mbp	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	130	107	1.6259995	2.717532566723145	1.8083224689813397	3.932022002616168	-1.212283879815988	-2.6115970812888816	-0.1970556467617508	2.3272423076923077	1.2542320837031777	3.8797307032967008	2.3272423076923077	1.2542320837031777	3.8797307032967008	130	8	0.06153846153846154	0.015869891263592055	0.11383275261324034
set_A_v2	1-2 Mbp	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	130	107	1.6259995	2.041597367756454	1.546586178262114	2.6468498483411436	-0.963852856739064	-1.5796653622487042	-0.3978537378244059	0.5181629854853846	0.2155620091745414	1.0079279467060056	0.5181629854853846	0.2155620091745414	1.0079279467060056	130	1	0.007692307692307693	0.0	0.024004838709677394
set_A_v2	1-2 Mbp	checkm2	CheckM2 1.0.1	130	107	1.6259995	2.325318897787448	1.7279580044234124	2.9534016668302527	-0.08963311058521872	-0.7936336145787087	0.6365976699015727	0.23476923076923079	0.17289826811211	0.2983510305697081	0.23476923076923079	0.17289826811211	0.2983510305697081	130	0	0.0	0.0	0.0
set_A_v2	1-2 Mbp	cocopye	CoCoPyE 0.5.0	130	107	1.6259995	3.488879181153676	2.4146308719182565	4.7375429823568505	-0.34221743036612934	-1.749541275717413	0.9084684468845231	2.816350130685123	1.5355186600871906	4.447557514920711	2.816350130000115	1.5355186596771087	4.447557514615759	130	13	0.1	0.045792852185981975	0.1627950043066322
set_A_v2	1-2 Mbp	deepcheck	DeepCheck	130	107	1.6259995	4.08038281737061	3.15140783458362	5.14369488470387	0.2642764763945749	-0.9117820014319011	1.50104019137258	0.334328268124507	0.2675274263034462	0.40952904913590754	0.1128684259377993	0.02322550607404413	0.20257664452044538	130	0	0.0	0.0	0.0
set_A_v2	2-3 Mbp	magicc_v5	MAGICC v5 (released, v0.3.0)	231	182	2.538293	1.5927845963162595	1.287330276030161	1.9286877901691957	0.16666797837352096	-0.23281398942616968	0.5686395508013196	0.5794774280844157	0.4380992177686669	0.7507263960925606	0.5794774280844157	0.4380992177686669	0.7507263960925606	231	0	0.0	0.0	0.0
set_A_v2	2-3 Mbp	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	231	182	2.538293	1.9017272412550652	1.5434233285344172	2.302348298972037	-0.14395080517626277	-0.6229462401440142	0.32321169709010367	1.0132917748917747	0.7588977075494885	1.2946457113650294	1.0132917748917747	0.7588977075494885	1.2946457113650294	231	11	0.047619047619047616	0.017241379310344827	0.0881089660533817
set_A_v2	2-3 Mbp	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	231	182	2.538293	1.583149428973416	1.311825778292353	1.8768743163947048	-0.07055101729747457	-0.4552546758600442	0.2852486728973331	0.2594258337805195	0.14025923569392712	0.43568461742739967	0.2594258337805195	0.14025923569392712	0.43568461742739967	231	2	0.008658008658008658	0.0	0.021932239740319947
set_A_v2	2-3 Mbp	checkm2	CheckM2 1.0.1	231	182	2.538293	2.4209042364942923	2.0807473414995723	2.782516859616139	1.1111903203648625	0.6626642939152174	1.5585021761157392	0.2997402597402598	0.24359666666666668	0.36891545630597916	0.2997402597402598	0.24359666666666668	0.36891545630597916	231	0	0.0	0.0	0.0
set_A_v2	2-3 Mbp	cocopye	CoCoPyE 0.5.0	231	182	2.538293	3.7742511615613457	3.182741294036929	4.386990831488806	0.46408212686954825	-0.19480385971817288	1.174148591681794	0.33100344092542966	0.23280899757889303	0.4485114780960659	0.33100343746906263	0.2328089941864149	0.4485114750030247	231	1	0.004329004329004329	0.0	0.013392857142857142
set_A_v2	2-3 Mbp	deepcheck	DeepCheck	231	182	2.538293	4.65859696381179	3.9798902261754687	5.327051342326044	1.561028635329521	0.7462969811087292	2.4422169185529965	0.38479155179484065	0.3209611531261791	0.45072872979427603	0.29122122599707023	0.2213275047483219	0.3649671788319138	231	0	0.0	0.0	0.0
set_A_v2	3-5 Mbp	magicc_v5	MAGICC v5 (released, v0.3.0)	338	267	4.19404	2.5221419201872517	2.0601935580158757	3.0096926012250416	0.19905069670711262	-0.412421176994737	0.7412394498999073	0.852196342155917	0.5568556632236028	1.2594030780646355	0.852196342155917	0.5568556632236028	1.2594030780646355	338	12	0.03550295857988166	0.014705882352941176	0.060790273556231005
set_A_v2	3-5 Mbp	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	338	267	4.19404	2.8252401220804977	2.361435815065606	3.3243288197237617	-0.2900638062514674	-0.9344229593262995	0.271189020174239	1.2749443786982249	0.938424734594279	1.722546942098996	1.2749443786982249	0.938424734594279	1.722546942098996	338	23	0.06804733727810651	0.04069269361732958	0.1005921669793621
set_A_v2	3-5 Mbp	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	338	267	4.19404	2.2309245207612687	1.8684287003838151	2.619709197535569	-0.02381359027513607	-0.52339682944677	0.43738270643844435	0.4423113892781066	0.28217965726616345	0.6477825229373052	0.4423113892781066	0.28217965726616345	0.6477825229373052	338	8	0.023668639053254437	0.008670520231213872	0.043889675396905636
set_A_v2	3-5 Mbp	checkm2	CheckM2 1.0.1	338	267	4.19404	2.228400236866162	1.9694889260337611	2.4662202796111385	0.7896157795473493	0.4725359177118791	1.1193296142087126	0.2700591715976331	0.2338509284995652	0.30901223723723714	0.2700591715976331	0.2338509284995652	0.30901223723723714	338	0	0.0	0.0	0.0
set_A_v2	3-5 Mbp	cocopye	CoCoPyE 0.5.0	338	267	4.19404	3.6206777842366886	3.1431514211424125	4.103127527498945	-0.013898937889936217	-0.6474314008866672	0.5902286187368994	0.5280448012519462	0.3711766552082384	0.7103348871510952	0.5280447969754583	0.3711766512511069	0.710334880247143	338	9	0.026627218934911243	0.011098619467172036	0.0470622939441263
set_A_v2	3-5 Mbp	deepcheck	DeepCheck	338	267	4.19404	4.042311732048901	3.6288537320951892	4.494922676607612	1.1222394186258846	0.5314831101024965	1.7082939465808746	0.40284473440174523	0.3519552955072026	0.4592752848031612	0.3119861294443791	0.25462026376756597	0.3769136042820969	338	0	0.0	0.0	0.0
set_A_v2	>=5 Mbp	magicc_v5	MAGICC v5 (released, v0.3.0)	289	231	5.680212	2.0632427667262343	1.739560456769916	2.4259350499655348	0.6412212642056266	0.23752381388255428	1.0917255090126432	0.6788539621626297	0.45140501819608525	0.9842127237566602	0.6788539621626297	0.45140501819608525	0.9842127237566602	289	3	0.010380622837370242	0.0	0.023976735947094922
set_A_v2	>=5 Mbp	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	289	231	5.680212	2.7339826350687906	2.410273300303212	3.087534569693812	-0.04578845551755639	-0.5491257451637207	0.4447489941979893	1.7042065743944637	1.2225079159698997	2.2851553796045656	1.7042065743944637	1.2225079159698997	2.2851553796045656	289	19	0.0657439446366782	0.04029242569511026	0.09454668304668304
