set	set_label	status	tier	subset	tool	tool_label	tool_role	metric	n	n_clusters	clustered_bootstrap	true_value_variance	true_value_constant	mae	mae_ci_lo	mae_ci_hi	bias	bias_ci_lo	bias_ci_hi	rmse	rmse_ci_lo	rmse_ci_hi	r2	r2_ci_lo	r2_ci_hi	r2_pearson_sq	r2_omitted_reason
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	cocopye	CoCoPyE 0.5.0	competitor	completeness	1000	798	True	288.1683701525816	False	3.6395110323866655	3.3330831642330625	3.950513352277772	0.1378546535050523	-0.2213423094859129	0.5167440960629829	5.75208171158649	5.238318445742902	6.271934187400356	0.8851836376100233	0.8630551612582109	0.9051227733885324	0.8901177768246361	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	deepcheck	DeepCheck	competitor	completeness	1000	798	True	288.1683701525816	False	4.255472477276518	3.973762481391186	4.5476266811971495	1.4648283920298533	1.1080948354660674	1.850843237218829	6.229719890580933	5.794885615879246	6.691991942561186	0.8653238386483895	0.8424428244931998	0.8848684138606185	0.8735672962805364	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	contamination	1000	798	True	0.0	True	0.8285294344272	0.6436673595249625	1.062406128081281	0.8285294344272	0.6436673595249625	1.062406128081281	3.01249322423102	1.859378199009578	4.080710509801605					R^2 omitted: the true contamination is constant at 0% for all 1000 genomes, so the total sum of squares is zero and no fraction of variance can be explained. MAE / RMSE / mean signed error remain well defined and are reported instead.
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	checkm2	CheckM2 1.0.1	competitor	contamination	1000	798	True	0.0	True	0.27387	0.2478352891453947	0.3002263032935946	0.27387	0.2478352891453947	0.3002263032935946	0.4403654164441163	0.3962401890005329	0.4850744971519749					R^2 omitted: the true contamination is constant at 0% for all 1000 genomes, so the total sum of squares is zero and no fraction of variance can be explained. MAE / RMSE / mean signed error remain well defined and are reported instead.
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	cocopye	CoCoPyE 0.5.0	competitor	contamination	1000	798	True	0.0	True	0.9766124183707464	0.6904050608729152	1.2877785638425665	0.9766124151233684	0.6904050574511231	1.2877785607391206	4.795027076234535	3.416704729277221	6.028012629652766					R^2 omitted: the true contamination is constant at 0% for all 1000 genomes, so the total sum of squares is zero and no fraction of variance can be explained. MAE / RMSE / mean signed error remain well defined and are reported instead.
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	deepcheck	DeepCheck	competitor	contamination	1000	798	True	0.0	True	0.404035914644599	0.3733056198394923	0.4342167756574382	0.2865536159723997	0.250220084924931	0.319999968549478	0.6315151025352045	0.5879435825681019	0.6722457442735561					R^2 omitted: the true contamination is constant at 0% for all 1000 genomes, so the total sum of squares is zero and no fraction of variance can be explained. MAE / RMSE / mean signed error remain well defined and are reported instead.
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	completeness	1000	803	True	0.0	True	2.972426611	2.6267436353519904	3.326566005524882	-2.972426611	-3.326566005524882	-2.6267436353519904	6.014786910832875	5.383623754562402	6.624183955404386					R^2 omitted: the true completeness is constant at 100% for all 1000 genomes, so the total sum of squares is zero and no fraction of variance can be explained. MAE / RMSE / mean signed error remain well defined and are reported instead.
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	checkm2	CheckM2 1.0.1	competitor	completeness	1000	803	True	0.0	True	0.4511200000000002	0.3178798822000919	0.5930911644535242	-0.4511200000000002	-0.5930911644535242	-0.3178798822000919	2.249215374302781	1.5551755889255383	2.857072160115416					R^2 omitted: the true completeness is constant at 100% for all 1000 genomes, so the total sum of squares is zero and no fraction of variance can be explained. MAE / RMSE / mean signed error remain well defined and are reported instead.
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	cocopye	CoCoPyE 0.5.0	competitor	completeness	1000	803	True	0.0	True	0.6405279238173239	0.4464564845746657	0.8658627460783928	-0.6405279238173239	-0.8658627460783929	-0.4464564845746657	3.272374142794569	2.2103730892451487	4.205931893034557					R^2 omitted: the true completeness is constant at 100% for all 1000 genomes, so the total sum of squares is zero and no fraction of variance can be explained. MAE / RMSE / mean signed error remain well defined and are reported instead.
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	deepcheck	DeepCheck	competitor	completeness	1000	803	True	0.0	True	6.6112978515625	6.036756887502207	7.185773649453011	4.400948608398438	3.746737567188562	5.0435140906620495	11.124742303672994	10.29086123696717	11.949930544603228					R^2 omitted: the true completeness is constant at 100% for all 1000 genomes, so the total sum of squares is zero and no fraction of variance can be explained. MAE / RMSE / mean signed error remain well defined and are reported instead.
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	contamination	1000	803	True	772.4672959754683	False	4.453452160275677	4.132382931290096	4.784437142200979	-0.1355621172905156	-0.5699743722468326	0.2944933537273577	6.772518352675309	6.163983194890683	7.3916415953882435	0.9406227227012852	0.9288642937644844	0.951174405745786	0.9408855023396407	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	checkm2	CheckM2 1.0.1	competitor	contamination	1000	803	True	772.4672959754683	False	17.661892481683402	16.51127694792316	18.75767817407767	-14.261714663148515	-15.596355967501813	-12.896498787718022	25.23848722734899	23.828726096155783	26.545504734493782	0.1753939087858974	0.0843087146474286	0.2630557454851867	0.4756544039288595	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	cocopye	CoCoPyE 0.5.0	competitor	contamination	1000	803	True	772.4672959754683	False	12.095051584950191	11.17023628521614	13.056727808036706	-4.35194307573874	-5.577780572229172	-3.108122105228471	18.9280610220697	17.4598980550572	20.45639520333259	0.536198495493883	0.4580371656683902	0.6057761291907097	0.6343557363176592	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	deepcheck	DeepCheck	competitor	contamination	1000	803	True	772.4672959754683	False	25.704923896847436	24.312752695930723	27.039549445504253	-20.585649024365537	-22.26321799308697	-18.84410891934595	33.9781108824303	32.28113592012092	35.68421238687414	-0.4945772140176057	-0.6506287619050123	-0.3503215614035022	0.2959317946432209	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	in_domain	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	completeness	1000	803	True	0.0	True	2.972426611	2.6323796277555407	3.331774956058105	-2.972426611	-3.3317749560581054	-2.6323796277555407	6.014786910832875	5.365507406089864	6.640582129759536					R^2 omitted: the true completeness is constant at 100% for all 1000 genomes, so the total sum of squares is zero and no fraction of variance can be explained. MAE / RMSE / mean signed error remain well defined and are reported instead.
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	in_domain	checkm2	CheckM2 1.0.1	competitor	completeness	1000	803	True	0.0	True	0.4511200000000002	0.3186815656039971	0.5958376849849057	-0.4511200000000002	-0.5958376849849057	-0.3186815656039972	2.249215374302781	1.562574314614892	2.876321042453585					R^2 omitted: the true completeness is constant at 100% for all 1000 genomes, so the total sum of squares is zero and no fraction of variance can be explained. MAE / RMSE / mean signed error remain well defined and are reported instead.
