set	set_label	status	tier	tool	tool_label	tool_role	n	n_clusters	clustered_bootstrap	accuracy	accuracy_ci_lo	accuracy_ci_hi	macro_f1	macro_f1_ci_lo	macro_f1_ci_hi	macro_f1_observed	macro_f1_observed_ci_lo	macro_f1_observed_ci_hi	micro_f1	micro_f1_ci_lo	micro_f1_ci_hi	weighted_f1	weighted_f1_ci_lo	weighted_f1_ci_hi	macro_precision	macro_precision_ci_lo	macro_precision_ci_hi	macro_recall	macro_recall_ci_lo	macro_recall_ci_hi	macro_precision_observed	macro_precision_observed_ci_lo	macro_precision_observed_ci_hi	macro_recall_observed	macro_recall_observed_ci_lo	macro_recall_observed_ci_hi	balanced_accuracy	balanced_accuracy_ci_lo	balanced_accuracy_ci_hi	cohen_kappa	cohen_kappa_ci_lo	cohen_kappa_ci_hi	class_balance_true	n_classes_observed	classes_absent_in_truth
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	1000	1000	False	0.964	0.953	0.975	0.8723289373778749	0.8269437339321274	0.9160545578017324	0.8723289373778749	0.8269437339321274	0.9160545578017324	0.964	0.953	0.975	0.9652811941944505	0.9551027600072981	0.9758443805592931	0.8398559871809282	0.7887635191192975	0.8921186909640559	0.9108293810777051	0.8694313231614896	0.9483706944150685	0.8398559871809282	0.7887635191192975	0.8921186909640559	0.9108293810777051	0.8694313231614896	0.9483706944150685	0.9108293810777051	0.8694313231614896	0.9483706944150685	0.8397214715349783	0.7926253709973453	0.8867456819822507	"{""high"": 34, ""medium"": 83, ""low"": 883}"	3	
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	1000	1000	False	0.971	0.96	0.981	0.8922116095705634	0.8446762939061622	0.9329158676262418	0.8922116095705634	0.8446762939061622	0.9329158676262418	0.971	0.96	0.981	0.9718502781444638	0.9616583102172972	0.9815371138718686	0.8739504488313634	0.8212816956946187	0.922456162477661	0.9128118630006	0.8664596127793739	0.9566472839995376	0.8739504488313634	0.8212816956946187	0.922456162477661	0.9128118630006	0.8664596127793739	0.9566472839995376	0.9128118630006	0.8664596127793739	0.9566472839995376	0.8693193339792261	0.8222735697280025	0.9145865460172405	"{""high"": 34, ""medium"": 83, ""low"": 883}"	3	
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	checkm2	CheckM2 1.0.1	competitor	1000	1000	False	0.287	0.26	0.314	0.2816479245329417	0.2474117040112788	0.3153301074700907	0.2816479245329417	0.2474117040112788	0.3153301074700907	0.287	0.26	0.314	0.35265974497340835	0.3211236113963961	0.38465387350845565	0.423307755282222	0.4025487342056743	0.445626751087431	0.5991935231432692	0.5522647791717792	0.6429711770876536	0.423307755282222	0.4025487342056743	0.445626751087431	0.5991935231432692	0.5522647791717792	0.6429711770876536	0.5991935231432692	0.5522647791717792	0.6429711770876536	0.06299856230073933	0.043378723680128746	0.08351385486316801	"{""high"": 34, ""medium"": 83, ""low"": 883}"	3	
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	cocopye	CoCoPyE 0.5.0	competitor	1000	1000	False	0.794	0.7679750000000001	0.817	0.4079198579198579	0.3829127320881358	0.43384492625225024	0.4079198579198579	0.3829127320881358	0.43384492625225024	0.794	0.7679750000000001	0.817	0.8120482350982351	0.7882561050165038	0.8342051572063096	0.39082107987053255	0.3717527388435399	0.41180368265986794	0.47438678837660947	0.4381608008505914	0.5116963837299572	0.39082107987053255	0.3717527388435399	0.41180368265986794	0.47438678837660947	0.4381608008505914	0.5116963837299572	0.47438678837660947	0.4381608008505914	0.5116963837299572	0.2627057981388691	0.19941168690989342	0.3261051465232928	"{""high"": 34, ""medium"": 83, ""low"": 883}"	3	
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	deepcheck	DeepCheck	competitor	1000	1000	False	0.262	0.23697500000000002	0.289	0.2666916983956254	0.21564434985538686	0.31579589359868543	0.2666916983956254	0.21564434985538686	0.31579589359868543	0.262	0.23697500000000002	0.289	0.3262216699096855	0.29280223895526497	0.3587183199258572	0.438977036888264	0.3917037818981746	0.4910243762988241	0.4427410528129439	0.38125043805409653	0.5059766440741846	0.438977036888264	0.3917037818981746	0.4910243762988241	0.4427410528129439	0.38125043805409653	0.5059766440741846	0.4427410528129439	0.38125043805409653	0.5059766440741846	0.03265256366732164	0.014452111737447428	0.05158535426901218	"{""high"": 34, ""medium"": 83, ""low"": 883}"	3	
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	1000	1000	False	0.973	0.963	0.983	0.8768579126945775	0.7948178703579869	0.9361636196176556	0.8768579126945775	0.7948178703579869	0.9361636196176556	0.973	0.963	0.983	0.9734366515837105	0.9638418305235383	0.9833852163702338	0.843416330933668	0.749647254896527	0.9252160688024976	0.9227348768758836	0.8497100058266491	0.968127550618978	0.843416330933668	0.749647254896527	0.9252160688024976	0.9227348768758836	0.8497100058266491	0.968127550618978	0.9227348768758836	0.8497100058266491	0.968127550618978	0.8700511132287966	0.8218031571096555	0.9166902056134395	"{""high"": 11, ""medium"": 103, ""low"": 886}"	3	
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	1000	1000	False	0.973	0.963	0.983	0.8235094572417849	0.7216466440541855	0.9030066057425583	0.8235094572417849	0.7216466440541855	0.9030066057425583	0.973	0.963	0.983	0.9730735593435491	0.9626913051459233	0.9828828217198631	0.8177491649954173	0.7167617492949203	0.9159150042589619	0.8300944309075103	0.7284338874417822	0.9361611737592677	0.8177491649954173	0.7167617492949203	0.9159150042589619	0.8300944309075103	0.7284338874417822	0.9361611737592677	0.8300944309075103	0.7284338874417822	0.9361611737592677	0.8673759596822916	0.8175834555747337	0.913817922400022	"{""high"": 11, ""medium"": 103, ""low"": 886}"	3	
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	1000	1000	False	0.978	0.969	0.987	0.889076505253048	0.8071451116435244	0.9483791869574927	0.889076505253048	0.8071451116435244	0.9483791869574927	0.978	0.969	0.987	0.9782000499592575	0.9691522639928604	0.987003763937657	0.875928921965162	0.7832507191622208	0.9574980047559306	0.9032692526084887	0.8175723455671176	0.9718689086713667	0.875928921965162	0.7832507191622208	0.9574980047559306	0.9032692526084887	0.8175723455671176	0.9718689086713667	0.9032692526084887	0.8175723455671176	0.9718689086713667	0.8935732772174249	0.8497493969710852	0.9365527505579276	"{""high"": 11, ""medium"": 103, ""low"": 886}"	3	
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	checkm2	CheckM2 1.0.1	competitor	1000	1000	False	0.499	0.468	0.53	0.3726285462184198	0.32709689817744236	0.4159148487366278	0.3726285462184198	0.32709689817744236	0.4159148487366278	0.499	0.468	0.53	0.5865421229546453	0.5572194782207497	0.6154422282346337	0.42429753783515284	0.3979406264273344	0.4529677149074782	0.7158050734613886	0.6393487564447939	0.7674170009351108	0.42429753783515284	0.3979406264273344	0.4529677149074782	0.7158050734613886	0.6393487564447939	0.7674170009351108	0.7158050734613886	0.6393487564447939	0.7674170009351108	0.1349227042212665	0.10545853983191636	0.1656801752352549	"{""high"": 11, ""medium"": 103, ""low"": 886}"	3	
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	cocopye	CoCoPyE 0.5.0	competitor	1000	1000	False	0.909	0.89	0.927	0.6735733783959444	0.5812447526936747	0.7537154754728198	0.6735733783959444	0.5812447526936747	0.7537154754728198	0.909	0.89	0.927	0.9167947744702978	0.9007345283990331	0.9327029979899004	0.6277373269483305	0.5481524031832042	0.7129124740901379	0.7446291134625308	0.6327413186295842	0.8479838568650959	0.6277373269483305	0.5481524031832042	0.7129124740901379	0.7446291134625308	0.6327413186295842	0.8479838568650959	0.7446291134625308	0.6327413186295842	0.8479838568650959	0.6209296803729055	0.5479814991972777	0.6861347525625566	"{""high"": 11, ""medium"": 103, ""low"": 886}"	3	
