set	set_label	status	tier	stratum_kind	stratum	tool	tool_label	tool_role	metric	n	n_clusters	small_n_flag	mean_signed_error	mean_ci_lo	mean_ci_hi	median_signed_error	median_ci_lo	median_ci_hi	hodges_lehmann_signed_error	sd_signed_error	iqr_signed_error	q05	q25	q75	q95	min	max	mae	frac_within_1pp	frac_within_5pp	frac_within_10pp	frac_overestimated	frac_underestimated	bias_direction	mean_ci_excludes_zero	p_wilcoxon_zero_bias_two_sided	p_cluster_bootstrap_zero_mean_bias	note
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	dominant_domain	Archaea	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	completeness	30	24	False	-7.196299233333334	-10.073752554166667	-4.539538276896554	-4.11692	-11.48169	-1.0582600000000042	-6.8519350000000045	7.355363527690644	11.535558750000003	-16.076842449999997	-12.454303750000005	-0.9187450000000013	-0.12486399999999744	-30.167305	-0.06138599999999883	7.196299233333334	0.3	0.5333333333333333	0.6	0.0	1.0	under	True	1.862645149230957e-09	0.0009995002498750624	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	dominant_domain	Archaea	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	completeness	30	24	False	-6.609073333333333	-9.401988915770609	-4.117801316413663	-2.8718000000000004	-9.428299999999993	-1.3262999999999963	-6.28595	7.034890151186753	11.513100000000001	-16.848284999999997	-12.72505	-1.211949999999998	-0.5337650000000047	-25.978300000000004	-0.19089999999999918	6.609073333333333	0.16666666666666666	0.5666666666666667	0.7	0.0	1.0	under	True	1.862645149230957e-09	0.0009995002498750624	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	dominant_domain	Archaea	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	completeness	30	24	False	-3.2429048000000007	-5.55223962214286	-1.3007880466666686	-0.1540900000000036	-1.1344100000000026	-0.06564999999999799	-1.0743200000000002	6.154836613826271	2.4220875	-16.12933945	-2.4788950000000014	-0.056807500000001454	-0.005031000000001745	-23.467865000000003	-0.002975000000006389	3.2429048000000007	0.6666666666666666	0.8	0.8333333333333334	0.0	1.0	under	True	1.862645149230957e-09	0.0009995002498750624	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	dominant_domain	Archaea	checkm2	CheckM2 1.0.1	competitor	completeness	30	24	False	-0.4966666666666659	-1.1749677419354823	-0.07565378787878735	-0.010000000000005116	-0.060000000000002274	0.0	-0.03999999999999915	1.6565259312547864	0.10249999999999915	-2.2134999999999967	-0.10249999999999915	0.0	0.0	-8.659999999999997	0.0	0.4966666666666659	0.9	0.9666666666666667	1.0	0.0	0.5333333333333333	under	True	0.0004339135941093194	0.0009995002498750624	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	dominant_domain	Archaea	cocopye	CoCoPyE 0.5.0	competitor	completeness	30	24	False	-1.2390175171937456	-2.1449437568255814	-0.5559136372461623	-0.0958515392239363	-0.7273439065219236	0.0	-0.4328887428747592	2.1948133654545456	1.221774446467144	-5.687715666120562	-1.221774446467144	0.0	0.0	-8.531424723726602	0.0	1.2390175171937456	0.7333333333333333	0.9	1.0	0.0	0.5666666666666667	under	True	0.0002930525201924893	0.0009995002498750624	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	dominant_domain	Archaea	deepcheck	DeepCheck	competitor	completeness	30	24	False	-1.0843945821126302	-2.9362438471228955	0.6210465554837826	-1.0810813903808594	-2.5336532592773366	-0.5392837524414062	-1.190235137939446	5.431816370277566	2.837989807128917	-7.913783264160148	-3.2954635620117294	-0.4574737548828125	9.557792663574217	-11.433296203613281	10.2486572265625	4.2027249654134105	0.23333333333333334	0.5666666666666667	0.9333333333333333	0.2	0.8	under	False	0.0635564886033535	0.21489255372313842	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	dominant_domain	Archaea	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	contamination	30	24	False	0.529995118851544	-2.0063368313145533	3.40250952001641	0.45676081999999996	-1.5423350606935813	2.4117063280192514	0.426018235	6.592666542535195	6.654454997857847	-7.755106685437275	-4.139077651578953	2.515377346278894	9.087457363699452	-14.042370881840668	21.752592226966733	4.582091208592394	0.26666666666666666	0.6333333333333333	0.9333333333333333	0.6333333333333333	0.36666666666666664	over	False	0.6701805889606476	0.750624687656172	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	dominant_domain	Archaea	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	contamination	30	24	False	0.8343772765182107	-1.4715583303350923	3.6168654080890805	0.76305	-1.366033057679953	2.2881349847750627	0.6678	6.464657786197308	5.670531706213139	-8.208738975274333	-2.258426019136566	3.412105687076573	9.165228563699454	-13.436560881840663	19.58391222696674	4.660350799939301	0.2	0.5666666666666667	0.9333333333333333	0.6	0.4	over	False	0.4521643426269293	0.5487256371814093	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	dominant_domain	Archaea	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	contamination	30	24	False	-0.8436083937884562	-2.106195741551812	0.4140653516896752	0.01336187125	-2.2046225064837586	1.3471759557153113	-0.6204515597860926	3.8550414506226756	5.798627767348549	-7.0236621679388564	-3.544525818577987	2.2541019487705625	4.145722270004254	-10.764562082145943	5.685973392417694	3.0026588734309225	0.23333333333333334	0.8333333333333334	0.9666666666666667	0.5666666666666667	0.43333333333333335	under	False	0.5291051845997572	0.19590204897551225	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	dominant_domain	Archaea	checkm2	CheckM2 1.0.1	competitor	contamination	30	24	False	-25.702802723481792	-33.925824036496124	-17.974390993285816	-18.6449861974295	-35.86914857409107	-7.059986607582303	-23.601683630066375	25.440489236026497	44.911242750358284	-68.71496861757228	-45.45496653634866	-0.5437237859903743	0.5549999999999997	-76.29998700496215	0.82	25.889469390148456	0.26666666666666666	0.3	0.36666666666666664	0.26666666666666666	0.7333333333333333	under	True	9.220093488693237e-06	0.0009995002498750624	
