source	quantity	set	tool	metric	published	recomputed	recomputed_ci_lo	recomputed_ci_hi	difference	agrees_within_tolerance	published_inside_recomputed_ci	note	recomputed_pearson_r2
S2a	MAE	set_E	cocopye	completeness	5.02	5.655966807107449	5.21820390644324	6.104349609851316	0.6359668071074491	False	False		
S2a	MAE	set_A_v2	deepcheck	completeness	4.26	4.255472477276518	3.975215340154827	4.539029889031779	-0.0045275227234817805	True	True		
S2a	MAE	set_B_v2	deepcheck	completeness	6.61	6.6112978515625	6.063183851459312	7.165332125251908	0.00129785156249973	True	True		
S2a	MAE	set_C	deepcheck	completeness	17.97	17.967173426126184	17.363163259990383	18.58199630489771	-0.002826573873814908	True	True		
S2a	MAE	set_D	deepcheck	completeness	9.97	9.974952677434644	9.351719474261342	10.591687610097862	0.004952677434642894	True	True		
S2a	MAE	set_E	deepcheck	completeness	11.69	11.694699721773006	10.9850682577197	12.410356912505849	0.00469972177300626	True	True		
S2b	MAE	set_A_v2	magicc_v4	contamination	1.48	1.4780225	1.2131116012108982	1.7854141358224014	-0.0019774999999999654	True	True		
S2b	MAE	set_B_v2	magicc_v4	contamination	5.11	5.109657326062996	4.741421495878926	5.50406543930061	-0.0003426739370047116	True	True		
S2b	MAE	set_C	magicc_v4	contamination	7.44	7.439052423495307	6.950873576475571	7.940664677109171	-0.0009475765046937923	True	True		
S2b	MAE	set_D	magicc_v4	contamination	7.77	7.767309504960628	7.183006349756484	8.372206233426388	-0.0026904950393715765	True	True		
S2b	MAE	set_E	magicc_v4	contamination	5.88	5.875723997012404	5.420852350367328	6.366809722781505	-0.004276002987595895	True	True		
S2b	MAE	set_A_v2	checkm2	contamination	0.27	0.27387	0.2495259185767873	0.29995225	0.0038699999999999846	True	True		
S2b	MAE	set_B_v2	checkm2	contamination	17.66	17.661892481683402	16.510105631285878	18.778819690336316	0.0018924816834022806	True	True		
S2b	MAE	set_C	checkm2	contamination	42.37	42.37174453000813	40.74199473388218	44.02979725643981	0.001744530008132017	True	True		
S2b	MAE	set_D	checkm2	contamination	36.92	36.92437572675197	35.368920771882536	38.40981708251762	0.004375726751966624	True	True		
S2b	MAE	set_E	checkm2	contamination	18.47	18.47213818642574	17.252831947309105	19.751440098056484	0.0021381864257428163	True	True		
S2b	MAE	set_A_v2	cocopye	contamination	0.77	0.9766124183707464	0.7086782150180361	1.302509441128964	0.2066124183707464	False	True		
