scope	tool	tool_label	metric	error_kind	covariate	n	n_clusters	spearman_rho	rho_ci_lo	rho_ci_hi	p_cluster_bootstrap
set_B_v2	cocopye	CoCoPyE 0.5.0	contamination	signed	log10_dominant_genome_size_mbp	1000	803	0.41930238759901967	0.3609685209366038	0.4739375243528543	0.0009995002498750624
set_B_v2	deepcheck	DeepCheck	completeness	abs	log10_dominant_genome_size_mbp	1000	803	0.30919173250622467	0.24993600559887907	0.366652629598921	0.0009995002498750624
set_B_v2	deepcheck	DeepCheck	completeness	signed	log10_dominant_genome_size_mbp	1000	803	0.5268645690773085	0.47829739192049947	0.5733846977723225	0.0009995002498750624
set_B_v2	deepcheck	DeepCheck	contamination	abs	log10_dominant_genome_size_mbp	1000	803	-0.19590784095284458	-0.2521133470339151	-0.13292944411296187	0.0009995002498750624
set_B_v2	deepcheck	DeepCheck	contamination	signed	log10_dominant_genome_size_mbp	1000	803	0.3356680144681534	0.27780689647725426	0.3880069662635457	0.0009995002498750624
set_C_clean	magicc_v5	MAGICC v5 (released, v0.3.0)	completeness	abs	log10_dominant_genome_size_mbp	1000	100	-0.061291055273384305	-0.19496626096494682	0.0725717751983343	0.3888055972013993
set_C_clean	magicc_v5	MAGICC v5 (released, v0.3.0)	completeness	signed	log10_dominant_genome_size_mbp	1000	100	0.29872760611010574	0.14519204373109365	0.43131712287976	0.0009995002498750624
set_C_clean	magicc_v5	MAGICC v5 (released, v0.3.0)	contamination	abs	log10_dominant_genome_size_mbp	1000	100	-0.11814728658272496	-0.22522325660728396	-1.1351440736874367e-05	0.050974512743628186
set_C_clean	magicc_v5	MAGICC v5 (released, v0.3.0)	contamination	signed	log10_dominant_genome_size_mbp	1000	100	0.28982459649721243	0.17663453271552343	0.398318089126943	0.0009995002498750624
set_C_clean	checkm2	CheckM2 1.0.1	completeness	abs	log10_dominant_genome_size_mbp	1000	100	0.029044661025540503	-0.04255759559854555	0.09620169940836813	0.39080459770114945
set_C_clean	checkm2	CheckM2 1.0.1	completeness	signed	log10_dominant_genome_size_mbp	1000	100	0.0647872374230596	-0.013615401213809603	0.14190357056267836	0.10694652673663169
set_C_clean	checkm2	CheckM2 1.0.1	contamination	abs	log10_dominant_genome_size_mbp	1000	100	-0.03255176390395915	-0.09749400810154332	0.032242719296350725	0.33483258370814595
set_C_clean	checkm2	CheckM2 1.0.1	contamination	signed	log10_dominant_genome_size_mbp	1000	100	0.03288202058232603	-0.0320686156761925	0.09775734223634143	0.33183408295852074
set_C_clean	cocopye	CoCoPyE 0.5.0	completeness	abs	log10_dominant_genome_size_mbp	1000	100	-0.07373328362115993	-0.14881643468300523	0.006754739591474667	0.07196401799100449
