set	set_label	status	tier	subset	tool	criterion	tau	n	n_clusters	n_true_pass	n_true_fail	n_false_pass	n_false_fail	false_pass_rate	false_pass_rate_ci_lo	false_pass_rate_ci_hi	false_fail_rate	false_fail_rate_ci_lo	false_fail_rate_ci_hi
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	magicc_v5	completeness	90.0	1000	803	1000	0	0	104				0.104	0.08384442585362831	0.12413326591898016
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	magicc_v4	contamination	5.0	1000	803	200	800	0	40	0.0	0.0	0.0	0.2	0.1436449922085281	0.25669595110771576
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	magicc_v4	contamination	10.0	1000	803	202	798	0	14	0.0	0.0	0.0	0.06930693069306931	0.03684210526315789	0.104719811613952
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	magicc_v4	completeness	50.0	1000	803	1000	0	0	0				0.0	0.0	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	magicc_v4	completeness	90.0	1000	803	1000	0	0	100				0.1	0.07984031936127745	0.12063894863382157
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	magicc_v3	contamination	5.0	1000	803	200	800	0	4	0.0	0.0	0.0	0.02	0.004586632315361737	0.04128856300803344
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	magicc_v3	contamination	10.0	1000	803	202	798	2	1	0.002506265664160401	0.0	0.006305568796501624	0.0049504950495049506	0.0	0.016131211857018296
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	magicc_v3	completeness	50.0	1000	803	1000	0	0	0				0.0	0.0	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	magicc_v3	completeness	90.0	1000	803	1000	0	0	23				0.023	0.01329175535244773	0.03357135533315373
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	checkm2	contamination	5.0	1000	803	200	800	59	0	0.07375	0.056929676058629884	0.09179926560587515	0.0	0.0	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	checkm2	contamination	10.0	1000	803	202	798	147	0	0.18421052631578946	0.1562852344968214	0.21335409435849165	0.0	0.0	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	checkm2	completeness	50.0	1000	803	1000	0	0	0				0.0	0.0	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	checkm2	completeness	90.0	1000	803	1000	0	0	10				0.01	0.003996003996003996	0.016227592384757156
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	cocopye	contamination	5.0	1000	803	200	800	1	3	0.00125	0.0	0.003886136368218382	0.015	0.0	0.03429064039408865
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	cocopye	contamination	10.0	1000	803	202	798	12	0	0.015037593984962405	0.007453416149068323	0.023810270657823977	0.0	0.0	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	cocopye	completeness	50.0	1000	803	1000	0	0	0				0.0	0.0	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	cocopye	completeness	90.0	1000	803	1000	0	0	14				0.014	0.007006831831831832	0.022200358784617107
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	deepcheck	contamination	5.0	1000	803	200	800	132	0	0.165	0.13947546194798657	0.1906578776765207	0.0	0.0	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	deepcheck	contamination	10.0	1000	803	202	798	326	0	0.40852130325814534	0.3743653195366393	0.44247989787194714	0.0	0.0	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	deepcheck	completeness	50.0	1000	803	1000	0	0	0				0.0	0.0	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	deepcheck	completeness	90.0	1000	803	1000	0	0	14				0.014	0.007120877064569222	0.02187096979004217
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	in_domain	magicc_v5	contamination	5.0	1000	803	200	800	0	6	0.0	0.0	0.0	0.03	0.00943285499158473	0.05641025641025641
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	in_domain	magicc_v5	contamination	10.0	1000	803	202	798	1	4	0.0012531328320802004	0.0	0.003896230557478931	0.019801980198019802	0.004608294930875576	0.041025641025641026
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	in_domain	magicc_v5	completeness	50.0	1000	803	1000	0	0	0				0.0	0.0	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	in_domain	magicc_v5	completeness	90.0	1000	803	1000	0	0	104				0.104	0.0842618228807364	0.12437324411044078
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	in_domain	magicc_v4	contamination	5.0	1000	803	200	800	0	40	0.0	0.0	0.0	0.2	0.14507772020725387	0.26087491968301557
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	in_domain	magicc_v4	contamination	10.0	1000	803	202	798	0	14	0.0	0.0	0.0	0.06930693069306931	0.036260130197954044	0.10606609574000876
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	in_domain	magicc_v4	completeness	50.0	1000	803	1000	0	0	0				0.0	0.0	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	in_domain	magicc_v4	completeness	90.0	1000	803	1000	0	0	100				0.1	0.08080559532331187	0.12139374696114688
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	in_domain	magicc_v3	contamination	5.0	1000	803	200	800	0	4	0.0	0.0	0.0	0.02	0.004694287218638938	0.040731523378582164
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	in_domain	magicc_v3	contamination	10.0	1000	803	202	798	2	1	0.002506265664160401	0.0	0.006361525745125685	0.0049504950495049506	0.0	0.016218419506462974
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	in_domain	magicc_v3	completeness	50.0	1000	803	1000	0	0	0				0.0	0.0	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	in_domain	magicc_v3	completeness	90.0	1000	803	1000	0	0	23				0.023	0.013527223894029305	0.033700082343485725
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	in_domain	checkm2	contamination	5.0	1000	803	200	800	59	0	0.07375	0.056818181818181816	0.0923650317029821	0.0	0.0	0.0
