dataset	tool	distance_rank	n	n_clusters	cont_bias	cont_bias_lo	cont_bias_hi	cont_mae	cont_mae_lo	cont_mae_hi	comp_bias	comp_bias_lo	comp_bias_hi	comp_mae	comp_mae_lo	comp_mae_hi	slope	slope_lo	slope_hi	cont_r2	denominator
marine	CoCoPyE	class	161	90	17.725358213852257	15.029354248856276	20.515363057410443	17.960446634929248	15.316781356763462	20.703349839958374	9.278722818776911	7.666397971213127	10.999457050554458	9.573026887309524	8.045247124141248	11.216250567926467	1.0811879160378173	0.8350252768835382	1.3952618589612042	-6.437306646073995	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	CoCoPyE	phylum	170	96	16.094736784995135	13.916358341270708	18.44261298491742	16.46035041720336	14.444523017746091	18.668191582622942	7.943513460263854	6.651821674578616	9.435765466002453	8.20079425228791	6.984602238354133	9.604089686739075	1.1928893716373479	0.9740125944473196	1.4409642732798513	-5.383137441759653	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	DeepCheck	species	73	34	-3.1019039855583537	-5.143892839119764	-1.1307615408739704	4.898353330163039	3.4806414849941634	6.400430698860204	-6.966027127167998	-10.404406314128646	-4.468617588939221	8.81607721284215	6.7630591000760045	11.616612902360869	1.2197127857521526	0.27027000323516054	1.388516446077875	0.6046560823842504	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	DeepCheck	genus	146	75	-4.659615977484945	-5.763622122756782	-3.419684481253292	5.767755891368613	4.842809360305261	6.708477538318793	-6.620928809264488	-8.816666093709474	-4.627862004147171	9.12525041112513	7.651539971371563	10.834567688424002	0.9744319770593223	0.25404259301326926	1.1892940527005462	0.5290712107386285	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	DeepCheck	family	168	85	-5.639218710635243	-6.582356762844782	-4.766546229823459	6.165563447998388	5.405464837578241	7.011997370783344	-7.531009211055983	-9.678771523048615	-5.561746972136452	9.655852549925442	8.210910496685658	11.4045081466166	0.6727685706127048	0.2520440310827758	0.813412881798402	0.3772008194367381	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	DeepCheck	order	146	69	-5.1914438261946465	-6.075354644764537	-4.230561925322288	5.95287540474064	5.136665037583973	6.808804033161024	-3.2946363173799416	-5.541648187562504	-1.2132695959988045	7.4575733963691055	6.053787130788835	9.024011821410705	0.7204453293561449	0.2805089363974108	0.9575975985809274	0.2176618971835036	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	DeepCheck	class	161	90	-6.753661146798166	-7.662184839550805	-5.798239967411333	7.299711625382626	6.429041217042938	8.12406921930231	-6.5433909916631965	-8.761933747279134	-4.576886846517823	9.599031898698456	8.061514507621744	11.317229982243326	0.3581666000861694	0.18005228896733136	0.48450276799502556	-0.24286897807620944	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	DeepCheck	phylum	170	96	-6.45438333006276	-7.451041644461689	-5.514473290018342	6.918531359935866	6.095950178447977	7.84358558681241	-5.582962873210906	-7.630365769613814	-3.72353443417114	9.186934797620163	7.804479509626246	10.787471478112732	0.2737161796291213	0.14850064939016183	0.35219056266268245	-0.31989020717680416	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	MAGICC_V5	species	73	34	-8.719306154691091	-10.538370701179788	-6.99911192558193	8.994242330052815	7.228505131114103	10.754218850006033	8.066536590847909	5.992741096920474	10.217000299953272	8.561046324267389	6.863186122633866	10.443567718541786	0.576245111755351	-0.04379160630047395	0.6767881113385543	0.1687935807494757	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	MAGICC_V5	genus	146	75	-8.349346905718019	-9.570667080424407	-7.1365300230815265	8.768493905371695	7.657678015119149	9.85228243971852	8.86156217031298	7.309088884714416	10.363816276524577	9.489421027789199	8.048835047573068	10.851307961442313	0.7288854769452446	0.09196973406246396	0.9080987049027658	0.05944170258806314	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	MAGICC_V5	family	168	85	-5.780212050215872	-7.116705957849414	-4.460169329097757	7.114780080221722	6.202152099819878	8.134325560596391	4.486412904835246	2.714202202335578	6.307952753283052	7.213287610137325	6.194853853631938	8.361037018561973	0.6466131726993259	0.3689881111925791	0.7724509603932274	0.1266425746235157	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	MAGICC_V5	order	146	69	-2.7132805421022868	-4.34657581292614	-1.0995437241765698	6.046670724774113	5.079802722275857	7.121131573453676	2.7586309867841607	0.8546438732920452	4.846354913778348	6.708401588036485	5.495699027729955	7.980439469582548	0.9183280518783514	0.7507445639904065	1.1694373030829155	0.15019478090288918	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	MAGICC_V5	class	161	90	-2.50560896029808	-3.8876247661102106	-0.870848512980356	5.317300501525041	4.474285499948286	6.2467812633078905	2.477249692912423	0.7235928069448316	4.044174820883937	6.316895343458572	5.412790607200424	7.226442496158265	0.8821265486569538	0.7031726175906395	1.0167643164310627	0.276072761198098	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
