tool	tool_label	threads	repeat	input_set	cache	n_genomes	n_output_rows	wall_clock_s	peak_rss_gb	max_rss_kb	pct_cpu	user_s	sys_s	major_faults	minor_faults	loadavg_1min_before	loadavg_1min_after	sum_pcpu_all_processes_before	t_start_utc	t_end_utc	return_code	cell_file
magicc	MAGICC v0.3.0 (V5)	1	3	set_E_100	warm	100	100	5.88	0.3852	403932	99.0	5.27	0.61	0	246551	0.98	0.98	102.8	2026-07-31T01:39:11Z	2026-07-31T01:39:17Z	0	magicc__t1__set_E_100__warm__r3.json
magicc	MAGICC v0.3.0 (V5)	8	1	set_E_100	warm	100	100	2.21	0.3601	377600	460.0	8.26	1.91	1	427843	0.95	0.95	5.7	2026-07-31T00:51:49Z	2026-07-31T00:51:51Z	0	magicc__t8__set_E_100__warm__r1.json
magicc	MAGICC v0.3.0 (V5)	8	2	set_E_100	warm	100	100	2.24	0.361	378584	474.0	8.35	2.28	1	428869	0.9	0.9	3.8	2026-07-31T01:10:41Z	2026-07-31T01:10:43Z	0	magicc__t8__set_E_100__warm__r2.json
magicc	MAGICC v0.3.0 (V5)	8	3	set_E_100	warm	100	100	2.14	0.3605	377960	470.0	8.16	1.91	0	425433	0.98	0.98	2.8	2026-07-31T01:39:09Z	2026-07-31T01:39:11Z	0	magicc__t8__set_E_100__warm__r3.json
magicc	MAGICC v0.3.0 (V5)	16	1	set_E_100	warm	100	100	2.08	0.3598	377268	856.0	11.96	5.85	0	597280	0.8	0.8	12.7	2026-07-31T00:34:11Z	2026-07-31T00:34:13Z	0	magicc__t16__set_E_100__warm__r1.json
magicc	MAGICC v0.3.0 (V5)	16	2	set_E_100	warm	100	100	2.11	0.3602	377708	869.0	11.96	6.39	1	595450	0.96	0.97	3.7	2026-07-31T01:11:39Z	2026-07-31T01:11:41Z	0	magicc__t16__set_E_100__warm__r2.json
magicc	MAGICC v0.3.0 (V5)	16	3	set_E_100	warm	100	100	2.13	0.3583	375756	821.0	11.88	5.62	0	601040	0.85	0.86	3.1	2026-07-31T01:23:54Z	2026-07-31T01:23:56Z	0	magicc__t16__set_E_100__warm__r3.json
magicc	MAGICC v0.3.0 (V5)	32	1	set_E_100	warm	100	100	13.25	0.3566	373908	642.0	39.98	45.22	1226	935388	0.29	2.89	39.2	2026-07-31T00:23:30Z	2026-07-31T00:23:43Z	0	magicc__t32__set_E_100__warm__r1.json
magicc	MAGICC v0.3.0 (V5)	32	2	set_E_100	warm	100	100	2.23	0.3583	375680	1681.0	22.49	15.01	4	913223	0.86	0.86	4.8	2026-07-31T00:59:21Z	2026-07-31T00:59:23Z	0	magicc__t32__set_E_100__warm__r2.json
magicc	MAGICC v0.3.0 (V5)	32	3	set_E_100	warm	100	100	2.15	0.3589	376380	1662.0	22.39	13.47	1	896177	0.98	3.46	3.1	2026-07-31T01:24:48Z	2026-07-31T01:24:50Z	0	magicc__t32__set_E_100__warm__r3.json
magicc	MAGICC v0.3.0 (V5)	1	1	set_E_full	cold	1000	1000	49.0	0.6459	677276	99.0	46.42	2.55	0	876560	0.94	1.03	1.6	2026-07-31T07:46:32Z	2026-07-31T07:47:21Z	0	magicc__t1__set_E_full__cold__r1.json
magicc	MAGICC v0.3.0 (V5)	1	2	set_E_full	cold	1000	1000	49.07	0.6478	679284	99.0	46.45	2.59	0	889163	0.98	0.99	1.6	2026-07-31T08:03:48Z	2026-07-31T08:04:38Z	0	magicc__t1__set_E_full__cold__r2.json
magicc	MAGICC v0.3.0 (V5)	1	3	set_E_full	cold	1000	1000	50.03	0.6482	679672	99.0	47.18	2.82	0	936120	0.98	0.99	101.6	2026-07-31T08:06:55Z	2026-07-31T08:07:45Z	0	magicc__t1__set_E_full__cold__r3.json
magicc	MAGICC v0.3.0 (V5)	32	1	set_E_full	cold	1000	1000	5.81	0.4979	522048	1744.0	85.93	15.52	4	1737175	0.8	3.3	1.6	2026-07-31T07:47:37Z	2026-07-31T07:47:42Z	0	magicc__t32__set_E_full__cold__r1.json
magicc	MAGICC v0.3.0 (V5)	32	2	set_E_full	cold	1000	1000	5.86	0.4976	521788	1767.0	85.45	18.13	1	1716926	0.96	3.44	101.6	2026-07-31T08:02:27Z	2026-07-31T08:02:33Z	0	magicc__t32__set_E_full__cold__r2.json
magicc	MAGICC v0.3.0 (V5)	32	3	set_E_full	cold	1000	1000	6.09	0.4973	521408	1664.0	85.56	15.85	1	1762880	0.99	3.28	101.6	2026-07-31T08:04:38Z	2026-07-31T08:04:44Z	0	magicc__t32__set_E_full__cold__r3.json
checkm2	CheckM2 1.0.1	32	1	set_E_full	warm	1000	1000	4208.0	18.8767	19793632	2627.0	108598.09	1965.6	0	460927791	0.89	12.0	1.9	2026-07-31T05:24:47Z	2026-07-31T06:34:55Z	0	checkm2__t32__set_E_full__warm__r1.json
cocopye	CoCoPyE 0.5.0	32	1	set_E_full	warm	1000	1000	3177.54	15.9	16672328	2213.0	69315.78	1006.29	0	84968610	0.98	116.27	1.9	2026-07-31T06:37:26Z	2026-07-31T07:30:23Z	0	cocopye__t32__set_E_full__warm__r1.json
deepcheck	DeepCheck (inference only)	1	1	set_E_full	warm	1000	1000	537.28	1.2778	1339836	99.0	533.11	3.99	0	2056243	0.87	1.04	109.3	2026-07-31T00:39:33Z	2026-07-31T00:48:30Z	0	deepcheck__t1__set_E_full__warm__r1.json
deepcheck	DeepCheck (inference only)	1	2	set_E_full	warm	1000	1000	534.59	1.277	1339036	99.0	530.78	3.64	0	1757121	0.95	1.0	4.6	2026-07-31T01:00:58Z	2026-07-31T01:09:53Z	0	deepcheck__t1__set_E_full__warm__r2.json
deepcheck	DeepCheck (inference only)	1	3	set_E_full	warm	1000	1000	534.43	1.2872	1349740	99.0	530.78	3.48	0	1738448	0.97	1.0	103.5	2026-07-31T01:14:44Z	2026-07-31T01:23:39Z	0	deepcheck__t1__set_E_full__warm__r3.json
deepcheck	DeepCheck (inference only)	8	1	set_E_full	warm	1000	1000	78.02	1.2759	1337828	761.0	588.61	5.87	0	2193216	0.81	5.87	6.4	2026-07-31T00:48:46Z	2026-07-31T00:50:04Z	0	deepcheck__t8__set_E_full__warm__r1.json
deepcheck	DeepCheck (inference only)	8	2	set_E_full	warm	1000	1000	78.11	1.2771	1339164	759.0	588.11	5.48	0	1995661	0.97	5.59	3.7	2026-07-31T01:11:41Z	2026-07-31T01:12:59Z	0	deepcheck__t8__set_E_full__warm__r2.json
deepcheck	DeepCheck (inference only)	8	3	set_E_full	warm	1000	1000	78.67	1.2269	1286500	759.0	591.08	6.7	0	2525224	0.86	5.96	102.9	2026-07-31T01:33:47Z	2026-07-31T01:35:05Z	0	deepcheck__t8__set_E_full__warm__r3.json
deepcheck	DeepCheck (inference only)	16	1	set_E_full	warm	1000	1000	43.81	1.2492	1309840	1457.0	630.27	8.24	0	2395267	0.93	7.78	11.8	2026-07-31T00:35:14Z	2026-07-31T00:35:58Z	0	deepcheck__t16__set_E_full__warm__r1.json
deepcheck	DeepCheck (inference only)	16	2	set_E_full	warm	1000	1000	43.54	1.2191	1278292	1459.0	626.89	8.79	0	2484160	0.8	8.22	105.0	2026-07-31T00:56:22Z	2026-07-31T00:57:06Z	0	deepcheck__t16__set_E_full__warm__r2.json
deepcheck	DeepCheck (inference only)	16	3	set_E_full	warm	1000	1000	42.71	1.2756	1337532	1459.0	616.75	6.82	0	2158638	0.81	8.22	3.0	2026-07-31T01:30:49Z	2026-07-31T01:31:31Z	0	deepcheck__t16__set_E_full__warm__r3.json
deepcheck	DeepCheck (inference only)	32	1	set_E_full	warm	1000	1000	39.84	1.2117	1270528	1958.0	767.3	13.13	1055	2425895	0.84	8.29	22.1	2026-07-31T00:28:29Z	2026-07-31T00:29:08Z	0	deepcheck__t32__set_E_full__warm__r1.json
deepcheck	DeepCheck (inference only)	32	2	set_E_full	warm	1000	1000	29.24	1.2834	1345784	2603.0	751.38	10.03	0	1723747	0.94	9.49	105.6	2026-07-31T00:52:31Z	2026-07-31T00:53:01Z	0	deepcheck__t32__set_E_full__warm__r2.json
deepcheck	DeepCheck (inference only)	32	3	set_E_full	warm	1000	1000	29.48	1.2739	1335736	2601.0	756.77	10.41	0	1960323	0.82	9.95	3.0	2026-07-31T01:27:49Z	2026-07-31T01:28:19Z	0	deepcheck__t32__set_E_full__warm__r3.json
magicc	MAGICC v0.3.0 (V5)	1	1	set_E_full	warm	1000	1000	48.61	0.6471	678488	99.0	46.14	2.44	0	884819	0.87	0.94	115.9	2026-07-31T00:31:24Z	2026-07-31T00:32:12Z	0	magicc__t1__set_E_full__warm__r1.json
magicc	MAGICC v0.3.0 (V5)	1	2	set_E_full	warm	1000	1000	48.83	0.6471	678560	99.0	46.25	2.56	0	879211	0.88	0.95	104.7	2026-07-31T01:00:09Z	2026-07-31T01:00:58Z	0	magicc__t1__set_E_full__warm__r2.json
magicc	MAGICC v0.3.0 (V5)	1	3	set_E_full	warm	1000	1000	49.23	0.6473	678744	99.0	46.61	2.59	0	885882	0.99	1.0	3.1	2026-07-31T01:26:05Z	2026-07-31T01:26:54Z	0	magicc__t1__set_E_full__warm__r3.json
magicc	MAGICC v0.3.0 (V5)	1	4	set_E_full	warm	1000	1000	49.03	0.6483	679768	99.0	46.51	2.49	0	870938	0.83	0.93	101.6	2026-07-31T08:08:51Z	2026-07-31T08:09:40Z	0	magicc__t1__set_E_full__warm__r4.json
magicc	MAGICC v0.3.0 (V5)	1	5	set_E_full	warm	1000	1000	49.31	0.6469	678292	99.0	46.76	2.51	0	885088	0.93	0.97	101.6	2026-07-31T08:09:40Z	2026-07-31T08:10:30Z	0	magicc__t1__set_E_full__warm__r5.json
magicc	MAGICC v0.3.0 (V5)	1	6	set_E_full	warm	1000	1000	49.0	0.6477	679192	99.0	46.48	2.5	0	879400	0.77	0.9	1.6	2026-07-31T08:12:26Z	2026-07-31T08:13:15Z	0	magicc__t1__set_E_full__warm__r6.json
magicc	MAGICC v0.3.0 (V5)	8	1	set_E_full	warm	1000	1000	10.27	0.4981	522296	563.0	53.29	4.6	2	1145265	0.81	1.4	110.0	2026-07-31T00:38:13Z	2026-07-31T00:38:23Z	0	magicc__t8__set_E_full__warm__r1.json
magicc	MAGICC v0.3.0 (V5)	8	2	set_E_full	warm	1000	1000	10.27	0.4978	521976	563.0	53.38	4.52	1	1162832	0.95	1.55	5.7	2026-07-31T00:51:51Z	2026-07-31T00:52:01Z	0	magicc__t8__set_E_full__warm__r2.json
magicc	MAGICC v0.3.0 (V5)	8	3	set_E_full	warm	1000	1000	10.27	0.4976	521736	563.0	53.52	4.4	0	1183458	0.84	1.94	2.8	2026-07-31T01:40:28Z	2026-07-31T01:40:38Z	0	magicc__t8__set_E_full__warm__r3.json
magicc	MAGICC v0.3.0 (V5)	16	1	set_E_full	warm	1000	1000	6.94	0.4977	521852	973.0	59.12	8.41	1	1365079	0.94	2.05	15.0	2026-07-31T00:32:12Z	2026-07-31T00:32:19Z	0	magicc__t16__set_E_full__warm__r1.json
magicc	MAGICC v0.3.0 (V5)	16	2	set_E_full	warm	1000	1000	6.94	0.4967	520824	965.0	58.48	8.51	4	1337502	0.83	1.16	3.8	2026-07-31T01:10:19Z	2026-07-31T01:10:26Z	0	magicc__t16__set_E_full__warm__r2.json
magicc	MAGICC v0.3.0 (V5)	16	3	set_E_full	warm	1000	1000	7.28	0.4979	522112	933.0	59.53	8.43	0	1426854	0.87	2.08	102.8	2026-07-31T01:38:11Z	2026-07-31T01:38:19Z	0	magicc__t16__set_E_full__warm__r3.json
magicc	MAGICC v0.3.0 (V5)	32	1	set_E_full	warm	1000	1000	39.06	0.4968	520952	341.0	112.86	20.57	5	1703691	0.83	13.15	138.3	2026-07-31T00:25:04Z	2026-07-31T00:25:43Z	0	magicc__t32__set_E_full__warm__r1.json
magicc	MAGICC v0.3.0 (V5)	32	2	set_E_full	warm	1000	1000	6.04	0.4975	521628	1683.0	85.35	16.34	1	1801578	0.86	0.88	4.8	2026-07-31T00:59:23Z	2026-07-31T00:59:29Z	0	magicc__t32__set_E_full__warm__r2.json
magicc	MAGICC v0.3.0 (V5)	32	3	set_E_full	warm	1000	1000	5.83	0.4983	522552	1752.0	85.03	17.24	0	1711230	0.83	2.37	102.8	2026-07-31T01:37:05Z	2026-07-31T01:37:11Z	0	magicc__t32__set_E_full__warm__r3.json
magicc_condarun	magicc_condarun	1	4	set_E_full	warm	1000	1000	50.84	0.6471	678484	99.0	47.92	2.87	0	926736	0.99	1.06	1.6	2026-07-31T08:07:45Z	2026-07-31T08:08:36Z	0	magicc_condarun__t1__set_E_full__warm__r4.json
magicc_condarun	magicc_condarun	1	5	set_E_full	warm	1000	1000	50.83	0.6474	678804	99.0	48.15	2.64	0	933142	0.97	0.99	1.6	2026-07-31T08:10:30Z	2026-07-31T08:11:20Z	0	magicc_condarun__t1__set_E_full__warm__r5.json
magicc_condarun	magicc_condarun	1	6	set_E_full	warm	1000	1000	50.09	0.6479	679372	99.0	47.43	2.63	0	922059	0.99	1.0	1.6	2026-07-31T08:11:21Z	2026-07-31T08:12:11Z	0	magicc_condarun__t1__set_E_full__warm__r6.json
