dataset	completeness_band	tool	n	comp_mae	comp_bias	cont_mae	cont_bias	r2_note	denominator
marine	95-100	MAGICC_V5	146	13.253503335082524	-12.072151560474623	1.8306690707972124	1.8306690707972124	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
strain_madness	50-60	CheckM2	110	20.947025254956092	-20.947025254956092	1.402636363636364	1.402636363636364	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
strain_madness	50-60	CoCoPyE	110	15.876226061154755	15.876226061154755	28.926855834637387	28.926855834637387	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
strain_madness	50-60	DeepCheck	110	24.51191735242924	-24.51191735242924	2.053255700523203	2.053255700523203	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
strain_madness	50-60	MAGICC_V5	110	0.9428772301471778	0.09276693595299557	0.1709347966090909	0.1709347966090909	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
strain_madness	60-70	CheckM2	105	24.51901496333602	-24.51901496333602	2.2275238095238095	2.2275238095238095	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
strain_madness	60-70	CoCoPyE	105	15.794847843745798	15.794847843745798	28.646179615369423	28.646179615369423	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
strain_madness	60-70	DeepCheck	105	27.043054443636194	-27.043054443636194	3.264034554504213	3.264034554504213	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
strain_madness	60-70	MAGICC_V5	105	0.9754257568882427	-0.36321163000268447	0.2355766853714286	0.2355766853714286	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
strain_madness	70-80	CheckM2	102	22.431522504121723	-22.431522504121723	3.5233333333333325	3.5233333333333325	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
strain_madness	70-80	CoCoPyE	102	13.603245646472729	13.603245646472729	27.77477600025519	27.77477600025519	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
strain_madness	70-80	DeepCheck	102	27.38495475180717	-27.38495475180717	4.464789515616847	4.464789515616847	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
strain_madness	70-80	MAGICC_V5	102	1.3875616434734306	-0.38282993549427274	0.41791276588235293	0.41791276588235293	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
strain_madness	80-90	CheckM2	106	14.917415606508682	-14.917415606508682	5.1329245283018885	5.1329245283018885	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
strain_madness	80-90	CoCoPyE	106	9.22753590736707	9.22753590736707	26.161355346941093	26.161355346941093	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
