cohort	tool	tool_key	n	n_clusters	cluster_unit	comp_mae	comp_mae_ci_lo	comp_mae_ci_hi	comp_bias	comp_bias_ci_lo	comp_bias_ci_hi	comp_rmse	comp_r2	comp_r2_pearson	cont_mae	cont_mae_ci_lo	cont_mae_ci_hi	cont_bias	cont_bias_ci_lo	cont_bias_ci_hi	cont_rmse	cont_r2	cont_r2_pearson	true_comp_mean	true_cont_mean	true_comp_sd	true_cont_sd	r2_min_truth_sd_pp	comp_r2_interpretable	cont_r2_interpretable	denominator	note
all_MOCK1_comp>=50	CoCoPyE 0.5.0	cocopye	308	52	accession	4.6831	3.5341	5.9478	2.7097	1.1625	4.2115	7.4898	0.5693	0.6258	22.065	18.9119	25.3053	22.055	18.9078	25.2936	42.9055	-4022.3455	0.0066	92.209	0.2651	11.431	0.6775	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	All MOCK1 organisms (includes TRAIN/VAL references), true completeness >= 50 %. All 7 assemblies.
all_MOCK1_comp>=50	DeepCheck	deepcheck	308	52	accession	13.9752	12.3291	15.6535	-13.1697	-15.0433	-11.3016	23.6473	-3.2936	0.3708	1.8504	1.5451	2.1565	1.6941	1.3475	2.0339	2.8331	-16.5417	0.0501	92.209	0.2651	11.431	0.6775	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	All MOCK1 organisms (includes TRAIN/VAL references), true completeness >= 50 %. All 7 assemblies.
all_MOCK1_comp>=50_ORF_intact	MAGICC V5	magicc	269	52	accession	4.0238	2.7693	5.9266	1.8792	-0.3449	3.3903	7.0617	0.6162	0.6843	1.3493	0.7584	2.2442	1.2038	0.5817	2.1016	2.9752	-23.1545	0.0088	91.995	0.2593	11.419	0.6065	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	All MOCK1 organisms, ORF-intact assemblies only.
all_MOCK1_comp>=50_ORF_intact	CheckM2 1.0.1	checkm2	269	52	accession	6.3463	4.8942	7.8721	-4.3865	-6.3207	-2.4847	9.6049	0.2899	0.825	1.6643	1.2914	2.0908	1.6081	1.2199	2.0561	2.5667	-16.9766	0.149	91.995	0.2593	11.419	0.6065	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	All MOCK1 organisms, ORF-intact assemblies only.
all_MOCK1_comp>=50_ORF_intact	CoCoPyE 0.5.0	cocopye	269	52	accession	5.1144	3.8158	6.5177	3.2721	1.5292	4.9353	7.9307	0.5159	0.5991	9.6473	7.176	12.2797	9.6358	7.1638	12.2639	15.3654	-643.2402	0.0536	91.995	0.2593	11.419	0.6065	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	All MOCK1 organisms, ORF-intact assemblies only.
all_MOCK1_comp>=50_ORF_intact	DeepCheck	deepcheck	269	52	accession	7.7619	5.9032	9.7699	-6.8396	-9.1026	-4.7377	11.6662	-0.0476	0.8435	1.5104	1.1862	1.8511	1.346	0.9781	1.727	2.2695	-13.0543	0.0926	91.995	0.2593	11.419	0.6065	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	All MOCK1 organisms, ORF-intact assemblies only.
ORF_compromised_assembly_only	MAGICC V5	magicc	39	39	accession	4.9048	2.8494	7.4549	-2.9204	-5.7781	-0.5916	8.7987	0.4043	0.6079	1.5719	0.7579	2.5755	1.3396	0.4932	2.3813	3.2406	-8.6885	0.013	93.688	0.3052	11.549	1.0547	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Only the assembly/assemblies whose ORFs are broken by indels (['minion']). Reported separately because this is a per-base-accuracy result, not a fragmentation result.
ORF_compromised_assembly_only	CheckM2 1.0.1	checkm2	39	39	accession	50.6879	45.5215	55.3439	-50.6879	-55.3439	-45.5215	53.0959	-20.6924	0.1576	3.4504	2.8736	4.0496	3.4122	2.8092	4.0299	3.9473	-13.375	0.0476	93.688	0.3052	11.549	1.0547	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Only the assembly/assemblies whose ORFs are broken by indels (['minion']). Reported separately because this is a per-base-accuracy result, not a fragmentation result.
ORF_compromised_assembly_only	CoCoPyE 0.5.0	cocopye	39	39	accession	1.7076	1.0078	2.5905	-1.1696	-2.1294	-0.36	3.0343	0.9292	0.9574	107.7153	96.3746	119.2626	107.7153	96.3746	119.2626	113.6213	-11909.3641	0.0001	93.688	0.3052	11.549	1.0547	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Only the assembly/assemblies whose ORFs are broken by indels (['minion']). Reported separately because this is a per-base-accuracy result, not a fragmentation result.
ORF_compromised_assembly_only	DeepCheck	deepcheck	39	39	accession	56.8308	51.7475	61.7072	-56.8308	-61.7072	-51.7475	58.9701	-25.7578	0.0987	4.1951	3.24	5.2562	4.095	3.0528	5.169	5.2783	-24.704	0.0046	93.688	0.3052	11.549	1.0547	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Only the assembly/assemblies whose ORFs are broken by indels (['minion']). Reported separately because this is a per-base-accuracy result, not a fragmentation result.
leakage_free_all_bins	MAGICC V5	magicc	130	21	accession	7.4906	4.8648	11.1025	5.6336	2.4052	9.5924	12.5212	0.7841	0.8987	0.8331	0.475	1.177	0.6684	0.263	1.0567	1.7236	-11.4208	0.0	82.151	0.2633	27.052	0.491	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Leakage-free organisms, no completeness floor.
leakage_free_all_bins	CheckM2 1.0.1	checkm2	130	21	accession	10.161	8.3581	12.0232	-7.719	-10.3473	-5.1826	19.4478	0.4792	0.6536	2.4962	1.947	3.0498	2.4833	1.9273	3.0412	3.4564	-48.9496	0.186	82.151	0.2633	27.052	0.491	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Leakage-free organisms, no completeness floor.
leakage_free_all_bins	CoCoPyE 0.5.0	cocopye	130	21	accession	5.9087	3.7217	8.5499	5.6852	3.4461	8.3028	9.3066	0.8807	0.9505	22.6558	17.6292	28.0245	22.6336	17.6151	28.0114	43.8236	-8028.5331	0.0143	82.151	0.2633	27.052	0.491	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Leakage-free organisms, no completeness floor.
leakage_free_all_bins	DeepCheck	deepcheck	130	21	accession	13.0688	10.7756	15.5156	-10.3822	-13.5946	-6.9212	23.2835	0.2535	0.5442	2.1017	1.6244	2.645	1.9793	1.4462	2.5605	3.6759	-55.4938	0.0401	82.151	0.2633	27.052	0.491	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Leakage-free organisms, no completeness floor.
all_MOCK1_all_bins	MAGICC V5	magicc	367	60	accession	7.4872	5.4984	9.9442	5.0838	2.5125	7.8318	13.2441	0.7615	0.843	1.2316	0.7283	1.9522	1.089	0.5655	1.8158	2.804	-19.1377	0.0113	81.577	0.2426	27.158	0.6257	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Everything, no completeness floor.
all_MOCK1_all_bins	CheckM2 1.0.1	checkm2	367	60	accession	11.3492	10.0365	12.6856	-9.5943	-11.2649	-7.8873	19.626	0.4763	0.7017	1.8473	1.542	2.1873	1.7955	1.4757	2.1387	2.7283	-18.0661	0.1054	81.577	0.2426	27.158	0.6257	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Everything, no completeness floor.
all_MOCK1_all_bins	CoCoPyE 0.5.0	cocopye	367	60	accession	6.1511	4.9048	7.6185	4.3889	2.7603	6.0993	9.3032	0.8823	0.9179	20.8412	17.9361	23.7144	20.8328	17.9295	23.7078	40.3577	-4170.7923	0.0074	81.577	0.2426	27.158	0.6257	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Everything, no completeness floor.
all_MOCK1_all_bins	DeepCheck	deepcheck	367	60	accession	13.6125	12.0793	15.0916	-11.5272	-13.4734	-9.6022	22.4054	0.3175	0.6166	1.9395	1.6373	2.2403	1.8055	1.4808	2.136	3.204	-25.2934	0.0286	81.577	0.2426	27.158	0.6257	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Everything, no completeness floor.
below_50pct_floor	MAGICC V5	magicc	59	20	accession	24.9852	19.756	29.7992	24.9852	19.756	29.7992	28.5052	-2.6126	0.5735	0.4704	0.1919	0.7785	0.3998	0.1081	0.7176	1.2667	-67.0772	0.0132	26.075	0.1253	15.126	0.1548	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Below MAGICC's stated 50 % completeness floor — reported for transparency; MAGICC does not claim this regime.
below_50pct_floor	CheckM2 1.0.1	checkm2	59	20	accession	8.1558	6.1001	10.7237	-6.1748	-9.7154	-2.9865	10.5739	0.5029	0.6724	1.622	1.2069	2.0363	1.5815	1.1554	2.008	2.4427	-252.1334	0.04	26.075	0.1253	15.126	0.1548	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Below MAGICC's stated 50 % completeness floor — reported for transparency; MAGICC does not claim this regime.
below_50pct_floor	CoCoPyE 0.5.0	cocopye	59	20	accession	13.8149	11.3272	16.0886	13.1551	9.8624	15.8637	15.6691	-0.0916	0.8039	14.4528	9.2801	19.9294	14.4525	9.2798	19.9291	22.8321	-22115.4005	0.0012	26.075	0.1253	15.126	0.1548	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Below MAGICC's stated 50 % completeness floor — reported for transparency; MAGICC does not claim this regime.
below_50pct_floor	DeepCheck	deepcheck	59	20	accession	11.719	9.6692	14.3769	-2.9528	-7.4154	1.2984	14.2629	0.0955	0.1974	2.4047	1.5721	3.383	2.387	1.5556	3.3523	4.6856	-930.4408	0.0003	26.075	0.1253	15.126	0.1548	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Below MAGICC's stated 50 % completeness floor — reported for transparency; MAGICC does not claim this regime.
